player_a,player_b,score_a,score_b,prediction,actual_winner,correct
Bryson DeChambeau,Joaquin Niemann,-3.1399999999999997,1.23,Joaquin Niemann,Bryson DeChambeau,False
Thomas Detry,Thomas Pieters,1.23,-1.35,Thomas Detry,Push,
Sergio Garcia,Abraham Ancer,1.23,-3.1399999999999997,Sergio Garcia,Abraham Ancer,False
Talor Gooch,Caleb Surratt,-1.73,4.895,Caleb Surratt,Push,
Branden Grace,Louis Oosthuizen,-3.915,-3.915,Louis Oosthuizen,Branden Grace,False
Lucas Herbert,Marc Leishman,1.23,-1.73,Lucas Herbert,Marc Leishman,False
Charles Howell III,Cameron Tringale,-3.915,4.895,Cameron Tringale,Charles Howell III,False
Anirban Lahiri,Paul Casey,-3.915,4.895,Paul Casey,Paul Casey,True
Tom McKibbin,Sebastian Munoz,1.23,1.23,Sebastian Munoz,Push,
Carlos Ortiz,Tyrrell Hatton,-3.915,0.09499999999999999,Tyrrell Hatton,Tyrrell Hatton,True
Jon Rahm,David Puig,1.23,1.23,David Puig,Jon Rahm,False
Cameron Smith,Elvis Smylie,-3.915,1.23,Elvis Smylie,Elvis Smylie,True
Peter Uihlein,Dustin Johnson,4.895,0.09499999999999999,Peter Uihlein,Push,
Jon Rahm,Bryson DeChambeau,1.23,-3.1399999999999997,Jon Rahm,Bryson DeChambeau,False
David Puig,Joaquin Niemann,1.23,1.23,Joaquin Niemann,Joaquin Niemann,True
Tyrrell Hatton,Cameron Smith,0.09499999999999999,-3.915,Tyrrell Hatton,Push,
Carlos Ortiz,Sebastian Munoz,-3.915,1.23,Sebastian Munoz,Sebastian Munoz,True
Tom McKibbin,Abraham Ancer,1.23,-3.1399999999999997,Tom McKibbin,Push,
Elvis Smylie,Lucas Herbert,1.23,1.23,Lucas Herbert,Lucas Herbert,True
Thomas Detry,Thomas Pieters,1.23,-1.35,Thomas Detry,Push,
Marc Leishman,Byeong Hun An,-1.73,1.23,Byeong Hun An,Marc Leishman,False
Louis Oosthuizen,Sergio Garcia,-3.915,1.23,Sergio Garcia,Sergio Garcia,True
Talor Gooch,Branden Grace,-1.73,-3.915,Talor Gooch,Branden Grace,False
Dean Burmester,Jose Luis Ballester,0.044999999999999984,-1.35,Dean Burmester,Push,
Caleb Surratt,Laurie Canter,4.895,1.8399999999999999,Caleb Surratt,Laurie Canter,False
Peter Uihlein,Bubba Watson,4.895,-3.915,Peter Uihlein,Push,
Dustin Johnson,Charles Howell III,0.09499999999999999,-3.915,Dustin Johnson,Dustin Johnson,True
Paul Casey,Cameron Tringale,4.895,4.895,Cameron Tringale,Paul Casey,False
Akshay Bhatia,Shane Lowry,1.9300000000000002,4.045,Shane Lowry,Akshay Bhatia,False
Keegan Bradley,Alex Noren,-2.775,0.010000000000000009,Alex Noren,Keegan Bradley,False
Jacob Bridgeman,Corey Conners,-0.395,1.1949999999999998,Corey Conners,Jacob Bridgeman,False
Sam Burns,Sepp Straka,4.045,-5.8149999999999995,Sam Burns,Sam Burns,True
Wyndham Clark,Sahith Theegala,-0.93,4.045,Sahith Theegala,Sahith Theegala,True
Jason Day,Michael Thorbjornsen,-2.775,-0.395,Michael Thorbjornsen,Michael Thorbjornsen,True
Matt Fitzpatrick,Jake Knapp,-0.735,-0.31000000000000005,Jake Knapp,Matt Fitzpatrick,False
Ryan Fox,Patrick Rodgers,0.44999999999999996,0.010000000000000009,Ryan Fox,Patrick Rodgers,False
Ryan Gerard,Harry Hall,-0.31000000000000005,4.045,Harry Hall,Harry Hall,True
Chris Gotterup,Hideki Matsuyama,-0.93,1.1949999999999998,Hideki Matsuyama,Chris Gotterup,False
Russell Henley,Viktor Hovland,-0.93,2.5650000000000004,Viktor Hovland,Russell Henley,False
Garrick Higgo,Rico Hoey,-2.775,2.5650000000000004,Rico Hoey,Rico Hoey,True
Kurt Kitayama,Pierceson Coody,3.575,-0.93,Kurt Kitayama,Pierceson Coody,False
Min Woo Lee,Nick Taylor,4.07,0.44999999999999996,Min Woo Lee,Min Woo Lee,True
Denny McCarthy,Andrew Novak,-5.8149999999999995,4.045,Andrew Novak,Andrew Novak,True
Rory McIlroy,Tommy Fleetwood,3.575,-3.88,Rory McIlroy,Tommy Fleetwood,False
Maverick McNealy,Patrick Cantlay,-0.395,-0.395,Patrick Cantlay,Patrick Cantlay,True
