player_a,player_b,condition,round_type,score_a,score_b,winner_score,loser_score,difference,prediction,actual_winner,correct
Bryson DeChambeau,Joaquin Niemann,Calm,Open,-2.843,1.0799999999999998,1.0799999999999998,-2.843,3.923,Joaquin Niemann,Bryson DeChambeau,False
Thomas Detry,Thomas Pieters,Calm,Open,1.0799999999999998,-2.5020000000000002,1.0799999999999998,-2.5020000000000002,3.582,Thomas Detry,Push,
Sergio Garcia,Abraham Ancer,Calm,Open,1.0799999999999998,-2.843,1.0799999999999998,-2.843,3.923,Sergio Garcia,Abraham Ancer,False
Talor Gooch,Caleb Surratt,Calm,Open,-0.7189999999999996,4.3475,4.3475,-0.7189999999999996,5.0665,Caleb Surratt,Push,
Branden Grace,Louis Oosthuizen,Calm,Open,-4.0995,-4.0995,-4.0995,-4.0995,0.0,Louis Oosthuizen,Branden Grace,False
Lucas Herbert,Marc Leishman,Calm,Open,1.0799999999999998,-0.7189999999999996,1.0799999999999998,-0.7189999999999996,1.7989999999999995,Lucas Herbert,Marc Leishman,False
Charles Howell III,Cameron Tringale,Calm,Open,-4.0995,4.3475,4.3475,-4.0995,8.447,Cameron Tringale,Charles Howell III,False
Anirban Lahiri,Paul Casey,Calm,Open,-4.0995,4.3475,4.3475,-4.0995,8.447,Paul Casey,Paul Casey,True
Tom McKibbin,Sebastian Munoz,Calm,Open,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,0.0,Sebastian Munoz,Push,
Carlos Ortiz,Tyrrell Hatton,Calm,Open,-4.0995,0.1535,0.1535,-4.0995,4.253,Tyrrell Hatton,Tyrrell Hatton,True
Jon Rahm,David Puig,Calm,Open,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,0.0,David Puig,Jon Rahm,False
Cameron Smith,Elvis Smylie,Calm,Open,-4.0995,1.0799999999999998,1.0799999999999998,-4.0995,5.1795,Elvis Smylie,Elvis Smylie,True
Peter Uihlein,Dustin Johnson,Calm,Open,4.3475,0.1535,4.3475,0.1535,4.194,Peter Uihlein,Push,
Jon Rahm,Bryson DeChambeau,Calm,Open,1.0799999999999998,-2.843,1.0799999999999998,-2.843,3.923,Jon Rahm,Bryson DeChambeau,False
David Puig,Joaquin Niemann,Calm,Open,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,0.0,Joaquin Niemann,Joaquin Niemann,True
Tyrrell Hatton,Cameron Smith,Calm,Open,0.1535,-4.0995,0.1535,-4.0995,4.253,Tyrrell Hatton,Push,
Carlos Ortiz,Sebastian Munoz,Calm,Open,-4.0995,1.0799999999999998,1.0799999999999998,-4.0995,5.1795,Sebastian Munoz,Sebastian Munoz,True
Tom McKibbin,Abraham Ancer,Calm,Open,1.0799999999999998,-2.843,1.0799999999999998,-2.843,3.923,Tom McKibbin,Push,
Elvis Smylie,Lucas Herbert,Calm,Open,1.0799999999999998,1.0799999999999998,1.0799999999999998,1.0799999999999998,0.0,Lucas Herbert,Lucas Herbert,True
Thomas Detry,Thomas Pieters,Calm,Open,1.0799999999999998,-2.5020000000000002,1.0799999999999998,-2.5020000000000002,3.582,Thomas Detry,Push,
Marc Leishman,Byeong Hun An,Calm,Open,-0.7189999999999996,1.0799999999999998,1.0799999999999998,-0.7189999999999996,1.7989999999999995,Byeong Hun An,Marc Leishman,False
Louis Oosthuizen,Sergio Garcia,Calm,Open,-4.0995,1.0799999999999998,1.0799999999999998,-4.0995,5.1795,Sergio Garcia,Sergio Garcia,True
Talor Gooch,Branden Grace,Calm,Open,-0.7189999999999996,-4.0995,-0.7189999999999996,-4.0995,3.3805000000000005,Talor Gooch,Branden Grace,False
Dean Burmester,Jose Luis Ballester,Calm,Open,0.17550000000000002,-2.5020000000000002,0.17550000000000002,-2.5020000000000002,2.6775,Dean Burmester,Push,
Caleb Surratt,Laurie Canter,Calm,Open,4.3475,1.873,4.3475,1.873,2.4745,Caleb Surratt,Laurie Canter,False
Peter Uihlein,Bubba Watson,Calm,Open,4.3475,-4.0995,4.3475,-4.0995,8.447,Peter Uihlein,Push,
Dustin Johnson,Charles Howell III,Calm,Open,0.1535,-4.0995,0.1535,-4.0995,4.253,Dustin Johnson,Dustin Johnson,True
Paul Casey,Cameron Tringale,Calm,Open,4.3475,4.3475,4.3475,4.3475,0.0,Cameron Tringale,Paul Casey,False
Akshay Bhatia,Shane Lowry,Moderate,Open,2.242,3.6895,3.6895,2.242,1.4474999999999998,Shane Lowry,Akshay Bhatia,False
Keegan Bradley,Alex Noren,Moderate,Open,-2.2394999999999996,-0.164,-0.164,-2.2394999999999996,2.0754999999999995,Alex Noren,Keegan Bradley,False
Jacob Bridgeman,Corey Conners,Moderate,Open,-0.4925,1.8505,1.8505,-0.4925,2.343,Corey Conners,Jacob Bridgeman,False
Sam Burns,Sepp Straka,Moderate,Open,3.6895,-4.376499999999999,3.6895,-4.376499999999999,8.065999999999999,Sam Burns,Sam Burns,True
Wyndham Clark,Sahith Theegala,Moderate,Open,-0.22799999999999987,3.6895,3.6895,-0.22799999999999987,3.9174999999999995,Sahith Theegala,Sahith Theegala,True
Jason Day,Michael Thorbjornsen,Moderate,Open,-2.2394999999999996,-0.4925,-0.4925,-2.2394999999999996,1.7469999999999997,Michael Thorbjornsen,Michael Thorbjornsen,True
Matt Fitzpatrick,Jake Knapp,Moderate,Open,-0.8114999999999999,-0.08199999999999996,-0.08199999999999996,-0.8114999999999999,0.7294999999999999,Jake Knapp,Matt Fitzpatrick,False
Ryan Fox,Patrick Rodgers,Moderate,Open,0.738,-0.164,0.738,-0.164,0.902,Ryan Fox,Patrick Rodgers,False
Ryan Gerard,Harry Hall,Moderate,Open,-0.08199999999999996,3.6895,3.6895,-0.08199999999999996,3.7714999999999996,Harry Hall,Harry Hall,True
Chris Gotterup,Hideki Matsuyama,Moderate,Open,-0.22799999999999987,1.8505,1.8505,-0.22799999999999987,2.0785,Hideki Matsuyama,Chris Gotterup,False
Russell Henley,Viktor Hovland,Moderate,Open,-0.22799999999999987,2.6865,2.6865,-0.22799999999999987,2.9145,Viktor Hovland,Russell Henley,False
Garrick Higgo,Rico Hoey,Moderate,Open,-2.2394999999999996,2.6865,2.6865,-2.2394999999999996,4.926,Rico Hoey,Rico Hoey,True
Kurt Kitayama,Pierceson Coody,Moderate,Open,3.5164999999999997,-0.22799999999999987,3.5164999999999997,-0.22799999999999987,3.7444999999999995,Kurt Kitayama,Pierceson Coody,False
Min Woo Lee,Nick Taylor,Moderate,Open,3.707,0.738,3.707,0.738,2.969,Min Woo Lee,Min Woo Lee,True
Denny McCarthy,Andrew Novak,Moderate,Open,-4.376499999999999,3.6895,3.6895,-4.376499999999999,8.065999999999999,Andrew Novak,Andrew Novak,True
Rory McIlroy,Tommy Fleetwood,Moderate,Open,3.5164999999999997,-2.932,3.5164999999999997,-2.932,6.448499999999999,Rory McIlroy,Tommy Fleetwood,False
Maverick McNealy,Patrick Cantlay,Moderate,Open,-0.4925,-0.4925,-0.4925,-0.4925,0.0,Patrick Cantlay,Patrick Cantlay,True
Keith Mitchell,Sam Stevens,Moderate,Open,2.6865,3.5164999999999997,3.5164999999999997,2.6865,0.8299999999999996,Sam Stevens,Sam Stevens,True
