player_a,player_b,color_a,color_b,condition,round_type,exec_score_a,upside_score_a,score_a,exec_score_b,upside_score_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Bryson DeChambeau,Joaquin Niemann,Green,Yellow,Calm,Open,-4.13,-2.15,-3.1399999999999997,1.73,0.73,1.23,1.23,-3.1399999999999997,Joaquin Niemann,Bryson DeChambeau,False
Thomas Detry,Thomas Pieters,Yellow,Red,Calm,Open,1.73,0.73,1.23,2.49,-5.19,-1.35,1.23,-1.35,Thomas Detry,Push,
Sergio Garcia,Abraham Ancer,Yellow,Green,Calm,Open,1.73,0.73,1.23,-4.13,-2.15,-3.1399999999999997,1.23,-3.1399999999999997,Sergio Garcia,Abraham Ancer,False
Talor Gooch,Caleb Surratt,Purple,Orange,Calm,Open,-5.1,1.64,-1.73,6.72,3.07,4.895,4.895,-1.73,Caleb Surratt,Push,
Branden Grace,Louis Oosthuizen,Blue,Blue,Calm,Open,-3.3,-4.53,-3.915,-3.3,-4.53,-3.915,-3.915,-3.915,TIE,Branden Grace,
Lucas Herbert,Marc Leishman,Yellow,Purple,Calm,Open,1.73,0.73,1.23,-5.1,1.64,-1.73,1.23,-1.73,Lucas Herbert,Marc Leishman,False
Charles Howell III,Cameron Tringale,Blue,Orange,Calm,Open,-3.3,-4.53,-3.915,6.72,3.07,4.895,4.895,-3.915,Cameron Tringale,Charles Howell III,False
Anirban Lahiri,Paul Casey,Blue,Orange,Calm,Open,-3.3,-4.53,-3.915,6.72,3.07,4.895,4.895,-3.915,Paul Casey,Paul Casey,True
Tom McKibbin,Sebastian Munoz,Yellow,Yellow,Calm,Open,1.73,0.73,1.23,1.73,0.73,1.23,1.23,1.23,TIE,Push,
Carlos Ortiz,Tyrrell Hatton,Blue,Orange,Calm,Open,-3.3,-4.53,-3.915,-0.1,0.29,0.09499999999999999,0.09499999999999999,-3.915,Tyrrell Hatton,Tyrrell Hatton,True
Jon Rahm,David Puig,Yellow,Yellow,Calm,Open,1.73,0.73,1.23,1.73,0.73,1.23,1.23,1.23,TIE,Jon Rahm,
Cameron Smith,Elvis Smylie,Blue,Yellow,Calm,Open,-3.3,-4.53,-3.915,1.73,0.73,1.23,1.23,-3.915,Elvis Smylie,Elvis Smylie,True
Peter Uihlein,Dustin Johnson,Orange,Orange,Calm,Open,6.72,3.07,4.895,-0.1,0.29,0.09499999999999999,4.895,0.09499999999999999,Peter Uihlein,Push,
Jon Rahm,Bryson DeChambeau,Yellow,Green,Calm,Open,1.73,0.73,1.23,-4.13,-2.15,-3.1399999999999997,1.23,-3.1399999999999997,Jon Rahm,Bryson DeChambeau,False
David Puig,Joaquin Niemann,Yellow,Yellow,Calm,Open,1.73,0.73,1.23,1.73,0.73,1.23,1.23,1.23,TIE,Joaquin Niemann,
Tyrrell Hatton,Cameron Smith,Orange,Blue,Calm,Open,-0.1,0.29,0.09499999999999999,-3.3,-4.53,-3.915,0.09499999999999999,-3.915,Tyrrell Hatton,Push,
Carlos Ortiz,Sebastian Munoz,Blue,Yellow,Calm,Open,-3.3,-4.53,-3.915,1.73,0.73,1.23,1.23,-3.915,Sebastian Munoz,Sebastian Munoz,True
Tom McKibbin,Abraham Ancer,Yellow,Green,Calm,Open,1.73,0.73,1.23,-4.13,-2.15,-3.1399999999999997,1.23,-3.1399999999999997,Tom McKibbin,Push,
Elvis Smylie,Lucas Herbert,Yellow,Yellow,Calm,Open,1.73,0.73,1.23,1.73,0.73,1.23,1.23,1.23,TIE,Lucas Herbert,
Thomas Detry,Thomas Pieters,Yellow,Red,Calm,Open,1.73,0.73,1.23,2.49,-5.19,-1.35,1.23,-1.35,Thomas Detry,Push,
Marc Leishman,Byeong Hun An,Purple,Yellow,Calm,Open,-5.1,1.64,-1.73,1.73,0.73,1.23,1.23,-1.73,Byeong Hun An,Marc Leishman,False
Louis Oosthuizen,Sergio Garcia,Blue,Yellow,Calm,Open,-3.3,-4.53,-3.915,1.73,0.73,1.23,1.23,-3.915,Sergio Garcia,Sergio Garcia,True
Talor Gooch,Branden Grace,Purple,Blue,Calm,Open,-5.1,1.64,-1.73,-3.3,-4.53,-3.915,-1.73,-3.915,Talor Gooch,Branden Grace,False
Dean Burmester,Jose Luis Ballester,Yellow,Red,Calm,Open,-0.39,0.48,0.044999999999999984,2.49,-5.19,-1.35,0.044999999999999984,-1.35,Dean Burmester,Push,
Caleb Surratt,Laurie Canter,Orange,Blue,Calm,Open,6.72,3.07,4.895,1.73,1.95,1.8399999999999999,4.895,1.8399999999999999,Caleb Surratt,Laurie Canter,False
Peter Uihlein,Bubba Watson,Orange,Blue,Calm,Open,6.72,3.07,4.895,-3.3,-4.53,-3.915,4.895,-3.915,Peter Uihlein,Push,
Dustin Johnson,Charles Howell III,Orange,Blue,Calm,Open,-0.1,0.29,0.09499999999999999,-3.3,-4.53,-3.915,0.09499999999999999,-3.915,Dustin Johnson,Dustin Johnson,True
Paul Casey,Cameron Tringale,Orange,Orange,Calm,Open,6.72,3.07,4.895,6.72,3.07,4.895,4.895,4.895,TIE,Paul Casey,
Akshay Bhatia,Shane Lowry,Brown,Orange,Moderate,Open,0.89,2.97,1.9300000000000002,5.23,2.86,4.045,4.045,1.9300000000000002,Shane Lowry,Akshay Bhatia,False
Keegan Bradley,Alex Noren,Yellow,Orange,Moderate,Open,-4.56,-0.99,-2.775,0.59,-0.57,0.010000000000000009,0.010000000000000009,-2.775,Alex Noren,Keegan Bradley,False
Jacob Bridgeman,Corey Conners,Red,Purple,Moderate,Open,-0.07,-0.72,-0.395,-0.99,3.38,1.1949999999999998,1.1949999999999998,-0.395,Corey Conners,Jacob Bridgeman,False
Sam Burns,Sepp Straka,Orange,Green,Moderate,Open,5.23,2.86,4.045,-10.61,-1.02,-5.8149999999999995,4.045,-5.8149999999999995,Sam Burns,Sam Burns,True
