player_a,player_b,player_c,condition,round_type,color_a,color_b,color_c,exec_a,exec_b,exec_c,upside_a,upside_b,upside_c,score_a,score_b,score_c,best_player,best_vs_second,filter_0pct,filter_0.5pct,filter_1pct,filter_2pct,filter_5pct,filter_8pct,actual_winner,result_type,win_indicator,pl
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0,-13.935419213444783,-13.935419213444783,0.7769622730033564,C,14.71238148644814,True,True,True,True,True,True,Haotong Li,LOSS,0,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0,-13.935419213444783,-13.935419213444783,0.7769622730033564,C,14.71238148644814,True,True,True,True,True,True,Haotong Li,LOSS,0,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0,-13.935419213444783,-13.935419213444783,0.7769622730033564,C,14.71238148644814,True,True,True,True,True,True,Haotong Li,LOSS,0,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0,-13.935419213444783,-13.935419213444783,0.7769622730033564,C,14.71238148644814,True,True,True,True,True,True,Haotong Li,LOSS,0,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0,-13.935419213444783,-13.935419213444783,0.7769622730033564,C,14.71238148644814,True,True,True,True,True,True,Haotong Li,LOSS,0,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0,-13.935419213444783,-13.935419213444783,0.7769622730033564,C,14.71238148644814,True,True,True,True,True,True,Haotong Li,LOSS,0,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0,-13.935419213444783,-13.935419213444783,0.7769622730033564,C,14.71238148644814,True,True,True,True,True,True,Haotong Li,LOSS,0,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0,-13.935419213444783,-13.935419213444783,0.7769622730033564,C,14.71238148644814,True,True,True,True,True,True,Haotong Li,LOSS,0,-100.0
Min Woo Lee,Jordan Spieth,Daniel Berger,Tough,Open,Yellow,Blue,Purple,25,55,50,50.0,62.0,50.0,11.986426999266325,1.5388742561701303,-4.459308807134894,A,10.447552743096194,True,True,True,True,True,True,Min Woo Lee,WIN,1,130.0
Brendan Steele,Scott Vincent,Victor Perez,Calm,Open,Yellow,Purple,Blue,25,79,50,25.0,65.0,75.0,2.041197236107569,-8.363221328763021,-10.621714015079949,A,10.404418564870593,True,True,True,True,True,True,Scott Vincent,LOSS,0,-100.0
Adrien Saddier,Paul Waring,Christo Lamprecht,Calm,Open,Yellow,Purple,Purple,50,75,75,25.0,69.0,50.0,1.9508504707498648,-8.363221328763021,-8.363221328763021,A,10.314071799512886,True,True,True,True,True,True,Adrien Saddier,WIN,1,137.0
Angel Ayora,Francesco Laporta,Shaun Norris,Moderate,Open,Yellow,Purple,Blue,25,49,50,75.0,56.0,75.0,-7.868072983664332,2.438259551103861,-8.712020618837501,B,10.306332534768194,True,True,True,True,True,True,Angel Ayora,LOSS,0,-100.0
Sam Horsfield,Miguel Tabuena,Younghan Song,Calm,Open,Yellow,Yellow,Purple,25,59,25,50.0,85.0,25.0,-6.0129473429151385,-6.654587793268107,4.227464332036318,C,10.240411674951456,True,True,True,True,True,True,,2WAY_PUSH_WIN,1,72.5
Brian Campbell,Cameron Davis,Patrick Rodgers,Calm,Open,Green,Yellow,Purple,75,34,75,50.0,40.0,50.0,-7.936829431588663,2.041197236107569,-8.363221328763021,B,9.978026667696232,True,True,True,True,True,True,Patrick Rodgers,LOSS,0,-100.0
Cameron Adam,Frederico Biondi Figueiredo,Daniel Nduva,Calm,Open,Purple,Green,Orange,25,55,25,75.0,62.0,50.0,0.048979729118973,-9.789553822772817,-13.47647287232165,A,9.83853355189179,True,True,True,True,True,True,Frederico Biondi Figueiredo,LOSS,0,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,9.59200265006088,True,True,True,True,True,True,Gary Woodland,LOSS,0,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,9.59200265006088,True,True,True,True,True,True,Gary Woodland,LOSS,0,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,9.59200265006088,True,True,True,True,True,True,Gary Woodland,LOSS,0,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,9.59200265006088,True,True,True,True,True,True,Gary Woodland,LOSS,0,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,9.59200265006088,True,True,True,True,True,True,Gary Woodland,LOSS,0,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,9.59200265006088,True,True,True,True,True,True,Gary Woodland,LOSS,0,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,9.59200265006088,True,True,True,True,True,True,Gary Woodland,LOSS,0,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,9.59200265006088,True,True,True,True,True,True,Gary Woodland,LOSS,0,-100.0
Jacob Bridgeman,Ben Griffin,Adam Scott,Moderate,Open,Yellow,Yellow,Purple,50,56,50,75.0,86.0,50.0,-8.815040377057523,-8.815040377057523,0.7769622730033564,C,9.59200265006088,True,True,True,True,True,True,,2WAY_PUSH_LOSS,0,-100.0
Matteo Manassero,Jack Buchanan,Matthew Jordan,Calm,Open,Yellow,Purple,Purple,50,57,50,25.0,57.0,50.0,1.9508504707498648,-7.076348631915785,-7.076348631915785,A,9.02719910266565,True,True,True,True,True,True,Matthew Jordan,LOSS,0,-100.0
Joel Girrbach,JJ Senekal,Davis Bryant,Calm,Open,Yellow,Green,Purple,50,70,50,25.0,70.0,50.0,1.9508504707498648,-9.789553822772817,-7.076348631915785,A,9.02719910266565,True,True,True,True,True,True,,2WAY_PUSH_WIN,1,68.5
Garrick Higgo,Karl Vilips,Davis Riley,Calm,Open,Purple,Yellow,Green,50,52,50,50.0,45.0,50.0,-7.076348631915785,1.9508504707498648,-9.789553822772817,B,9.02719910266565,True,True,True,True,True,True,Karl Vilips,WIN,1,180.0
Sergio Garcia,Lucas Herbert,Sebastian Munoz,Moderate,Open,Purple,Yellow,Yellow,50,56,50,50.0,60.0,25.0,0.7769622730033564,-8.127067722374239,-14.882386606837976,A,8.904029995377595,True,True,True,True,True,True,Sergio Garcia,WIN,1,200.0
Ben Griffin,Sahith Theegala,Tony Finau,Calm,Open,Yellow,Yellow,Purple,25,59,75,25.0,85.0,50.0,2.041197236107569,-6.654587793268107,-8.363221328763021,A,8.695785029375676,True,True,True,True,True,True,Tony Finau,LOSS,0,-100.0
Xander Schauffele,Rory McIlroy,Hideki Matsuyama,Moderate,Open,Purple,Blue,Yellow,50,31,25,50.0,46.0,75.0,0.7769622730033564,-13.99490841106625,-7.868072983664332,A,8.645035256667688,True,True,True,True,True,True,Xander Schauffele,WIN,1,180.0
Joaquin Niemann,Dean Burmester,Thomas Detry,Calm,Open,Yellow,Green,Yellow,25,34,50,50.0,40.0,50.0,-6.0129473429151385,2.4589210073081063,-6.103294108272843,B,8.471868350223245,True,True,True,True,True,True,Thomas Detry,LOSS,0,-100.0
Taylor Moore,Joel Dahmen,Ryo Hisatsune,Moderate,Open,Green,Yellow,Purple,25,31,50,75.0,46.0,50.0,-7.67494000252621,-13.935419213444783,0.7769622730033564,C,8.451902275529566,True,True,True,True,True,True,Taylor Moore,LOSS,0,-100.0
Cameron Young,Davis Thompson,Sam Burns,Moderate,Open,Purple,Yellow,Green,50,53,25,50.0,68.0,75.0,0.7769622730033564,-8.127067722374239,-7.67494000252621,A,8.451902275529566,True,True,True,True,True,True,Cameron Young,WIN,1,137.0
J.J. Spaun,Sepp Straka,Shane Lowry,Moderate,Open,Purple,Yellow,Green,50,56,25,50.0,86.0,75.0,0.7769622730033564,-8.815040377057523,-7.67494000252621,A,8.451902275529566,True,True,True,True,True,True,Sepp Straka,LOSS,0,-100.0
