player_a,player_b,color_a,color_b,condition,round_type,exec_ratio_a,upside_ratio_a,score_a,exec_ratio_b,upside_ratio_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Bryson DeChambeau,Joaquin Niemann,Green,Yellow,Calm,Open,0.5686,0.5884,0.5785,0.6272,0.6172,0.6222,0.6222,0.5785,Joaquin Niemann,Bryson DeChambeau,False
Thomas Detry,Thomas Pieters,Yellow,Red,Calm,Open,0.6272,0.6172,0.6222,0.6667000000000001,0.5579999999999999,0.61235,0.6222,0.61235,Thomas Detry,Push,
Sergio Garcia,Abraham Ancer,Yellow,Green,Calm,Open,0.6272,0.6172,0.6222,0.5686,0.5884,0.5785,0.6222,0.5785,Sergio Garcia,Abraham Ancer,False
Talor Gooch,Caleb Surratt,Purple,Orange,Calm,Open,0.5589,0.6264,0.5926499999999999,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6588499999999999,0.5926499999999999,Caleb Surratt,Push,
Branden Grace,Louis Oosthuizen,Blue,Blue,Calm,Open,0.5769,0.5646,0.57075,0.5769,0.5646,0.57075,0.57075,0.57075,TIE,Branden Grace,
Lucas Herbert,Marc Leishman,Yellow,Purple,Calm,Open,0.6272,0.6172,0.6222,0.5589,0.6264,0.5926499999999999,0.6222,0.5926499999999999,Lucas Herbert,Marc Leishman,False
Charles Howell III,Cameron Tringale,Blue,Orange,Calm,Open,0.5769,0.5646,0.57075,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6588499999999999,0.57075,Cameron Tringale,Charles Howell III,False
Anirban Lahiri,Paul Casey,Blue,Orange,Calm,Open,0.5769,0.5646,0.57075,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6588499999999999,0.57075,Paul Casey,Paul Casey,True
Tom McKibbin,Sebastian Munoz,Yellow,Yellow,Calm,Open,0.6272,0.6172,0.6222,0.6272,0.6172,0.6222,0.6222,0.6222,TIE,Push,
Carlos Ortiz,Tyrrell Hatton,Blue,Orange,Calm,Open,0.5769,0.5646,0.57075,0.6089,0.6128,0.61085,0.61085,0.57075,Tyrrell Hatton,Tyrrell Hatton,True
Jon Rahm,David Puig,Yellow,Yellow,Calm,Open,0.6272,0.6172,0.6222,0.6272,0.6172,0.6222,0.6222,0.6222,TIE,Jon Rahm,
Cameron Smith,Elvis Smylie,Blue,Yellow,Calm,Open,0.5769,0.5646,0.57075,0.6272,0.6172,0.6222,0.6222,0.57075,Elvis Smylie,Elvis Smylie,True
Peter Uihlein,Dustin Johnson,Orange,Orange,Calm,Open,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6089,0.6128,0.61085,0.6588499999999999,0.61085,Peter Uihlein,Push,
Jon Rahm,Bryson DeChambeau,Yellow,Green,Calm,Open,0.6272,0.6172,0.6222,0.5686,0.5884,0.5785,0.6222,0.5785,Jon Rahm,Bryson DeChambeau,False
David Puig,Joaquin Niemann,Yellow,Yellow,Calm,Open,0.6272,0.6172,0.6222,0.6272,0.6172,0.6222,0.6222,0.6222,TIE,Joaquin Niemann,
Tyrrell Hatton,Cameron Smith,Orange,Blue,Calm,Open,0.6089,0.6128,0.61085,0.5769,0.5646,0.57075,0.61085,0.57075,Tyrrell Hatton,Push,
