Color,Exec/Upside,bucket,Course Condition,Round Type,-2,2,Win Ratio,Adj Win Ratio (150),%Score,Score,,,,,,,
Pink,Exec,0-25,Calm,Open,4,1,80.00%,61.90%,0.91%,0.91,,Exec,Calm,Open,5468,3497,60.99%
Pink,Exec,25-50,Calm,Open,35,20,63.64%,61.93%,0.94%,0.94,,Exec,Calm,Positioning,2825,2308,55.04%
Pink,Exec,50-75,Calm,Open,5,1,83.33%,62.26%,1.26%,1.26,,Exec,Calm,Survival,4049,3074,56.84%
Pink,Exec,75-100,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,Exec,Calm,Closing,2831,2126,57.11%
Orange,Exec,0-25,Calm,Open,7,2,77.78%,62.38%,1.39%,1.39,,Exec,Moderate,Open,2983,2484,54.56%
Orange,Exec,25-50,Calm,Open,383,246,60.89%,60.89%,-0.10%,-0.10,,Exec,Moderate,Positioning,1099,1392,44.12%
Orange,Exec,50-75,Calm,Open,323,154,67.71%,67.71%,6.72%,6.72,,Exec,Moderate,Survival,2818,2559,52.41%
Orange,Exec,75-100,Calm,Open,66,68,49.25%,49.25%,-11.74%,-11.74,,Exec,Moderate,Closing,1341,1515,46.95%
Blue,Exec,0-25,Calm,Open,3,0,100.00%,62.13%,1.14%,1.14,,Upside,Calm,Open,5468,3497,60.99%
Blue,Exec,25-50,Calm,Open,419,249,62.72%,62.72%,1.73%,1.73,,Upside,Calm,Positioning,2825,2308,55.04%
Blue,Exec,50-75,Calm,Open,495,363,57.69%,57.69%,-3.30%,-3.30,,Upside,Calm,Survival,4049,3074,56.84%
Blue,Exec,75-100,Calm,Open,126,77,62.07%,62.07%,1.08%,1.08,,Upside,Calm,Closing,2831,2126,57.11%
Yellow,Exec,0-25,Calm,Open,2,5,28.57%,58.87%,-2.12%,-2.12,,Upside,Moderate,Open,2983,2484,54.56%
Yellow,Exec,25-50,Calm,Open,600,390,60.61%,60.61%,-0.39%,-0.39,,Upside,Moderate,Positioning,1099,1392,44.12%
Yellow,Exec,50-75,Calm,Open,1255,746,62.72%,62.72%,1.73%,1.73,,Upside,Moderate,Survival,2814,2557,52.39%
Yellow,Exec,75-100,Calm,Open,196,119,62.22%,62.22%,1.23%,1.23,,Upside,Moderate,Closing,1341,1515,46.95%
Green,Exec,0-25,Calm,Open,2,0,100.00%,61.76%,0.76%,0.76,,Upside,Tough,Open,203,142,58.84%
Green,Exec,25-50,Calm,Open,207,115,64.29%,64.29%,3.29%,3.29,,Upside,Tough,Positioning,193,287,40.21%
Green,Exec,50-75,Calm,Open,373,283,56.86%,56.86%,-4.13%,-4.13,,Upside,Tough,Survival,149,290,33.94%
Green,Exec,75-100,Calm,Open,66,39,62.86%,62.86%,1.86%,1.86,,Upside,Tough,Closing,90,190,32.14%
Purple,Exec,0-25,Calm,Open,1,0,100.00%,61.38%,0.39%,0.39,,Exec,Tough,Open,203,142,58.84%
Purple,Exec,25-50,Calm,Open,246,125,66.31%,66.31%,5.31%,5.31,,Exec,Tough,Positioning,193,287,40.21%
Purple,Exec,50-75,Calm,Open,427,337,55.89%,55.89%,-5.10%,-5.10,,Exec,Tough,Survival,149,290,33.94%
Purple,Exec,75-100,Calm,Open,83,52,61.48%,61.48%,0.49%,0.49,,Exec,Tough,Closing,90,190,32.14%
Red,Exec,0-25,Calm,Open,1,0,100.00%,61.38%,0.39%,0.39,,,,,,,
Red,Exec,25-50,Calm,Open,52,26,66.67%,63.48%,2.49%,2.49,,,,,,,
Red,Exec,50-75,Calm,Open,70,60,53.85%,53.85%,-7.15%,-7.15,,,,,,,
Red,Exec,75-100,Calm,Open,14,13,51.85%,59.05%,-1.94%,-1.94,,,,,,,
Brown,Exec,0-25,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Brown,Exec,25-50,Calm,Open,2,2,50.00%,60.57%,-0.42%,-0.42,,,,,,,
Brown,Exec,50-75,Calm,Open,5,4,55.56%,60.54%,-0.45%,-0.45,,,,,,,
Brown,Exec,75-100,Calm,Open,0,0,#DIV/0!,60.99%,0.00%,0.00,,,,,,,
Pink,Exec,0-25,Calm,Positioning,2,0,100.00%,55.92%,0.88%,0.88,,,,,,,
Pink,Exec,25-50,Calm,Positioning,11,8,57.89%,55.49%,0.46%,0.46,,,,,,,
Pink,Exec,50-75,Calm,Positioning,3,7,30.00%,52.76%,-2.28%,-2.28,,,,,,,
Pink,Exec,75-100,Calm,Positioning,0,2,0.00%,53.96%,-1.08%,-1.08,,,,,,,
Orange,Exec,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Orange,Exec,25-50,Calm,Positioning,199,174,53.35%,53.35%,-1.68%,-1.68,,,,,,,
Orange,Exec,50-75,Calm,Positioning,196,152,56.32%,56.32%,1.29%,1.29,,,,,,,
Orange,Exec,75-100,Calm,Positioning,30,37,44.78%,50.92%,-4.12%,-4.12,,,,,,,
Blue,Exec,0-25,Calm,Positioning,0,2,0.00%,53.96%,-1.08%,-1.08,,,,,,,
Blue,Exec,25-50,Calm,Positioning,208,143,59.26%,59.26%,4.22%,4.22,,,,,,,
Blue,Exec,50-75,Calm,Positioning,292,236,55.30%,55.30%,0.27%,0.27,,,,,,,
Blue,Exec,75-100,Calm,Positioning,64,41,60.95%,60.95%,5.92%,5.92,,,,,,,
Yellow,Exec,0-25,Calm,Positioning,2,0,100.00%,55.92%,0.88%,0.88,,,,,,,
Yellow,Exec,25-50,Calm,Positioning,295,203,59.24%,59.24%,4.20%,4.20,,,,,,,
Yellow,Exec,50-75,Calm,Positioning,593,531,52.76%,52.76%,-2.28%,-2.28,,,,,,,
Yellow,Exec,75-100,Calm,Positioning,136,91,59.91%,59.91%,4.88%,4.88,,,,,,,
Green,Exec,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Green,Exec,25-50,Calm,Positioning,88,84,51.16%,51.16%,-3.87%,-3.87,,,,,,,
Green,Exec,50-75,Calm,Positioning,207,153,57.50%,57.50%,2.46%,2.46,,,,,,,
Green,Exec,75-100,Calm,Positioning,36,35,50.70%,53.24%,-1.80%,-1.80,,,,,,,
Purple,Exec,0-25,Calm,Positioning,2,0,100.00%,55.92%,0.88%,0.88,,,,,,,
Purple,Exec,25-50,Calm,Positioning,133,125,51.55%,51.55%,-3.49%,-3.49,,,,,,,
Purple,Exec,50-75,Calm,Positioning,221,174,55.95%,55.95%,0.91%,0.91,,,,,,,
Purple,Exec,75-100,Calm,Positioning,27,30,47.37%,52.25%,-2.78%,-2.78,,,,,,,
Red,Exec,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Red,Exec,25-50,Calm,Positioning,18,28,39.13%,50.02%,-5.01%,-5.01,,,,,,,
Red,Exec,50-75,Calm,Positioning,51,44,53.68%,54.38%,-0.66%,-0.66,,,,,,,
Red,Exec,75-100,Calm,Positioning,7,4,63.64%,55.89%,0.85%,0.85,,,,,,,
Brown,Exec,0-25,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
Brown,Exec,25-50,Calm,Positioning,2,2,50.00%,54.84%,-0.19%,-0.19,,,,,,,
Brown,Exec,50-75,Calm,Positioning,2,2,50.00%,54.84%,-0.19%,-0.19,,,,,,,
Brown,Exec,75-100,Calm,Positioning,0,0,#DIV/0!,55.04%,0.00%,0.00,,,,,,,
