condition,round_type,color,exec_bucket,n,good,bad,good_rate,bad_rate,edge,roi,confidence,mean_error
Moderate,Closing,Red,75-100,19,13,0,68.42105263157895,0.0,68.42105263157895,18.840579710144926,EXPLORATORY,-2.590712729263158
Calm,Closing,Purple,75-100,157,61,23,38.853503184713375,14.64968152866242,24.203821656050955,18.357487922705314,HIGH,-1.4799410786263694
Moderate,Open,Red,75-100,27,17,4,62.96296296296296,14.814814814814813,48.14814814814815,16.883116883116884,EXPLORATORY,-1.3789193776044444
Moderate,Closing,Purple,75-100,65,23,9,35.38461538461539,13.846153846153847,21.53846153846154,12.173913043478262,HIGH,-1.0499294983005985
Tough,Open,Yellow,25-50,66,21,8,31.818181818181817,12.121212121212121,19.696969696969695,11.206896551724137,HIGH,-1.1072186397041062
Tough,Positioning,Orange,50-75,42,12,2,28.57142857142857,4.761904761904762,23.809523809523807,10.869565217391303,HIGH,-1.0841860790007143
Moderate,Positioning,Red,50-75,80,29,15,36.25,18.75,17.5,10.76923076923077,HIGH,-0.430160196875
Moderate,Closing,Orange,0-25,15,9,2,60.0,13.333333333333334,46.666666666666664,10.76923076923077,EXPLORATORY,-2.0045513400933332
Moderate,Survival,Pink,25-50,43,17,7,39.53488372093023,16.27906976744186,23.25581395348837,10.75268817204301,HIGH,-1.1333263238883724
Tough,Open,Orange,25-50,71,22,9,30.985915492957744,12.676056338028168,18.309859154929576,10.743801652892563,HIGH,-0.7417164428630986
Tough,Open,Blue,25-50,63,20,9,31.746031746031743,14.285714285714285,17.46031746031746,9.734513274336281,HIGH,-0.37373220585358735
Tough,Positioning,Blue,50-75,95,33,19,34.73684210526316,20.0,14.736842105263158,9.655172413793103,HIGH,-0.7724102799125159
Tough,Survival,Yellow,50-75,230,71,44,30.869565217391305,19.130434782608695,11.73913043478261,9.642857142857142,HIGH,-0.6089726258577043
Calm,Survival,Orange,0-25,14,8,2,57.14285714285714,14.285714285714285,42.857142857142854,9.375,WEAK,-1.2352015368585716
Tough,Survival,Purple,25-50,51,17,8,33.33333333333333,15.686274509803921,17.647058823529406,8.910891089108908,HIGH,-0.3412117318359019
Calm,Open,Pink,50-75,18,7,1,38.88888888888889,5.555555555555555,33.333333333333336,8.823529411764707,EXPLORATORY,-0.8578569857444445
Moderate,Survival,Orange,0-25,18,8,2,44.44444444444444,11.11111111111111,33.33333333333333,8.823529411764705,EXPLORATORY,-1.2673269159644445
Calm,Survival,Pink,50-75,7,5,0,71.42857142857143,0.0,71.42857142857143,8.771929824561404,WEAK,-2.993760349652857
Tough,Survival,Green,25-50,64,22,12,34.375,18.75,15.625,8.771929824561402,HIGH,-1.0499771375947813
