Rank,Color,Personal Day,Sample Size,% Beating Field Avg,# Beating Field Avg,Mean Performance,Std Dev,Typical Range (±1σ),Min,Max,Stability,Verdict
1,Brown,6,6,83.33333333333333,5,-1.0528646249333333,1.2419696513519738,-2.29 to 0.19,-2.455882353,0.9422382671,Volatile,PREMIER EDGE (Less predictable)
2,Brown,9,9,77.77777777777777,7,-0.5690280449222223,3.3745177183428905,-3.94 to 2.81,-3.868159204,7.131840796,Erratic,PREMIER EDGE (Less predictable)
3,Pink,33,8,75.0,6,-1.4176362986225,1.6726864574461269,-3.09 to 0.26,-4.653594771,1.063241107,Erratic,PREMIER EDGE (Less predictable)
4,Brown,4,11,72.72727272727273,8,-0.6977613783727272,2.6063809461099816,-3.30 to 1.91,-3.13986014,6.289473684,Erratic,PREMIER EDGE (Less predictable)
5,Pink,11,10,70.0,7,-0.40913866251799985,3.0605476686341566,-3.47 to 2.65,-6.240549828,5.581291759,Erratic,PREMIER EDGE (Less predictable)
6,Pink,2,33,69.6969696969697,23,-0.7492119514478787,2.80950248993197,-3.56 to 2.06,-7.306896552,7.363207547,Erratic,PREMIER EDGE (Less predictable)
7,Pink,3,44,68.18181818181819,30,-1.232383325659091,3.1947895321672566,-4.43 to 1.96,-9.2039801,6.285714286,Erratic,PREMIER EDGE (Less predictable)
8,Pink,7,52,67.3076923076923,35,-0.4546490251067308,2.408156979705745,-2.86 to 1.95,-5.2039801,6.655647383,Erratic,PREMIER EDGE (Less predictable)
9,Brown,5,16,62.5,10,-0.14335075020625004,1.9733444029312894,-2.12 to 1.83,-2.826,3.705440901,Erratic,PREMIER EDGE (Less predictable)
10,Brown,8,8,62.5,5,-0.012225016899999774,3.742666054436301,-3.75 to 3.73,-4.820224719,6.063241107,Erratic,PREMIER EDGE (Less predictable)
11,Red,4,138,62.31884057971015,86,-0.27858178917829707,3.086348129233797,-3.36 to 2.81,-5.858181818,11.35064935,Erratic,PREMIER EDGE (Less predictable)
12,Red,8,199,58.79396984924623,117,-0.31231796614567836,2.8106944037377937,-3.12 to 2.50,-6.658666667,8.741847826,Erratic,PREMIER EDGE (Less predictable)
13,Pink,1,43,58.13953488372093,25,-0.5315228413227907,3.04604680468036,-3.58 to 2.51,-5.088709677,7.870201097,Erratic,PREMIER EDGE (Less predictable)
14,Purple,11,271,57.93357933579336,157,-0.4761998676519188,2.9074034197052527,-3.38 to 2.43,-7.2039801,8.705440901,Erratic,PREMIER EDGE (Less predictable)
15,Red,9,190,57.89473684210526,110,-0.16438657461286843,2.9929951639083687,-3.16 to 2.83,-8.041860465,8.865284974,Erratic,PREMIER EDGE (Less predictable)
16,Green,22,255,57.64705882352941,147,-0.46868810180629406,2.836539365982014,-3.31 to 2.37,-6.866473149,6.776978417,Erratic,PREMIER EDGE (Less predictable)
17,Orange,33,220,57.27272727272727,126,-0.2963992295682728,2.6378564924470185,-2.93 to 2.34,-8.621794872,7.793495935,Erratic,PREMIER EDGE (Less predictable)
18,Brown,3,14,57.142857142857146,8,-0.7796397266928567,2.213520582281619,-2.99 to 1.43,-5.717741935,2.759868421,Erratic,PREMIER EDGE (Less predictable)
19,Brown,1,7,57.142857142857146,4,-0.07375373685714288,5.146268868393957,-5.22 to 5.07,-6.067851373,8.174,Erratic,PREMIER EDGE (Less predictable)
20,Green,2,605,56.69421487603306,343,-0.26965214703872237,3.0504757472004913,-3.32 to 2.78,-10.53814147,10.43225806,Erratic,PREMIER EDGE (Less predictable)
21,Orange,1,1004,56.57370517928287,568,-0.31954965534652885,3.087499559318454,-3.41 to 2.77,-8.068870523,16.13352685,Erratic,PREMIER EDGE (Less predictable)
22,Yellow,22,807,56.50557620817844,456,-0.30434026349429,2.8837676034189488,-3.19 to 2.58,-7.969453376,9.570512821,Erratic,PREMIER EDGE (Less predictable)
23,Purple,3,942,56.26326963906582,530,-0.21565257403980043,3.025604243326017,-3.24 to 2.81,-8.290275762,11.70972424,Erratic,PREMIER EDGE (Less predictable)
24,Green,11,244,56.14754098360656,137,-0.26212844412405745,2.9432084696670824,-3.21 to 2.68,-8.294117647,7.91292876,Erratic,PREMIER EDGE (Less predictable)
25,Purple,1,921,55.91748099891422,515,-0.20858142925471773,2.9021507743782053,-3.11 to 2.69,-8.866473149,10.26923077,Erratic,STRONG EDGE (Less predictable)
26,Orange,2,777,55.85585585585586,434,-0.39445052885726517,2.886628409880877,-3.28 to 2.49,-10.84586466,10.99517685,Erratic,STRONG EDGE (Less predictable)
27,Yellow,33,525,55.80952380952381,293,-0.27776976124312386,2.8160829989052214,-3.09 to 2.54,-9.292134831,8.610722611,Erratic,STRONG EDGE (Less predictable)
28,Green,1,817,55.69155446756426,455,-0.27558387560938796,2.940061405696923,-3.22 to 2.66,-8.747440273,8.610722611,Erratic,STRONG EDGE (Less predictable)
29,Orange,11,276,55.43478260869565,153,-0.24942849224782607,2.799859059020265,-3.05 to 2.55,-7.872964169,9.770491803,Erratic,STRONG EDGE (Less predictable)
30,Green,8,776,55.41237113402062,430,-0.11331163887361471,2.8449245387705395,-2.96 to 2.73,-7.714285714,10.03054662,Erratic,STRONG EDGE (Less predictable)
31,Yellow,3,2444,55.36006546644845,1353,-0.18694405837529257,2.9552617507886554,-3.14 to 2.77,-9.198675497,10.64130435,Erratic,STRONG EDGE (Less predictable)
32,Orange,22,329,55.319148936170215,182,-0.37419685111613066,2.894853266504793,-3.27 to 2.52,-9.004823151,9.133526851,Erratic,STRONG EDGE (Less predictable)
33,Pink,4,38,55.26315789473684,21,-0.3114161767757895,2.917353306621289,-3.23 to 2.61,-5.480968858,4.840319361,Erratic,STRONG EDGE (Less predictable)
34,Orange,8,1092,55.12820512820513,602,-0.16185683387627747,2.8814566203499776,-3.04 to 2.72,-11.00482315,11.03588907,Erratic,STRONG EDGE (Less predictable)
35,Purple,9,913,55.09309967141292,503,-0.09626688583185103,2.9591822993023986,-3.06 to 2.86,-9.347349177,9.879443586,Erratic,STRONG EDGE (Less predictable)
36,Yellow,7,2384,54.9496644295302,1310,-0.17157069274330705,2.9596909094841606,-3.13 to 2.79,-9.555555556,11.50851582,Erratic,STRONG EDGE (Less predictable)
37,Green,4,554,54.87364620938628,304,-0.1147680904662094,2.9007308865183954,-3.02 to 2.79,-7.658634538,9.855769231,Erratic,STRONG EDGE (Less predictable)
38,Purple,4,646,54.79876160990712,354,-0.22114730979905572,2.9217086135392294,-3.14 to 2.70,-7.292134831,11.61072261,Erratic,STRONG EDGE (Less predictable)
39,Blue,8,1305,54.78927203065134,715,-0.173409341005682,2.8235091929035945,-3.00 to 2.65,-9.872964169,10.48453608,Erratic,STRONG EDGE (Less predictable)
40,Blue,9,1277,54.737666405638215,699,-0.13689804399511352,2.9652586776853185,-3.10 to 2.83,-11.12055641,12.61072261,Erratic,STRONG EDGE (Less predictable)
41,Purple,2,684,54.67836257309941,374,-0.1914786917863158,2.8650908336893033,-3.06 to 2.67,-7.866473149,11.12753623,Erratic,STRONG EDGE (Less predictable)
42,Purple,8,923,54.604550379198265,504,-0.2604647634313218,2.942467501297765,-3.20 to 2.68,-8.896907216,9.740601504,Erratic,STRONG EDGE (Less predictable)
43,Red,11,55,54.54545454545455,30,-0.1353299153221818,2.755866448014028,-2.89 to 2.62,-6.379562044,6.275985663,Erratic,STRONG EDGE (Less predictable)
44,Pink,22,11,54.54545454545455,6,0.698075329690909,3.628555679333082,-2.93 to 4.33,-2.38762215,9.801324503,Erratic,STRONG EDGE (Less predictable)
45,Green,33,189,54.4973544973545,103,-0.1501674752916931,2.7798705632305003,-2.93 to 2.63,-7.530081301,6.728850325,Erratic,STRONG EDGE (Less predictable)
46,Blue,4,863,54.461181923522595,470,-0.14601909987331402,2.9697987086470126,-3.12 to 2.82,-9.456521739,10.01282051,Erratic,STRONG EDGE (Less predictable)
47,Orange,3,985,54.41624365482234,536,-0.18382767023953808,2.8985428686780836,-3.08 to 2.71,-9.512903226,10.43225806,Erratic,STRONG EDGE (Less predictable)
48,Orange,9,1035,54.39613526570049,563,-0.1273146085628551,2.984745825456344,-3.11 to 2.86,-8.541958042,14.06896552,Erratic,STRONG EDGE (Less predictable)
49,Green,9,767,54.36766623207301,417,-0.16720292735320338,3.0041042983622988,-3.17 to 2.84,-9.229508197,11.70972424,Erratic,STRONG EDGE (Less predictable)
50,Green,3,789,54.245880861850445,428,-0.11734726022267432,3.044584041802626,-3.16 to 2.93,-9.046979866,9.932148627,Erratic,STRONG EDGE (Less predictable)
51,Purple,5,963,53.99792315680166,520,-0.11730773160859506,2.899037441776961,-3.02 to 2.78,-9.872964169,9.94516129,Erratic,MODERATE EDGE (Less predictable)
52,Yellow,1,2510,53.94422310756972,1354,-0.11361396881440401,2.975731206476137,-3.09 to 2.86,-9.764705882,12.13352685,Erratic,MODERATE EDGE (Less predictable)
53,Orange,7,1087,53.90984360625575,586,-0.16227179830927785,2.9364860780004505,-3.10 to 2.77,-8.889305816,10.75986842,Erratic,MODERATE EDGE (Less predictable)
54,Purple,22,284,53.87323943661972,153,-0.3796180951665845,2.919093127275938,-3.30 to 2.54,-7.613893376,7.709724238,Erratic,MODERATE EDGE (Less predictable)
55,Red,2,132,53.78787878787879,71,-0.07929417620454537,2.848351562644861,-2.93 to 2.77,-7.509015257,8.350649351,Erratic,MODERATE EDGE (Less predictable)
56,Yellow,4,1658,53.67913148371532,890,-0.11536147901069964,2.9341260225157435,-3.05 to 2.82,-7.700325733,16.70588235,Erratic,MODERATE EDGE (Less predictable)
57,Red,1,179,53.63128491620112,96,0.08148230485916204,3.2458444737036527,-3.16 to 3.33,-7.130769231,11.86923077,Erratic,MODERATE EDGE (Less predictable)
58,Blue,2,877,53.59179019384265,470,-0.229574224183862,2.915871156521373,-3.15 to 2.69,-9.234248788,9.103641457,Erratic,MODERATE EDGE (Less predictable)
59,Blue,33,265,53.58490566037736,142,-0.07926838587464152,3.136916289291858,-3.22 to 3.06,-6.567474048,10.70786517,Erratic,MODERATE EDGE (Less predictable)
60,Blue,3,1343,53.53685778108712,719,-0.15882107887123006,3.001693096046453,-3.16 to 2.84,-9.70096463,12.3257329,Erratic,MODERATE EDGE (Less predictable)
61,Green,7,833,53.421368547418965,445,-0.12670727055300599,3.021308045507177,-3.15 to 2.89,-9.252427184,10.26404494,Erratic,MODERATE EDGE (Less predictable)
62,Blue,5,1362,53.37738619676946,727,-0.02784739634726504,2.9696693873294135,-3.00 to 2.94,-16.60596026,14.11363636,Erratic,MODERATE EDGE (Less predictable)
63,Yellow,6,1969,53.37734890807516,1051,-0.1357975678350777,2.991433328058587,-3.13 to 2.86,-9.344352617,10.46503497,Erratic,MODERATE EDGE (Less predictable)
64,Yellow,2,1709,53.36454066705676,912,-0.08354781436041546,2.9651139578661674,-3.05 to 2.88,-10.5300813,10.99517685,Erratic,MODERATE EDGE (Less predictable)
65,Green,5,861,53.31010452961672,459,-0.16725724992524973,2.917095192449047,-3.08 to 2.75,-7.38762215,9.705440901,Erratic,MODERATE EDGE (Less predictable)
66,Green,6,700,53.285714285714285,373,-0.15583525647364999,2.9699108927597497,-3.13 to 2.81,-9.674267101,10.93214863,Erratic,MODERATE EDGE (Less predictable)
67,Blue,22,428,53.271028037383175,228,-0.05160363066065418,2.9561793998668233,-3.01 to 2.90,-9.866473149,9.995176849,Erratic,MODERATE EDGE (Less predictable)
68,Yellow,8,2483,53.20177204993959,1321,-0.11868239349915831,2.895040080061181,-3.01 to 2.78,-9.252427184,12.646,Erratic,MODERATE EDGE (Less predictable)
69,Orange,4,695,53.093525179856115,369,-0.11691482935355399,2.8226210642737444,-2.94 to 2.71,-7.96411093,8.86013986,Erratic,MODERATE EDGE (Less predictable)
70,Pink,9,49,53.06122448979592,26,0.006605756354693886,2.799916992144774,-2.79 to 2.81,-5.63681592,5.159836066,Erratic,MODERATE EDGE (Less predictable)
71,Blue,1,1284,53.03738317757009,681,-0.06760339951439252,2.9293697863608013,-3.00 to 2.86,-10.61389338,12.34133333,Erratic,MODERATE EDGE (Less predictable)
72,Yellow,11,747,53.01204819277108,396,-0.1150536847404552,2.945725493447103,-3.06 to 2.83,-10.70032573,10.83360258,Erratic,MODERATE EDGE (Less predictable)
73,Purple,6,701,52.9243937232525,371,-0.14885153874407991,3.1186509242336076,-3.27 to 2.97,-10.37956204,10.63588391,Erratic,MODERATE EDGE (Less predictable)
74,Blue,7,1363,52.8980190755686,721,-0.11653159832388262,3.044529472476544,-3.16 to 2.93,-15.16639742,15.95813953,Erratic,MODERATE EDGE (Less predictable)
75,Red,3,191,52.87958115183246,101,-0.15918349006848173,2.863106344435668,-3.02 to 2.70,-8.294117647,8.669291339,Erratic,MODERATE EDGE (Less predictable)
76,Orange,5,1043,52.828379674017256,551,-0.12614264339673062,2.981861573989033,-3.11 to 2.86,-23.78057554,10.83680556,Erratic,MODERATE EDGE (Less predictable)
77,Orange,6,765,52.549019607843135,402,-0.10436450796464704,2.905626454161017,-3.01 to 2.80,-9.13363029,9.556603774,Erratic,MODERATE EDGE (Less predictable)
78,Purple,33,198,52.525252525252526,104,-0.2341507244942929,2.793309510853494,-3.03 to 2.56,-6.841409692,6.693103448,Erratic,MODERATE EDGE (Less predictable)
79,Pink,8,40,52.5,21,0.211696794855,3.22848631983028,-3.02 to 3.44,-4.63681592,7.36318408,Erratic,MODERATE EDGE (Less predictable)
80,Yellow,9,2558,52.423768569194685,1341,-0.06922566044999416,2.887249426109519,-2.96 to 2.82,-11.00482315,14.74757282,Erratic,MODERATE EDGE (Less predictable)
81,Purple,7,924,52.16450216450217,482,-0.09300676738759743,3.009088697341966,-3.10 to 2.92,-10.88930582,14.63588391,Erratic,MODERATE EDGE (Less predictable)
