condition,round_type,color,upside_bucket,n,good,bad,good_rate,bad_rate,edge,roi,confidence,mean_error
Moderate,REMOVE,Orange,25-50,20,20,0,100.0,0.0,100.0,28.57142857142857,EXPLORATORY,-4.8790315853
Moderate,REMOVE,Orange,50-75,50,22,1,44.0,2.0,42.0,21.0,HIGH,-1.8857639489774
Moderate,REMOVE,Blue,75-100,69,29,7,42.028985507246375,10.144927536231885,31.884057971014492,18.487394957983195,HIGH,-1.7355611006675362
Moderate,REMOVE,Yellow,75-100,105,51,23,48.57142857142857,21.904761904761905,26.666666666666664,18.064516129032256,HIGH,-1.448103745252381
Calm,REMOVE,Red,75-100,18,13,1,72.22222222222221,5.555555555555555,66.66666666666666,17.64705882352941,EXPLORATORY,-2.746027157477778
Moderate,Positioning,Red,50-75,100,38,14,38.0,14.000000000000002,24.0,16.0,HIGH,-0.7583790988078001
Moderate,REMOVE,Purple,75-100,36,17,4,47.22222222222222,11.11111111111111,36.111111111111114,15.116279069767444,HIGH,-2.406673056841667
Calm,Closing,Blue,25-50,136,45,17,33.088235294117645,12.5,20.588235294117645,15.053763440860214,HIGH,-0.5317299176573531
Moderate,REMOVE,Purple,25-50,10,8,0,80.0,0.0,80.0,13.333333333333332,WEAK,-5.10586640668
Moderate,REMOVE,Blue,25-50,12,10,2,83.33333333333334,16.666666666666664,66.66666666666669,12.903225806451616,WEAK,-5.637101542976666
Moderate,REMOVE,Yellow,50-75,113,32,11,28.31858407079646,9.734513274336283,18.58407079646018,12.883435582822086,HIGH,-0.6833425065654867
Tough,Open,Yellow,50-75,91,27,9,29.67032967032967,9.89010989010989,19.78021978021978,12.765957446808512,HIGH,-0.8205133648461868
Calm,Closing,Green,75-100,288,99,57,34.375,19.791666666666664,14.583333333333336,12.426035502958582,HIGH,-0.5063520520651736
Tough,Survival,Yellow,50-75,77,31,16,40.25974025974026,20.77922077922078,19.480519480519483,11.811023622047246,HIGH,-0.6546757192430128
Moderate,Closing,Green,50-75,363,127,79,34.9862258953168,21.763085399449036,13.223140495867764,11.622276029055685,HIGH,-0.35597603961994484
Moderate,Positioning,Purple,25-50,21,8,0,38.095238095238095,0.0,38.095238095238095,11.267605633802816,EXPLORATORY,-1.87474592790619
Tough,Open,Orange,75-100,48,15,4,31.25,8.333333333333332,22.916666666666668,11.224489795918368,HIGH,-0.662758830320625
Moderate,Closing,Yellow,25-50,209,63,34,30.14354066985646,16.267942583732058,13.875598086124402,11.196911196911199,HIGH,-1.0741951219647847
Moderate,REMOVE,Red,75-100,23,10,2,43.47826086956522,8.695652173913043,34.78260869565217,10.95890410958904,EXPLORATORY,-1.956695090178261
Tough,Survival,Purple,25-50,34,11,2,32.35294117647059,5.88235294117647,26.470588235294116,10.714285714285714,HIGH,-1.4117717749195293
Calm,Mixed,Brown,50-75,6,6,0,100.0,0.0,100.0,10.714285714285714,WEAK,-3.2266051798666666
Moderate,Survival,Purple,75-100,298,100,65,33.557046979865774,21.812080536912752,11.744966442953022,10.057471264367818,HIGH,-0.39349149268803973
Calm,Closing,Purple,25-50,41,14,5,34.146341463414636,12.195121951219512,21.951219512195124,9.89010989010989,HIGH,-0.9329025270365855
Calm,Open,Yellow,25-50,284,84,51,29.577464788732392,17.95774647887324,11.619718309859152,9.880239520958082,HIGH,-0.4541150854129578
Calm,REMOVE,Purple,25-50,12,6,0,50.0,0.0,50.0,9.67741935483871,WEAK,-2.052087801766667
Moderate,REMOVE,Yellow,25-50,12,8,2,66.66666666666666,16.666666666666664,49.99999999999999,9.677419354838708,WEAK,-2.6981956908083333
Moderate,Closing,Orange,25-50,92,34,21,36.95652173913043,22.82608695652174,14.130434782608692,9.154929577464786,HIGH,-0.3040038797176086
Tough,Survival,Green,50-75,104,29,15,27.884615384615387,14.423076923076922,13.461538461538465,9.090909090909093,HIGH,-0.7605940757221347
Tough,Positioning,Green,75-100,40,14,6,35.0,15.0,20.0,8.88888888888889,HIGH,-0.90423388017275
Calm,Closing,Yellow,25-50,302,99,68,32.78145695364238,22.516556291390728,10.264900662251655,8.806818181818182,HIGH,-0.3916087472913576
Calm,Open,Green,25-50,76,25,14,32.89473684210527,18.421052631578945,14.473684210526322,8.730158730158733,HIGH,-0.5933305197894738
Moderate,Positioning,Pink,50-75,20,9,3,45.0,15.0,30.0,8.571428571428571,EXPLORATORY,-0.75011678403
Calm,REMOVE,Purple,50-75,168,49,31,29.166666666666668,18.452380952380953,10.714285714285715,8.256880733944955,HIGH,-0.2699054381621429
Tough,Positioning,Orange,75-100,48,14,6,29.166666666666668,12.5,16.666666666666668,8.16326530612245,HIGH,-0.928503046305125
Calm,Positioning,Yellow,25-50,255,73,50,28.627450980392155,19.607843137254903,9.019607843137251,7.540983606557375,HIGH,-0.6330804969886275
Tough,Open,Orange,25-50,17,7,2,41.17647058823529,11.76470588235294,29.411764705882348,7.462686567164178,EXPLORATORY,-0.7312712367929413
Moderate,REMOVE,Blue,50-75,99,32,21,32.323232323232325,21.21212121212121,11.111111111111114,7.382550335570472,HIGH,-0.5206950090979798
Moderate,REMOVE,Pink,50-75,5,4,0,80.0,0.0,80.0,7.272727272727273,WEAK,-3.01377826502
Moderate,Closing,Blue,50-75,671,211,159,31.445603576751118,23.69597615499255,7.749627421758568,7.212205270457696,HIGH,-0.1710348613770476
Calm,Closing,Pink,50-75,48,15,8,31.25,16.666666666666664,14.583333333333336,7.142857142857144,HIGH,-0.5783730900020833
Moderate,Closing,Orange,50-75,398,121,89,30.402010050251256,22.36180904522613,8.040201005025125,7.1428571428571415,HIGH,-0.2684771705475125
Calm,Positioning,Brown,25-50,6,4,0,66.66666666666666,0.0,66.66666666666666,7.1428571428571415,WEAK,-2.3602621654333333
Calm,REMOVE,Blue,50-75,304,82,57,26.973684210526315,18.75,8.223684210526315,7.062146892655367,HIGH,-0.46230444416427635
Tough,Open,Green,75-100,35,10,4,28.57142857142857,11.428571428571429,17.14285714285714,7.058823529411763,HIGH,-0.9644806495353714
Moderate,REMOVE,Green,75-100,37,8,2,21.62162162162162,5.405405405405405,16.216216216216218,6.8965517241379315,HIGH,-1.5464118423837836
Calm,Positioning,Pink,25-50,9,5,1,55.55555555555556,11.11111111111111,44.44444444444444,6.779661016949153,WEAK,-2.892521248455555
Moderate,Survival,Brown,75-100,10,6,2,60.0,20.0,40.0,6.666666666666666,WEAK,-0.5330817327799998
Calm,REMOVE,Orange,75-100,132,35,23,26.515151515151516,17.424242424242426,9.09090909090909,6.593406593406592,HIGH,-0.35137453490833337
Tough,Positioning,Yellow,75-100,108,31,21,28.703703703703702,19.444444444444446,9.259259259259256,6.32911392405063,HIGH,-0.4401212783793519
Calm,Open,Purple,25-50,94,34,25,36.17021276595745,26.595744680851062,9.574468085106389,6.250000000000004,HIGH,-0.23709254251989362
Calm,REMOVE,Yellow,25-50,15,6,2,40.0,13.333333333333334,26.666666666666664,6.153846153846153,EXPLORATORY,-1.5211036420200001
Calm,REMOVE,Pink,50-75,16,7,3,43.75,18.75,25.0,6.0606060606060606,EXPLORATORY,-1.4485317205750001
Calm,REMOVE,Yellow,75-100,217,55,39,25.34562211981567,17.972350230414747,7.373271889400922,5.99250936329588,HIGH,-0.2275452196993549
Tough,Positioning,Orange,50-75,84,23,15,27.380952380952383,17.857142857142858,9.523809523809526,5.9701492537313445,HIGH,-0.0043079116443334176
Moderate,Survival,Pink,75-100,17,7,3,41.17647058823529,17.647058823529413,23.529411764705877,5.970149253731342,EXPLORATORY,-1.0494763233529412
Tough,Open,Blue,25-50,19,7,3,36.84210526315789,15.789473684210526,21.052631578947363,5.7971014492753605,EXPLORATORY,-0.05635708779663158
Moderate,Positioning,Green,50-75,436,126,98,28.899082568807337,22.477064220183486,6.422018348623851,5.761316872427982,HIGH,-0.15487721334281385
Moderate,Positioning,Orange,50-75,392,112,88,28.57142857142857,22.448979591836736,6.122448979591834,5.429864253393662,HIGH,-0.2373854963959694
Calm,Positioning,Brown,50-75,6,3,0,50.0,0.0,50.0,5.357142857142857,WEAK,-2.798111220333334
Moderate,Closing,Brown,50-75,6,4,1,66.66666666666666,16.666666666666664,49.99999999999999,5.357142857142856,WEAK,-1.2874044678333334
Calm,Survival,Red,50-75,363,116,94,31.955922865013775,25.895316804407713,6.060606060606062,5.326876513317193,HIGH,-0.3874356601539945
Moderate,Survival,Pink,50-75,46,12,7,26.08695652173913,15.217391304347828,10.869565217391301,5.208333333333332,HIGH,-0.4228867873000001
Tough,Positioning,Yellow,50-75,340,83,64,24.41176470588235,18.823529411764707,5.588235294117645,4.8717948717948705,HIGH,-0.5820689850402646
Moderate,REMOVE,Purple,50-75,55,20,15,36.36363636363637,27.27272727272727,9.090909090909097,4.761904761904765,HIGH,-0.021099188470909136
Moderate,Survival,Orange,25-50,101,29,22,28.71287128712871,21.782178217821784,6.930693069306926,4.6357615894039705,HIGH,-0.37948159556039607
Tough,Survival,Yellow,75-100,214,55,43,25.70093457943925,20.093457943925234,5.607476635514015,4.545454545454542,HIGH,-0.45796298496058874
Moderate,Survival,Green,50-75,751,228,192,30.359520639147803,25.5659121171771,4.793608521970704,4.494382022471908,HIGH,-0.02149479927119145
Moderate,Closing,Purple,50-75,415,116,96,27.951807228915666,23.132530120481928,4.819277108433738,4.301075268817207,HIGH,-0.3964145757226239
Moderate,REMOVE,Orange,75-100,90,22,16,24.444444444444443,17.77777777777778,6.666666666666664,4.285714285714285,HIGH,-0.5911956981755556
Moderate,Survival,Purple,50-75,803,238,203,29.638854296388544,25.280199252801992,4.358655043586552,4.1031652989449015,HIGH,-0.18214546749489968
Calm,REMOVE,Purple,75-100,48,12,8,25.0,16.666666666666664,8.333333333333336,4.0816326530612255,HIGH,-0.03580765298750007
Calm,REMOVE,Brown,75-100,2,2,0,100.0,0.0,100.0,3.8461538461538463,WEAK,-2.53589853
Calm,Elimination,Green,25-50,2,2,0,100.0,0.0,100.0,3.8461538461538463,WEAK,-2.724952005
Calm,REMOVE,Blue,75-100,133,33,26,24.81203007518797,19.548872180451127,5.2631578947368425,3.825136612021858,HIGH,-0.43388776640796994
Moderate,Survival,Green,25-50,55,12,8,21.818181818181817,14.545454545454545,7.272727272727272,3.8095238095238093,HIGH,-0.3902161729349091
Tough,Open,Blue,50-75,84,23,18,27.380952380952383,21.428571428571427,5.952380952380956,3.731343283582092,HIGH,-0.3885046556763095
Tough,Positioning,Pink,75-100,4,2,0,50.0,0.0,50.0,3.7037037037037033,WEAK,-2.838986150715
