condition,round_type,color,exec,upside,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence
Tough,Survival,Pink,25-50,50-75,2,0,2,0.0,100.0,-100.0,3.5129915807,WEAK
Tough,Survival,Blue,75-100,50-75,2,0,2,0.0,100.0,-100.0,3.9988270667499997,WEAK
Tough,Survival,Yellow,75-100,50-75,2,0,2,0.0,100.0,-100.0,2.805501505785,WEAK
Tough,Survival,Yellow,50-75,25-50,4,0,4,0.0,100.0,-100.0,4.400136031534999,WEAK
Calm,Open,Orange,75-100,75-100,2,0,2,0.0,100.0,-100.0,2.7588376612,WEAK
Tough,Positioning,Purple,75-100,75-100,2,0,2,0.0,100.0,-100.0,6.6629031964,WEAK
Calm,Survival,Orange,50-75,25-50,5,0,5,0.0,100.0,-100.0,4.151851665760001,WEAK
Tough,Closing,Yellow,75-100,50-75,2,0,2,0.0,100.0,-100.0,2.8470780491,WEAK
Tough,Survival,Red,50-75,75-100,7,0,7,0.0,100.0,-100.0,3.984311963372857,WEAK
Moderate,Closing,Brown,50-75,50-75,4,4,0,100.0,0.0,100.0,-2.44971837815,WEAK
Moderate,Positioning,Brown,50-75,50-75,3,3,0,100.0,0.0,100.0,-3.0847760483,WEAK
Calm,Survival,Blue,50-75,25-50,28,0,23,0.0,82.14285714285714,-82.14285714285714,3.8635773153749997,EXPLORATORY
Moderate,Survival,Blue,75-100,75-100,4,3,0,75.0,0.0,75.0,-2.7416714541749996,WEAK
Moderate,Closing,Red,75-100,50-75,8,6,0,75.0,0.0,75.0,-3.313216545075,WEAK
Moderate,Positioning,Yellow,75-100,75-100,10,7,0,70.0,0.0,70.0,-3.2393963947400004,WEAK
Tough,Positioning,Orange,75-100,50-75,3,0,2,0.0,66.66666666666666,-66.66666666666666,2.2832069194159996,WEAK
Calm,Positioning,Pink,75-100,50-75,3,0,2,0.0,66.66666666666666,-66.66666666666666,2.2548844707333333,WEAK
Moderate,Open,Brown,50-75,50-75,3,2,0,66.66666666666666,0.0,66.66666666666666,-5.702922686296667,WEAK
Tough,Positioning,Red,75-100,50-75,3,0,2,0.0,66.66666666666666,-66.66666666666666,2.4667145969566664,WEAK
Calm,Survival,Pink,50-75,50-75,6,4,0,66.66666666666666,0.0,66.66666666666666,-2.8425604331666663,WEAK
Moderate,Survival,Yellow,75-100,75-100,15,10,0,66.66666666666666,0.0,66.66666666666666,-4.21965996944,EXPLORATORY
Calm,Positioning,Brown,50-75,75-100,3,0,2,0.0,66.66666666666666,-66.66666666666666,4.723964848666666,WEAK
Calm,Positioning,Brown,25-50,25-50,6,4,0,66.66666666666666,0.0,66.66666666666666,-2.3602621654333333,WEAK
