condition,round_type,color,exec,upside,gap,n,good,bad,good_rate,bad_rate,edge,mean_error,confidence
Moderate,Open,Pink,50-75,50-75,-10-0,4,0,4,0.0,100.0,-100.0,3.4560299179,WEAK
Moderate,Open,Orange,50-75,50-75,<-20,2,0,2,0.0,100.0,-100.0,4.1909194918,WEAK
Moderate,Open,Pink,25-50,50-75,-20--10,3,0,3,0.0,100.0,-100.0,4.3207993116,WEAK
Moderate,Open,Green,75-100,50-75,20+,3,3,0,100.0,0.0,100.0,-5.488462740733333,WEAK
Moderate,Open,Green,50-75,50-75,<-20,2,2,0,100.0,0.0,100.0,-2.2802646441,WEAK
Calm,Open,Pink,25-50,50-75,-20--10,2,0,2,0.0,100.0,-100.0,2.9709850514999996,WEAK
Calm,Open,Brown,50-75,50-75,-10-0,4,0,4,0.0,100.0,-100.0,3.72463771,WEAK
Tough,Open,Orange,50-75,75-100,<-20,2,2,0,100.0,0.0,100.0,-2.4934060972,WEAK
Calm,Open,Orange,75-100,75-100,-10-0,2,0,2,0.0,100.0,-100.0,2.7588376612,WEAK
Moderate,Open,Yellow,75-100,75-100,0-10,6,0,4,0.0,66.66666666666666,-66.66666666666666,2.5214817261666664,WEAK
Moderate,Open,Green,50-75,25-50,10-20,3,2,0,66.66666666666666,0.0,66.66666666666666,-1.942029987,WEAK
Moderate,Open,Red,50-75,75-100,-10-0,6,0,4,0.0,66.66666666666666,-66.66666666666666,3.1086266877666673,WEAK
Moderate,Open,Blue,25-50,25-50,-10-0,35,2,25,5.714285714285714,71.42857142857143,-65.71428571428571,2.471687723545714,HIGH
Calm,Open,Red,25-50,50-75,-20--10,15,9,0,60.0,0.0,60.0,-2.1910435435666664,EXPLORATORY
Tough,Open,Purple,50-75,75-100,-10-0,7,0,4,0.0,57.14285714285714,-57.14285714285714,1.7279469831985714,WEAK
Moderate,Open,Red,75-100,50-75,0-10,25,17,4,68.0,16.0,52.0,-1.4269220950368,EXPLORATORY
Calm,Open,Red,75-100,50-75,0-10,31,0,16,0.0,51.61290322580645,-51.61290322580645,2.5932107153645165,HIGH
Calm,Open,Brown,50-75,75-100,<-20,2,1,0,50.0,0.0,50.0,-3.0347205285000003,WEAK
