edge_bucket,sample_n,wins,ties,losses,win_pct,tie_pct,loss_pct,fair_win_prob,fair_win_pct
-19.5,13,5,3,5,38.46153846153846,23.076923076923077,38.46153846153846,0.5,50.0
-17.75,11,9,0,2,81.81818181818181,0.0,18.181818181818183,0.8181818181818182,81.81818181818183
-17.5,16,12,0,4,75.0,0.0,25.0,0.75,75.0
-16.25,13,6,3,4,46.15384615384615,23.076923076923077,30.76923076923077,0.5769230769230769,57.692307692307686
-13.75,12,4,2,6,33.333333333333336,16.666666666666668,50.0,0.4166666666666667,41.66666666666667
-12.0,34,11,5,18,32.35294117647059,14.705882352941176,52.94117647058823,0.39705882352941174,39.705882352941174
-11.75,34,18,4,12,52.94117647058823,11.764705882352942,35.294117647058826,0.5882352941176471,58.82352941176471
-11.5,13,6,2,5,46.15384615384615,15.384615384615385,38.46153846153846,0.5384615384615384,53.84615384615385
-11.0,22,12,4,6,54.54545454545455,18.181818181818183,27.272727272727273,0.6363636363636364,63.63636363636363
-9.25,19,11,0,8,57.89473684210526,0.0,42.10526315789474,0.5789473684210527,57.89473684210527
-9.0,10,3,1,6,30.0,10.0,60.0,0.35,35.0
-8.75,41,18,6,17,43.90243902439025,14.634146341463415,41.46341463414634,0.5121951219512195,51.21951219512195
-8.5,16,10,1,5,62.5,6.25,31.25,0.65625,65.625
-7.75,24,13,4,7,54.166666666666664,16.666666666666668,29.166666666666668,0.625,62.5
-7.5,15,9,0,6,60.0,0.0,40.0,0.6,60.0
-6.5,20,6,1,13,30.0,5.0,65.0,0.325,32.5
-6.25,46,18,2,26,39.130434782608695,4.3478260869565215,56.52173913043478,0.41304347826086957,41.30434782608695
-5.5,83,40,10,33,48.19277108433735,12.048192771084338,39.75903614457831,0.5421686746987951,54.21686746987952
-5.25,133,52,18,63,39.097744360902254,13.533834586466165,47.36842105263158,0.45864661654135336,45.86466165413533
-5.0,49,19,6,24,38.775510204081634,12.244897959183673,48.97959183673469,0.4489795918367347,44.89795918367347
-4.75,28,12,4,12,42.857142857142854,14.285714285714286,42.857142857142854,0.5,50.0
-4.5,98,35,16,47,35.714285714285715,16.3265306122449,47.95918367346939,0.4387755102040816,43.87755102040816
-4.25,63,21,10,32,33.333333333333336,15.873015873015873,50.79365079365079,0.4126984126984127,41.269841269841265
-4.0,242,101,32,109,41.735537190082646,13.223140495867769,45.04132231404959,0.4834710743801653,48.34710743801653
-3.75,200,83,33,84,41.5,16.5,42.0,0.4975,49.75
-3.5,175,53,17,105,30.285714285714285,9.714285714285714,60.0,0.3514285714285714,35.14285714285714
-3.25,281,115,36,130,40.92526690391459,12.811387900355871,46.263345195729535,0.47330960854092524,47.330960854092524
-3.0,233,93,30,110,39.91416309012875,12.875536480686696,47.21030042918455,0.463519313304721,46.3519313304721
-2.75,353,141,37,175,39.94334277620396,10.48158640226629,49.57507082152974,0.4518413597733711,45.18413597733711
-2.5,707,281,85,341,39.74540311173975,12.022630834512023,48.23196605374823,0.45756718528995755,45.756718528995755
-2.25,724,314,103,307,43.370165745856355,14.226519337016574,42.40331491712707,0.5048342541436464,50.48342541436463
-2.0,1611,710,225,676,44.07200496585971,13.966480446927374,41.96151458721291,0.5105524518932341,51.05524518932341
-1.75,1199,585,143,471,48.790658882402,11.926605504587156,39.28273561301084,0.5475396163469558,54.75396163469558
-1.5,1048,475,137,436,45.32442748091603,13.072519083969466,41.603053435114504,0.5186068702290076,51.86068702290076
-1.25,975,411,150,414,42.15384615384615,15.384615384615385,42.46153846153846,0.49846153846153846,49.84615384615385
-1.0,2260,1089,294,877,48.1858407079646,13.008849557522124,38.80530973451327,0.5469026548672566,54.690265486725664
-0.75,4038,1992,498,1548,49.33135215453195,12.332838038632987,38.335809806835066,0.5549777117384844,55.49777117384844
-0.5,6226,3120,766,2340,50.112431737873436,12.30324445872149,37.58432380340508,0.5626405396723418,56.26405396723418
-0.25,7820,3832,991,2997,49.00255754475703,12.672634271099744,38.32480818414322,0.553388746803069,55.3388746803069
-0.0,7374,3373,995,3006,45.7417954976946,13.49335503119067,40.76484947111473,0.5248847301328994,52.48847301328994
0.25,5800,2467,721,2612,42.53448275862069,12.431034482758621,45.03448275862069,0.4875,48.75
0.5,4207,1665,558,1984,39.57689565010696,13.263608271927739,47.159496077965294,0.46208699786070834,46.20869978607083
0.75,3371,1462,392,1517,43.36991990507268,11.628596855532482,45.00148323939484,0.4918421833283892,49.18421833283892
1.0,4328,1954,565,1809,45.147874306839185,13.054528650646951,41.797597042513864,0.5167513863216266,51.675138632162664
1.25,3980,1849,472,1659,46.45728643216081,11.859296482412061,41.68341708542714,0.5238693467336684,52.38693467336684
1.5,2661,1137,350,1174,42.728297632468994,13.152950018789928,44.118752348741076,0.4930477264186396,49.304772641863956
1.75,2545,989,329,1227,38.86051080550098,12.927308447937131,48.212180746561884,0.4532416502946955,45.32416502946955
2.0,1473,576,189,708,39.10386965376782,12.830957230142566,48.06517311608961,0.45519348268839105,45.5193482688391
