condition,round_type,s1_best_roi,s1_best_n,s2_best_roi,s2_best_n,both_positive,positive_systems,ensemble_roi,conviction,recommendation,s1_combos_total,s2_combos_total
Moderate,Positioning,14.6,32,20.0,100,True,2,17.85180259904347,VERY HIGH (2/2),BET FOR (Strong),37,84
Tough,Open,15.5,34,14.473684210526317,26,True,2,15.222590246160687,VERY HIGH (2/2),BET FOR (Strong),28,36
Tough,Positioning,14.7,25,14.150943396226412,56,True,2,14.414274139709892,VERY HIGH (2/2),BET FOR (Strong),34,72
Moderate,Survival,13.0,235,18.55670103092784,47,True,2,13.490781566325785,VERY HIGH (2/2),BET FOR (Strong),39,96
Moderate,Closing,8.5,114,22.87581699346405,103,True,2,12.876329970142631,VERY HIGH (2/2),BET FOR (Strong),36,95
Calm,Positioning,10.5,55,13.57466063348416,171,True,2,12.347755272799127,VERY HIGH (2/2),BET FOR (Strong),39,96
Tough,Survival,10.2,48,15.957446808510635,44,True,2,11.970375547162734,VERY HIGH (2/2),BET FOR (Strong),31,46
Moderate,Open,6.8,9,13.114754098360654,72,True,2,11.819463180202813,VERY HIGH (2/2),BET FOR (Strong),39,96
Calm,Survival,7.2,88,20.192307692307693,54,True,2,10.176981583273218,VERY HIGH (2/2),BET FOR (Strong),38,96
Calm,Closing,7.0,506,15.71428571428571,230,True,2,8.572480550552374,VERY HIGH (2/2),BET FOR (Strong),39,96
Calm,Open,2.4,32,15.04424778761062,63,True,2,8.572143706708445,VERY HIGH (2/2),BET FOR (Strong),39,96
Tough,Closing,3.6,6,3.4482758620689653,8,True,2,3.540461160285904,VERY HIGH (2/2),BET FOR (Strong),28,24
