personal_day,count,pct_of_population,mean_metric,-6 to -4_count,-4 to -2_count,-2 to 0_count,0 to 2_count,2 to 4_count,4 to 6_count,6+_count,-6 to -4_pct,-4 to -2_pct,-2 to 0_pct,0 to 2_pct,2 to 4_pct,4 to 6_pct,6+_pct,positive_bias,negative_bias,strong_positive,strong_negative
5,6905,11.26409030847784,-0.1481,628,1217,1828,1671,976,404,181,9.09,17.62,26.47,24.2,14.13,5.85,2.62,46.8,53.18,22.6,26.71
7,6837,11.153162264889643,-0.1731,630,1244,1805,1633,951,394,180,9.21,18.2,26.4,23.88,13.91,5.76,2.63,46.18,53.81,22.3,27.41
8,6826,11.135218022544494,-0.1971,591,1250,1886,1656,924,360,159,8.66,18.31,27.63,24.26,13.54,5.27,2.33,45.39999999999999,54.599999999999994,21.14,26.97
9,6798,11.089541769302295,-0.1587,596,1242,1845,1643,898,385,189,8.77,18.27,27.14,24.17,13.21,5.66,2.78,45.82000000000001,54.18,21.650000000000002,27.04
1,6766,11.037340337025498,-0.2132,641,1233,1835,1550,943,402,162,9.47,18.22,27.12,22.91,13.94,5.94,2.39,45.18,54.81,22.27,27.689999999999998
3,6752,11.014502210404398,-0.2492,611,1309,1798,1564,882,408,180,9.05,19.39,26.63,23.16,13.06,6.04,2.67,44.93,55.07,21.770000000000003,28.44
6,5351,8.729058253535833,-0.1593,496,964,1374,1307,753,306,151,9.27,18.02,25.68,24.43,14.07,5.72,2.82,47.04,52.97,22.61,27.29
2,4822,7.866103326210013,-0.2706,443,916,1281,1170,620,276,116,9.19,19.0,26.57,24.26,12.86,5.72,2.41,45.25,54.76,20.99,28.189999999999998
4,4603,7.508849774065676,-0.2201,415,880,1217,1095,615,260,121,9.02,19.12,26.44,23.79,13.36,5.65,2.63,45.43,54.58,21.639999999999997,28.14
22,2191,3.5741668162020193,-0.2685,212,425,575,526,273,122,58,9.68,19.4,26.24,24.01,12.46,5.57,2.65,44.69,55.31999999999999,20.68,29.08
11,2000,3.2625895172998813,-0.1862,177,370,539,486,266,114,48,8.85,18.5,26.95,24.3,13.3,5.7,2.4,45.7,54.3,21.4,27.35
33,1450,2.3653774000424135,-0.2238,140,233,426,345,195,76,35,9.66,16.07,29.38,23.79,13.45,5.24,2.41,44.89,55.11,21.099999999999998,25.73
