Player A,Player B,Player C,Condition,Round,Round Type,Event Date,Moon,Color [A],Color [B],Color [C],Element [A],Element [B],Element [C],Horoscope [A],Horoscope [B],Horoscope [C],Exec A,Upside [A],Exec [B],Upside [B],Exec C,Upside [C],Winner,ML A,ML B,ML C
Sami Valimaki,J.T. Poston,Rico Hoey,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Green,Blue,Earth,Water,Wood,GEMINI,GEMINI,VIRGO,25,75,51,82,50,75,Sami Valimaki,210,137,187
Kurt Kitayama,Nico Echavarria,Jake Knapp,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Orange,Yellow,Purple,Water,Wood,Wood,CAPRICORN,CANCER,GEMINI,25,50,48,78,50,50,Kurt Kitayama,175,250,125
Matt McCarty,Jhonattan Vegas,Taylor Pendrith,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Green,Yellow,Yellow,Fire,Wood,Metal,SAGITTARIUS,LEO,GEMINI,50,50,40,52,25,75,Push (Jhonattan Vegas / Taylor Pendrith),162,300,115
Tom Hoge,Bud Cauley,Matti Schmid,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Purple,Yellow,Earth,Metal,Fire,GEMINI,PISCES,SCORPIO,25,50,48,78,25,50,Matti Schmid,145,162,225
Sahith Theegala,Michael Kim,Pierceson Coody,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Yellow,Orange,Fire,Water,Earth,SAGITTARIUS,CANCER,CAPRICORN,25,75,40,52,25,50,Push (Pierceson Coody / Michael Kim),170,220,145
Ben Griffin,Keegan Bradley,Sam Burns,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Purple,Green,Fire,Fire,Fire,TAURUS,GEMINI,LEO,50,75,51,82,25,75,Sam Burns,162,200,160
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Yellow,Yellow,Wood,Metal,Earth,SCORPIO,AQUARIUS,SAGITTARIUS,50,75,55,62,50,75,Jacob Bridgeman,150,170,210
Cameron Young,Viktor Hovland,Shane Lowry,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Yellow,Purple,Fire,Fire,Fire,TAURUS,VIRGO,ARIES,50,50,51,82,25,75,Viktor Hovland,145,175,210
J.J. Spaun,Ludvig Aberg,Hideki Matsuyama,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Purple,Yellow,Metal,Earth,Water,LEO,SCORPIO,PISCES,50,50,73,69,25,75,Hideki Matsuyama,210,180,140
Collin Morikawa,Tommy Fleetwood,Rory McIlroy,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Yellow,Orange,Fire,Metal,Earth,AQUARIUS,CAPRICORN,TAURUS,50,50,55,62,25,50,Rory McIlroy,210,175,145
Ryan Gerard,Adam Scott,Patrick Rodgers,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Blue,Blue,Earth,Metal,Water,LEO,CANCER,CANCER,50,50,55,62,50,50,Adam Scott,162,150,220
Kevin Yu,Max Homa,Denny McCarthy,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Green,Purple,Orange,Earth,Metal,Water,LEO,SCORPIO,PISCES,50,50,55,62,25,50,Max Homa,210,145,175
Aldrich Potgieter,Ryan Fox,Sam Stevens,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Green,Yellow,Wood,Fire,Fire,VIRGO,AQUARIUS,CANCER,25,50,48,78,50,75,Ryan Fox,225,170,137
Tom Kim,Rickie Fowler,Max Greyserman,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Green,Yellow,Yellow,Water,Earth,Wood,CANCER,SAGITTARIUS,GEMINI,50,50,51,82,50,75,Max Greyserman,240,120,187
Lucas Glover,Tony Finau,Max McGreevy,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Green,Orange,Earth,Earth,Wood,SCORPIO,VIRGO,TAURUS,50,75,73,69,25,50,Max McGreevy,240,140,160
Garrick Higgo,Aaron Rai,Matt Fitzpatrick,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Orange,Yellow,Green,Earth,Wood,Wood,TAURUS,PISCES,VIRGO,25,50,51,82,25,75,Aaron Rai,220,230,110
