player_a,player_b,player_c,condition,round_type,score_a,score_b,score_c,best_player,best_score,best_vs_second,recommendation,winner_raw,actual_winner,is_push,push_type,color_a,color_b,color_c,exec_a,exec_b,exec_c,upside_a,upside_b,upside_c
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,-13.935419213444785,-13.935419213444785,0.7769622730033564,C,0.7769622730033564,14.712381486448141,STRONG: Bet C,Haotong Li,Haotong Li,False,,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Open,-13.935419213444785,-13.935419213444785,0.7769622730033564,C,0.7769622730033564,14.712381486448141,STRONG: Bet C,Haotong Li,Haotong Li,False,,Yellow,Yellow,Purple,25,31,50,25.0,46.0,50.0
Min Woo Lee,Jordan Spieth,Daniel Berger,Tough,Open,11.986426999266325,1.5388742561701303,-4.459308807134894,A,11.986426999266325,10.447552743096194,STRONG: Bet A,Min Woo Lee,Min Woo Lee,False,,Yellow,Blue,Purple,25,55,50,50.0,62.0,50.0
Brendan Steele,Scott Vincent,Victor Perez,Calm,Open,2.0411972361075694,-8.363221328763021,-10.621714015079947,A,2.0411972361075694,10.404418564870591,STRONG: Bet A,Scott Vincent,Scott Vincent,False,,Yellow,Purple,Blue,25,79,50,25.0,65.0,75.0
Adrien Saddier,Paul Waring,Christo Lamprecht,Calm,Open,1.9508504707498648,-8.363221328763021,-8.363221328763021,A,1.9508504707498648,10.314071799512886,STRONG: Bet A,Adrien Saddier,Adrien Saddier,False,,Yellow,Purple,Purple,50,75,75,25.0,69.0,50.0
Angel Ayora,Francesco Laporta,Shaun Norris,Moderate,Open,-7.868072983664332,2.438259551103861,-8.712020618837501,B,2.438259551103861,10.306332534768194,STRONG: Bet B,Angel Ayora,Angel Ayora,False,,Yellow,Purple,Blue,25,49,50,75.0,56.0,75.0
Sam Horsfield,Miguel Tabuena,Younghan Song,Calm,Open,-6.0129473429151385,-6.654587793268107,4.227464332036318,C,4.227464332036318,10.240411674951456,STRONG: Bet C,Push (Sam Horsfield / Younghan Song),,True,2-way,Yellow,Yellow,Purple,25,59,25,50.0,85.0,25.0
Brian Campbell,Cameron Davis,Patrick Rodgers,Calm,Open,-7.936829431588663,2.0411972361075694,-8.363221328763021,B,2.0411972361075694,9.978026667696232,STRONG: Bet B,Patrick Rodgers,Patrick Rodgers,False,,Green,Yellow,Purple,75,34,75,50.0,40.0,50.0
Cameron Adam,Frederico Biondi Figueiredo,Daniel Nduva,Calm,Open,0.04897972911897308,-9.789553822772817,-13.47647287232165,A,0.04897972911897308,9.83853355189179,STRONG: Bet A,Frederico Biondi Figueiredo,Frederico Biondi Figueiredo,False,,Purple,Green,Orange,25,55,25,75.0,62.0,50.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,0.7769622730033564,9.592002650060879,STRONG: Bet A,Gary Woodland,Gary Woodland,False,,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Open,0.7769622730033564,-8.815040377057523,-10.163372923956436,A,0.7769622730033564,9.592002650060879,STRONG: Bet A,Gary Woodland,Gary Woodland,False,,Purple,Yellow,Orange,50,56,25,50.0,86.0,25.0
Jacob Bridgeman,Ben Griffin,Adam Scott,Moderate,Open,-8.815040377057523,-8.815040377057523,0.7769622730033564,C,0.7769622730033564,9.592002650060879,STRONG: Bet C,Push (Jacob Bridgeman / Ben Griffin),,True,2-way,Yellow,Yellow,Purple,50,56,50,75.0,86.0,50.0
Matteo Manassero,Jack Buchanan,Matthew Jordan,Calm,Open,1.9508504707498648,-7.076348631915785,-7.076348631915785,A,1.9508504707498648,9.02719910266565,STRONG: Bet A,Matthew Jordan,Matthew Jordan,False,,Yellow,Purple,Purple,50,57,50,25.0,57.0,50.0
