player_a,player_b,player_c,recommendation,prediction,actual_winner,is_push,edge,result,correct
Haotong Li,Zecheng Dou,Jordan Smith,STRONG: Bet C,Jordan Smith,Haotong Li,False,14.71238148644814,LOSS,False
Haotong Li,Zecheng Dou,Jordan Smith,STRONG: Bet C,Jordan Smith,Haotong Li,False,14.71238148644814,LOSS,False
Min Woo Lee,Jordan Spieth,Daniel Berger,STRONG: Bet A,Min Woo Lee,Min Woo Lee,False,10.447552743096194,WIN,True
Brendan Steele,Scott Vincent,Victor Perez,STRONG: Bet A,Brendan Steele,Scott Vincent,False,10.404418564870593,LOSS,False
Adrien Saddier,Paul Waring,Christo Lamprecht,STRONG: Bet A,Adrien Saddier,Adrien Saddier,False,10.314071799512886,WIN,True
Angel Ayora,Francesco Laporta,Shaun Norris,STRONG: Bet B,Francesco Laporta,Angel Ayora,False,10.306332534768194,LOSS,False
Sam Horsfield,Miguel Tabuena,Younghan Song,STRONG: Bet C,Younghan Song,,True,10.240411674951456,PUSH,
Brian Campbell,Cameron Davis,Patrick Rodgers,STRONG: Bet B,Cameron Davis,Patrick Rodgers,False,9.978026667696232,LOSS,False
Cameron Adam,Frederico Biondi Figueiredo,Daniel Nduva,STRONG: Bet A,Cameron Adam,Frederico Biondi Figueiredo,False,9.83853355189179,LOSS,False
Kevin Yu,Cameron Davis,Gary Woodland,STRONG: Bet A,Kevin Yu,Gary Woodland,False,9.59200265006088,LOSS,False
Kevin Yu,Cameron Davis,Gary Woodland,STRONG: Bet A,Kevin Yu,Gary Woodland,False,9.59200265006088,LOSS,False
Jacob Bridgeman,Ben Griffin,Adam Scott,STRONG: Bet C,Adam Scott,,True,9.59200265006088,PUSH,
Matteo Manassero,Jack Buchanan,Matthew Jordan,STRONG: Bet A,Matteo Manassero,Matthew Jordan,False,9.02719910266565,LOSS,False
Joel Girrbach,JJ Senekal,Davis Bryant,STRONG: Bet A,Joel Girrbach,,True,9.02719910266565,PUSH,
Garrick Higgo,Karl Vilips,Davis Riley,STRONG: Bet B,Karl Vilips,Karl Vilips,False,9.02719910266565,WIN,True
Sergio Garcia,Lucas Herbert,Sebastian Munoz,STRONG: Bet A,Sergio Garcia,Sergio Garcia,False,8.904029995377595,WIN,True
Ben Griffin,Sahith Theegala,Tony Finau,STRONG: Bet A,Ben Griffin,Tony Finau,False,8.695785029375676,LOSS,False
Xander Schauffele,Rory McIlroy,Hideki Matsuyama,STRONG: Bet A,Xander Schauffele,Xander Schauffele,False,8.645035256667688,WIN,True
