player_a,player_b,player_c,prediction,predicted_ml,actual_winner,is_push,recommendation,edge,result_type,pl
Haotong Li,Zecheng Dou,Jordan Smith,Jordan Smith,162.0,Haotong Li,False,STRONG: Bet C,14.71238148644814,LOSS,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Jordan Smith,170.0,Haotong Li,False,STRONG: Bet C,14.71238148644814,LOSS,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Jordan Smith,162.0,Haotong Li,False,STRONG: Bet C,14.71238148644814,LOSS,-100.0
Haotong Li,Zecheng Dou,Jordan Smith,Jordan Smith,170.0,Haotong Li,False,STRONG: Bet C,14.71238148644814,LOSS,-100.0
Min Woo Lee,Jordan Spieth,Daniel Berger,Min Woo Lee,130.0,Min Woo Lee,False,STRONG: Bet A,10.447552743096194,WIN,130.0
Brendan Steele,Scott Vincent,Victor Perez,Brendan Steele,220.0,Scott Vincent,False,STRONG: Bet A,10.404418564870593,LOSS,-100.0
Adrien Saddier,Paul Waring,Christo Lamprecht,Adrien Saddier,137.0,Adrien Saddier,False,STRONG: Bet A,10.314071799512886,WIN,137.0
Angel Ayora,Francesco Laporta,Shaun Norris,Francesco Laporta,162.0,Angel Ayora,False,STRONG: Bet B,10.306332534768194,LOSS,-100.0
Sam Horsfield,Miguel Tabuena,Younghan Song,Younghan Song,145.0,,True,STRONG: Bet C,10.240411674951456,2WAY_PUSH_WIN,72.5
Brian Campbell,Cameron Davis,Patrick Rodgers,Cameron Davis,240.0,Patrick Rodgers,False,STRONG: Bet B,9.978026667696232,LOSS,-100.0
Cameron Adam,Frederico Biondi Figueiredo,Daniel Nduva,Cameron Adam,105.0,Frederico Biondi Figueiredo,False,STRONG: Bet A,9.83853355189179,LOSS,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Kevin Yu,140.0,Gary Woodland,False,STRONG: Bet A,9.59200265006088,LOSS,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Kevin Yu,150.0,Gary Woodland,False,STRONG: Bet A,9.59200265006088,LOSS,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Kevin Yu,140.0,Gary Woodland,False,STRONG: Bet A,9.59200265006088,LOSS,-100.0
Kevin Yu,Cameron Davis,Gary Woodland,Kevin Yu,150.0,Gary Woodland,False,STRONG: Bet A,9.59200265006088,LOSS,-100.0
Jacob Bridgeman,Ben Griffin,Adam Scott,Adam Scott,175.0,,True,STRONG: Bet C,9.59200265006088,2WAY_PUSH_LOSS,-100.0
Matteo Manassero,Jack Buchanan,Matthew Jordan,Matteo Manassero,175.0,Matthew Jordan,False,STRONG: Bet A,9.02719910266565,LOSS,-100.0
Joel Girrbach,JJ Senekal,Davis Bryant,Joel Girrbach,137.0,,True,STRONG: Bet A,9.02719910266565,2WAY_PUSH_WIN,68.5
Garrick Higgo,Karl Vilips,Davis Riley,Karl Vilips,180.0,Karl Vilips,False,STRONG: Bet B,9.02719910266565,WIN,180.0
Sergio Garcia,Lucas Herbert,Sebastian Munoz,Sergio Garcia,200.0,Sergio Garcia,False,STRONG: Bet A,8.904029995377595,WIN,200.0
Ben Griffin,Sahith Theegala,Tony Finau,Ben Griffin,150.0,Tony Finau,False,STRONG: Bet A,8.695785029375676,LOSS,-100.0
Xander Schauffele,Rory McIlroy,Hideki Matsuyama,Xander Schauffele,180.0,Xander Schauffele,False,STRONG: Bet A,8.645035256667688,WIN,180.0
Joaquin Niemann,Dean Burmester,Thomas Detry,Dean Burmester,170.0,Thomas Detry,False,STRONG: Bet B,8.471868350223245,LOSS,-100.0
Taylor Moore,Joel Dahmen,Ryo Hisatsune,Ryo Hisatsune,162.0,Taylor Moore,False,STRONG: Bet C,8.451902275529566,LOSS,-100.0
Cameron Young,Davis Thompson,Sam Burns,Cameron Young,137.0,Cameron Young,False,STRONG: Bet A,8.451902275529566,WIN,137.0
J.J. Spaun,Sepp Straka,Shane Lowry,J.J. Spaun,200.0,Sepp Straka,False,STRONG: Bet A,8.451902275529566,LOSS,-100.0
Sahith Theegala,Rickie Fowler,Jordan Spieth,Jordan Spieth,187.0,Sahith Theegala,False,STRONG: Bet C,8.451902275529566,LOSS,-100.0
