ev_bucket,total_matchups,a_wins,ties,a_loss,p_a_win,p_tie,p_a_loss
-26.75,2,0,0,2,0.0,0.0,1.0
-26.25,4,1,1,2,0.3333333333333333,0.25,0.6666666666666666
-25.75,4,2,0,2,0.5,0.0,0.5
-25.25,8,4,1,3,0.5714285714285714,0.125,0.4285714285714285
-25.0,7,5,0,2,0.7142857142857143,0.0,0.2857142857142857
-24.75,10,6,2,2,0.75,0.2,0.25
-24.5,10,4,3,3,0.5714285714285714,0.3,0.4285714285714285
-24.25,27,18,3,6,0.75,0.1111111111111111,0.25
-24.0,29,17,3,9,0.6538461538461539,0.1034482758620689,0.3461538461538461
-23.75,6,2,1,3,0.4,0.1666666666666666,0.6
-23.5,33,18,3,12,0.6,0.0909090909090909,0.4
-23.25,89,65,7,17,0.7926829268292683,0.0786516853932584,0.2073170731707317
-23.0,60,50,2,8,0.8620689655172413,0.0333333333333333,0.1379310344827586
-22.75,90,66,5,19,0.7764705882352941,0.0555555555555555,0.2235294117647059
-22.5,93,62,6,25,0.7126436781609196,0.064516129032258,0.2873563218390804
-22.25,71,49,3,19,0.7205882352941176,0.0422535211267605,0.2794117647058823
-22.0,57,31,4,22,0.5849056603773585,0.0701754385964912,0.4150943396226415
-21.75,44,28,2,14,0.6666666666666666,0.0454545454545454,0.3333333333333333
-21.5,100,64,9,27,0.7032967032967034,0.09,0.2967032967032967
-21.25,132,73,18,41,0.6403508771929824,0.1363636363636363,0.3596491228070175
-21.0,140,80,10,50,0.6153846153846154,0.0714285714285714,0.3846153846153846
-20.75,179,100,18,61,0.6211180124223602,0.1005586592178771,0.3788819875776397
-20.5,182,86,13,83,0.5088757396449705,0.0714285714285714,0.4911242603550296
-20.25,149,71,15,63,0.5298507462686567,0.1006711409395973,0.4701492537313433
-20.0,123,60,14,49,0.5504587155963303,0.1138211382113821,0.4495412844036697
-19.75,163,77,15,71,0.5202702702702703,0.0920245398773006,0.4797297297297297
-19.5,221,110,20,91,0.5472636815920398,0.090497737556561,0.4527363184079602
-19.25,226,110,26,90,0.55,0.1150442477876106,0.45
