ev_bucket,total_matchups,a_wins,ties,a_loss,p_a_win,p_tie,p_a_loss
-11.75,2,1,0,1,0.5,0.0,0.5
-11.25,23,18,1,4,0.8181818181818182,0.043478260869565216,0.18181818181818182
-11.0,42,32,3,7,0.8205128205128205,0.07142857142857142,0.1794871794871795
-10.75,72,50,8,14,0.78125,0.1111111111111111,0.21875
-10.5,93,59,6,28,0.6781609195402298,0.06451612903225806,0.3218390804597701
-10.25,117,70,8,39,0.6422018348623854,0.06837606837606838,0.3577981651376147
-10.0,142,80,10,52,0.6060606060606061,0.07042253521126761,0.3939393939393939
-9.75,204,117,20,67,0.6358695652173914,0.09803921568627451,0.3641304347826087
-9.5,246,146,20,80,0.6460176991150443,0.08130081300813008,0.35398230088495575
-9.25,267,168,32,67,0.7148936170212766,0.1198501872659176,0.2851063829787234
-9.0,361,225,28,108,0.6756756756756757,0.07756232686980609,0.32432432432432434
-8.75,353,204,43,106,0.6580645161290323,0.12181303116147309,0.3419354838709677
-8.5,515,305,36,174,0.6367432150313153,0.06990291262135923,0.36325678496868474
-8.25,441,214,53,174,0.5515463917525774,0.12018140589569161,0.4484536082474227
-8.0,490,249,45,196,0.5595505617977528,0.09183673469387756,0.4404494382022472
-7.75,543,275,45,223,0.5522088353413654,0.08287292817679558,0.44779116465863456
-7.5,581,306,55,220,0.5817490494296578,0.09466437177280551,0.41825095057034223
-7.25,652,351,49,252,0.582089552238806,0.07515337423312883,0.417910447761194
-7.0,614,323,61,230,0.5840867992766727,0.0993485342019544,0.4159132007233273
-6.75,624,315,60,249,0.5585106382978723,0.09615384615384616,0.44148936170212766
-6.5,765,406,55,304,0.571830985915493,0.0718954248366013,0.428169014084507
-6.25,944,450,86,408,0.5244755244755245,0.09110169491525423,0.4755244755244755
-6.0,1112,559,97,456,0.5507389162561577,0.08723021582733813,0.4492610837438424
-5.75,1343,691,127,525,0.5682565789473685,0.09456440804169769,0.4317434210526316
-5.5,1631,794,160,677,0.539768864717879,0.09809932556713673,0.460231135282121
-5.25,1982,991,210,781,0.559255079006772,0.10595358224016145,0.440744920993228
-5.0,1987,1025,198,764,0.572945779765232,0.0996477101157524,0.427054220234768
-4.75,2782,1407,274,1101,0.5610047846889952,0.098490294751977,0.43899521531100477
-4.5,4161,2124,387,1650,0.5627980922098569,0.09300648882480173,0.43720190779014306
-4.25,5776,2917,545,2314,0.5576371630663353,0.09435595567867036,0.4423628369336647
-4.0,6359,3207,622,2530,0.5590029632211957,0.09781412171725114,0.44099703677880425
-3.75,9410,4761,911,3738,0.5601835510060007,0.09681190223166844,0.4398164489939993
-3.5,12772,6414,1235,5123,0.5559504203865823,0.0966958972752897,0.4440495796134177
-3.25,17139,8569,1712,6858,0.5554547222402282,0.09988914172355447,0.4445452777597718
-3.0,23736,11870,2308,9558,0.5539481052828076,0.09723626558813617,0.4460518947171925
-2.75,33815,16654,3473,13688,0.5488761452771735,0.10270589974863227,0.45112385472282646
-2.5,39697,19246,3891,16560,0.5375076802770485,0.09801748242940272,0.46249231972295146
-2.25,47254,22404,4562,20288,0.5247821605921484,0.09654209167477885,0.47521783940785156
-2.0,62339,29259,6198,26882,0.5211699114728986,0.09942411652416626,0.4788300885271014
-1.75,86325,40590,8393,37342,0.5208386798747626,0.09722560092673038,0.4791613201252374
-1.5,97073,44462,9377,43234,0.5070014595876665,0.09659740607583983,0.49299854041233354
-1.25,115344,50743,10822,53779,0.48547674173858135,0.09382369260646414,0.5145232582614186
-1.0,156045,65386,14766,75893,0.46281471414718395,0.09462655003364415,0.5371852858528161
-0.75,217887,85251,20596,112040,0.432107901526172,0.09452606167417056,0.567892098473828
-0.5,325049,126947,31691,166411,0.43273747434874793,0.09749606982331895,0.567262525651252
-0.25,439642,179925,43780,215937,0.4545144520060021,0.09958102274123036,0.545485547993998
0.0,493026,218824,49999,224203,0.4939292639049087,0.10141250157192522,0.5060707360950912
0.25,430844,206231,43151,181462,0.5319440897823794,0.10015458031213154,0.46805591021762066
0.5,316506,159288,30767,126451,0.5574597797290535,0.09720826777375469,0.4425402202709466
0.75,199106,99617,18836,80653,0.5525988794585899,0.09460287485058211,0.4474011205414101
1.0,143229,67383,13728,62118,0.5203280283549934,0.09584651153048615,0.4796719716450066
1.25,114510,50502,10855,53153,0.4872123872461531,0.09479521439175617,0.5127876127538469
1.5,90443,37766,8874,43803,0.462994519976952,0.09811704609533076,0.5370054800230479
1.75,74335,30829,7354,36152,0.4602648512264672,0.09893051725297639,0.5397351487735328
2.0,58349,24127,5643,28579,0.45776571927294807,0.09671116900032563,0.5422342807270519
2.25,46658,19542,4659,22457,0.4652967927807805,0.09985425864803464,0.5347032072192195
2.5,37039,14704,3646,18689,0.44033180606713984,0.09843678285050893,0.5596681939328602
