player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,exec_a,exec_b,upside_a,upside_b,exec_a_bucket,exec_b_bucket,upside_a_bucket,upside_b_bucket,exec_a_roi,exec_b_roi,upside_a_roi,upside_b_roi
Nathan Kimsey,Wilco Nienaber,Tough,Survival,7.094155844155843,-12.794712439577783,19.888868283733625,BET A,Yellow,Orange,50,25,75,75,50-75,25-50,75-100,75-100,9.642857142857142,-13.761467889908255,4.545454545454542,-11.827956989247308
Ryan Gerard,Nicolai Hojgaard,Moderate,Positioning,13.384615384615385,-6.497814724700371,19.882430109315756,BET A,Red,Purple,50,50,50,50,50-75,50-75,50-75,50-75,10.76923076923077,-8.21167883211679,16.0,-4.78395061728395
Tom Hoge,Sahith Theegala,Tough,Open,11.986426999266325,-5.8573853989813225,17.843812398247646,BET A,Yellow,Purple,25,25,50,75,25-50,25-50,50-75,75-100,11.206896551724135,-6.451612903225805,12.765957446808512,-5.26315789473684
Byeong-Hun An,Branden Grace,Moderate,Open,0.7769622730033564,-16.457663080453408,17.234625353456764,BET A,Purple,Blue,50,50,50,25,50-75,50-75,50-75,25-50,-1.803607214428857,-9.557661927330177,3.35753176043557,-23.35766423357664
Caleb Surratt,Anthony Kim,Moderate,Open,-16.457663080453408,0.7769622730033564,-17.234625353456764,BET B,Blue,Purple,50,50,25,50,50-75,50-75,25-50,50-75,-9.557661927330177,-1.803607214428857,-23.35766423357664,3.35753176043557
Kurt Kitayama,Harry Hall,Moderate,Survival,9.09123563218391,-7.708456243854473,16.79969187603838,BET A,Purple,Orange,25,50,75,50,25-50,50-75,75-100,50-75,8.125,-9.222222222222223,10.057471264367818,-6.194690265486722
Brian Campbell,Sam Stevens,Moderate,Open,-14.357403545359748,2.438259551103861,-16.79566309646361,BET B,Blue,Purple,0,25,25,50,0-25,25-50,25-50,50-75,-5.357142857142857,1.5189873417721524,-23.35766423357664,3.35753176043557
Rasmus Neergaard-Petersen,Ryan Gerard,Moderate,Positioning,-2.306192157677309,13.384615384615385,-15.690807542292694,BET B,Blue,Red,50,50,50,50,50-75,50-75,50-75,50-75,-2.797202797202801,10.76923076923077,-1.815181518151816,16.0
Sebastian Munoz,Joaquin Niemann,Moderate,Open,-14.882386606837976,0.7769622730033564,-15.659348879841332,BET B,Yellow,Purple,50,50,25,50,50-75,50-75,25-50,50-75,-10.011686793922866,-1.803607214428857,-19.753086419753085,3.35753176043557
Altin van der Merwe,Matthew Jordan,Tough,Positioning,-12.931034482758626,2.3177198409191355,-15.248754323677762,BET B,Blue,Purple,25,50,75,50,25-50,50-75,75-100,50-75,-13.793103448275868,2.054794520547948,-12.068965517241384,2.580645161290323
Max Homa,Kevin Streelman,Moderate,Closing,-4.221541816961662,10.18901819885964,-14.410560015821304,BET B,Purple,Green,50,50,75,50,50-75,50-75,75-100,50-75,1.0989010989011003,8.755760368663598,-9.541984732824424,11.622276029055683
Kurt Kitayama,Sahith Theegala,Tough,Open,7.0023356090549775,-5.8573853989813225,12.8597210080363,BET A,Orange,Purple,25,25,50,75,25-50,25-50,50-75,75-100,10.743801652892564,-6.451612903225805,3.2608695652173907,-5.26315789473684
Ricky Castillo,Alex Smalley,Calm,Open,2.0411972361075694,-10.621714015079947,12.662911251187516,BET A,Yellow,Blue,25,50,25,75,25-50,50-75,25-50,75-100,-5.797845048742943,-7.70901194353963,9.880239520958082,-13.534416086620263
