player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,element_a,element_b
Andrew Novak,Rico Hoey,Tough,Closing,-16.9,0.0,-16.9,BET B,Yellow,Blue,Wood,Wood
Nico Echavarria,Matt McCarty,Tough,Open,15.5,0.0,15.5,BET A,Yellow,nan,Wood,Fire
Max Greyserman,Max McGreevy,Tough,Open,15.5,0.0,15.5,BET A,Yellow,nan,Wood,Wood
Peter Uihlein,Paul Casey,Moderate,Open,-13.1,0.0,-13.1,BET B,Blue,nan,Earth,Fire
Dan Bradbury,Johannes Veerman,Moderate,Open,-13.1,0.0,-13.1,BET B,Blue,nan,Earth,Water
Alex Fitzpatrick,Casey Jarvis,Calm,Open,-11.0,1.2,-12.2,BET B,Orange,Green,Earth,Water
Keegan Bradley,Pierceson Coody,Tough,Closing,-12.1,0.0,-12.1,BET B,Purple,Orange,Fire,Earth
Joost Luiten,Joel Girrbach,Calm,Open,-11.7,0.0,-11.7,BET B,Green,nan,Wood,Water
Calum Hill,Brandon Robinson Thompson,Calm,Open,-11.7,0.0,-11.7,BET B,Green,nan,Wood,Water
Joost Luiten,Sean Crocker,Calm,Open,-11.7,0.0,-11.7,BET B,Green,nan,Wood,Fire
Calum Hill,Frederic Lacroix,Calm,Open,-11.7,0.0,-11.7,BET B,Green,nan,Wood,Wood
Joost Luiten,Jacques Kruyswijk,Calm,Open,-11.7,0.0,-11.7,BET B,Green,nan,Wood,Water
Aaron Rai,Davis Thompson,Calm,Open,-11.7,0.0,-11.7,BET B,Green,nan,Wood,Earth
Ashun Wu,Francesco Molinari,Calm,Open,-11.7,0.0,-11.7,BET B,Green,nan,Wood,Water
Zander Lombard,James Morrison,Calm,Open,-11.7,0.0,-11.7,BET B,Green,nan,Wood,Wood
Ludvig Aberg,Sam Burns,Tough,Closing,3.1,-8.1,11.2,BET A,Purple,Green,Earth,Fire
Ryan Gerard,Jason Day,Calm,Open,-11.0,0.0,-11.0,BET B,Orange,nan,Earth,Fire
Caleb Surratt,Anthony Kim,Moderate,Open,-11.0,0.0,-11.0,BET B,Blue,nan,Wood,Wood
Alex Fitzpatrick,Jacob Olesen,Calm,Open,-11.0,0.0,-11.0,BET B,Orange,nan,Earth,Earth
Min Woo Lee,Michael Thorbjornsen,Calm,Open,-11.0,0.0,-11.0,BET B,Orange,nan,Earth,Metal
JC Ritchie,Rafa Cabrera Bello,Moderate,Open,-11.0,0.0,-11.0,BET B,Blue,nan,Wood,Wood
Kieran Vincent,Jorge Campillo,Moderate,Open,-10.9,0.0,-10.9,BET B,Yellow,nan,Fire,Fire
Rory McIlroy,Hideki Matsuyama,Tough,Closing,0.0,-10.8,10.8,BET A,Orange,Yellow,Earth,Water
Seamus Power,Mackenzie Hughes,Calm,Open,-10.7,0.0,-10.7,BET B,Purple,nan,Fire,Metal
Keegan Bradley,Aaron Rai,Calm,Open,-10.7,0.0,-10.7,BET B,Purple,nan,Fire,Wood
Matt Fitzpatrick,Harris English,Tough,Closing,-1.6,-12.2,10.6,BET A,Green,Yellow,Wood,Earth
