player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Andrew Novak,Rico Hoey,Tough,Closing,SKIP,Andrew Novak,-3.381162460760434,-14.443811152275105,-11.06264869151467,SKIP,
J.T. Poston,Jacob Bridgeman,Tough,Closing,J.T. Poston,Jacob Bridgeman,9.468478022379875,-12.500000000000002,-21.968478022379877,LOSS,False
Ben Griffin,Jake Knapp,Tough,Closing,SKIP,Push,6.108270251813394,-11.06264869151467,-17.170918943328065,PUSH,
Kurt Kitayama,Sahith Theegala,Tough,Closing,SKIP,Push,7.09956546382014,-4.0,-11.09956546382014,PUSH,
Jordan Spieth,Matt McCarty,Tough,Closing,Jordan Spieth,Push,9.922593377518027,-16.925232709438497,-26.847826086956523,PUSH,
Keegan Bradley,Pierceson Coody,Tough,Closing,Pierceson Coody,Pierceson Coody,-15.054934250952439,-19.05493425095244,-4.0,WIN,True
Michael Kim,Patrick Rodgers,Tough,Closing,SKIP,Patrick Rodgers,7.33123938352081,-9.593993325917687,-16.925232709438497,SKIP,
Ludvig Aberg,Sam Burns,Tough,Closing,Sam Burns,Sam Burns,-17.170918943328065,-17.170918943328065,0.0,WIN,True
Akshay Bhatia,Shane Lowry,Tough,Closing,SKIP,Akshay Bhatia,-6.019094732202317,-17.118660196022457,-11.09956546382014,SKIP,
Maverick McNealy,Adam Scott,Tough,Closing,SKIP,Maverick McNealy,5.862584017923826,-11.06264869151467,-16.925232709438497,SKIP,
Tommy Fleetwood,Cameron Young,Tough,Closing,SKIP,Tommy Fleetwood,0.052258747305607756,-17.118660196022457,-17.170918943328065,SKIP,
Collin Morikawa,Viktor Hovland,Tough,Closing,SKIP,Collin Morikawa,4.84981782635742,-17.118660196022457,-21.968478022379877,SKIP,
Rory McIlroy,Hideki Matsuyama,Tough,Closing,Rory McIlroy,Rory McIlroy,10.443811152275105,-4.0,-14.443811152275105,WIN,True
J.J. Spaun,Ryan Gerard,Tough,Closing,SKIP,Ryan Gerard,0.24568623388956823,-16.925232709438497,-17.170918943328065,SKIP,
Sam Stevens,Corey Conners,Tough,Closing,Corey Conners,Corey Conners,-21.968478022379877,-21.968478022379877,0.0,WIN,True
Rickie Fowler,Jason Day,Tough,Closing,SKIP,Rickie Fowler,-5.116883015445062,-21.968478022379877,-16.851595006934815,SKIP,
Matt Fitzpatrick,Harris English,Tough,Closing,Matt Fitzpatrick,Matt Fitzpatrick,9.593993325917687,0.0,-9.593993325917687,WIN,True
Harry Hall,Ryo Hisatsune,Tough,Closing,Harry Hall,Push,26.847826086956523,0.0,-26.847826086956523,PUSH,
Alex Noren,Nick Taylor,Tough,Open,SKIP,Nick Taylor,-4.844104467234126,1.5388742561701303,6.382978723404256,SKIP,
Xander Schauffele,Russell Henley,Tough,Open,SKIP,Xander Schauffele,6.316075321623597,6.382978723404256,0.06690340178065957,SKIP,
Scottie Scheffler,Patrick Cantlay,Tough,Open,SKIP,Patrick Cantlay,1.946047048669792,2.0129504504504516,0.06690340178065957,SKIP,
Sepp Straka,Justin Rose,Tough,Open,SKIP,Sepp Straka,-2.390816048292825,-0.5319148936170224,1.8589011546758027,SKIP,
Si Woo Kim,Chris Gotterup,Tough,Open,SKIP,Si Woo Kim,-3.9273939135178715,-4.459308807134894,-0.5319148936170224,SKIP,
Min Woo Lee,Wyndham Clark,Tough,Open,SKIP,Wyndham Clark,4.984091390211347,11.986426999266325,7.0023356090549775,SKIP,
Joel Girrbach,Tapio Pulkkanen,Calm,Open,SKIP,Tapio Pulkkanen,7.125328361034758,0.04897972911897308,-7.076348631915785,SKIP,
Nathan Kimsey,Ben Schmidt,Calm,Open,SKIP,Nathan Kimsey,3.2253127948624147,-6.564241027910402,-9.789553822772817,SKIP,
Antoine Rozner,JC Ritchie,Calm,Open,JC Ritchie,Antoine Rozner,-8.877316309882527,-13.47647287232165,-4.599156562439124,LOSS,False
Dan Bradbury,Joost Luiten,Calm,Open,SKIP,Joost Luiten,0.46094691963755885,-6.103294108272843,-6.564241027910402,SKIP,
Wenyi Ding,Alejandro Del Rey,Calm,Open,SKIP,Wenyi Ding,-3.9671262218118404,-10.621714015079947,-6.654587793268107,SKIP,
Jorge Campillo,Francesco Laporta,Calm,Open,SKIP,Francesco Laporta,2.713205190857032,-7.076348631915785,-9.789553822772817,SKIP,
Angel Ayora,Calum Hill,Calm,Open,SKIP,Angel Ayora,-6.821885079053544,-13.47647287232165,-6.654587793268107,SKIP,
Todd Clements,Romain Langasque,Calm,Open,SKIP,Romain Langasque,2.713205190857032,-7.076348631915785,-9.789553822772817,SKIP,
Manuel Elvira,Ricardo Gouveia,Calm,Open,SKIP,Ricardo Gouveia,-0.36655320500437405,-6.654587793268107,-6.2880345882637325,SKIP,
Alex Fitzpatrick,Casey Jarvis,Calm,Open,SKIP,Casey Jarvis,-5.847049835940997,-13.47647287232165,-7.629423036380654,SKIP,
Frederic Lacroix,Joakim Lagergren,Calm,Open,SKIP,Joakim Lagergren,-6.400124240405866,-13.47647287232165,-7.076348631915785,SKIP,
Niklas Norgaard,Daniel van Tonder,Calm,Open,SKIP,Daniel van Tonder,-7.125328361034758,-7.076348631915785,0.04897972911897308,SKIP,
Thriston Lawrence,Hennie du Plessis,Calm,Open,SKIP,Thriston Lawrence,0.0,-6.0129473429151385,-6.0129473429151385,SKIP,
Jacob Olesen,Jacques Kruyswijk,Calm,Open,SKIP,Push,-0.5512936849952634,-6.564241027910402,-6.0129473429151385,PUSH,
Ewen Ferguson,Mikael Lindberg,Calm,Open,SKIP,Mikael Lindberg,4.608766672164808,-6.0129473429151385,-10.621714015079947,SKIP,
Freddy Schott,Guido Migliozzi,Calm,Open,SKIP,Freddy Schott,-0.46094691963755885,-6.564241027910402,-6.103294108272843,SKIP,
J.T. Poston,Kurt Kitayama,Tough,Open,SKIP,Kurt Kitayama,-1.9104238443490953,5.091911764705882,7.0023356090549775,SKIP,
Jake Knapp,Sam Burns,Tough,Open,Sam Burns,Sam Burns,-9.397171276066128,-4.459308807134894,4.937862468931233,WIN,True
Nico Echavarria,Matt McCarty,Tough,Open,SKIP,Nico Echavarria,5.071533382245045,5.071533382245045,0.0,SKIP,
Taylor Pendrith,Pierceson Coody,Tough,Open,SKIP,Pierceson Coody,5.071533382245045,5.071533382245045,0.0,SKIP,
Tom Hoge,Sahith Theegala,Tough,Open,Tom Hoge,Tom Hoge,11.986426999266325,11.986426999266325,0.0,WIN,True
Ben Griffin,Maverick McNealy,Tough,Open,SKIP,Maverick McNealy,0.06690340178065957,0.06690340178065957,0.0,SKIP,
Keegan Bradley,Akshay Bhatia,Tough,Open,SKIP,Akshay Bhatia,-5.167810831426392,-5.167810831426392,0.0,SKIP,
Jacob Bridgeman,J.J. Spaun,Tough,Open,SKIP,Jacob Bridgeman,-0.5319148936170224,-0.5319148936170224,0.0,SKIP,
Cameron Young,Viktor Hovland,Tough,Open,SKIP,Cameron Young,-4.459308807134894,-4.459308807134894,0.0,SKIP,
Shane Lowry,Adam Scott,Tough,Open,SKIP,Adam Scott,-5.8573853989813225,-5.8573853989813225,0.0,SKIP,
Hideki Matsuyama,Collin Morikawa,Tough,Open,SKIP,Collin Morikawa,5.071533382245045,5.071533382245045,0.0,SKIP,
Ludvig Aberg,Rickie Fowler,Tough,Open,SKIP,Rickie Fowler,-4.459308807134894,-4.459308807134894,0.0,SKIP,
Tommy Fleetwood,Rory McIlroy,Tough,Open,SKIP,Rory McIlroy,6.382978723404256,6.382978723404256,0.0,SKIP,
Ryan Gerard,Max Homa,Tough,Open,SKIP,Max Homa,-4.459308807134894,-4.459308807134894,0.0,SKIP,
Patrick Rodgers,Sam Stevens,Tough,Open,SKIP,Patrick Rodgers,1.5388742561701303,1.5388742561701303,0.0,SKIP,
Denny McCarthy,Ryan Fox,Tough,Open,SKIP,Ryan Fox,7.0023356090549775,7.0023356090549775,0.0,SKIP,
Max Greyserman,Max McGreevy,Tough,Open,SKIP,Max Greyserman,-0.5319148936170224,-0.5319148936170224,0.0,SKIP,
Matt Fitzpatrick,Jason Day,Tough,Open,SKIP,Matt Fitzpatrick,4.937862468931233,4.937862468931233,0.0,SKIP,
Alex Noren,Ryo Hisatsune,Tough,Open,SKIP,Alex Noren,1.5388742561701303,1.5388742561701303,0.0,SKIP,
Nick Taylor,Corey Conners,Tough,Open,SKIP,Nick Taylor,6.382978723404256,6.382978723404256,0.0,SKIP,
Russell Henley,Harris English,Tough,Open,SKIP,Russell Henley,0.06690340178065957,0.06690340178065957,0.0,SKIP,
Patrick Cantlay,Chris Gotterup,Tough,Open,SKIP,Chris Gotterup,0.06690340178065957,0.06690340178065957,0.0,SKIP,
Robert MacIntyre,Justin Rose,Tough,Open,SKIP,Justin Rose,-5.167810831426392,-5.167810831426392,0.0,SKIP,
Scottie Scheffler,Xander Schauffele,Tough,Open,SKIP,Xander Schauffele,2.0129504504504516,2.0129504504504516,0.0,SKIP,
Zander Lombard,Daniel Van Tonder,Calm,Open,SKIP,Zander Lombard,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Alex Fitzpatrick,Jacob Olesen,Calm,Open,Jacob Olesen,Push,-13.47647287232165,-13.47647287232165,0.0,PUSH,
