ev_bucket,avg_projected_vs_par,total_players,beats_par_count,matches_par_count,over_par_count,p_beats_par,p_matches_par,p_over_par,p_a_win,fair_american
-4.0,-0.9075834457454687,2,0,1,1,0.0,0.5,0.5,0.5590029632211957,-127.0
-3.75,-0.9478272020182519,10,4,1,5,0.4,0.1,0.5,0.5601835510060007,-127.0
-3.5,-1.1590817448180772,9,7,0,2,0.7777777777777778,0.0,0.2222222222222222,0.5559504203865823,-125.0
-3.25,-1.3095601787488855,7,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.5554547222402282,-125.0
-3.0,-1.4485673043215352,5,3,0,2,0.6,0.0,0.4,0.5539481052828076,-124.0
-2.75,-1.6494375063628486,27,18,3,6,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.5488761452771735,-122.0
-2.5,-1.4639167841622516,101,53,14,34,0.5247524752475248,0.13861386138613863,0.33663366336633666,0.5375076802770485,-116.0
-2.25,-1.453808498810475,194,116,25,53,0.5979381443298969,0.12886597938144329,0.27319587628865977,0.5247821605921484,-110.0
-2.0,-1.5049050292500765,525,329,54,142,0.6266666666666667,0.10285714285714286,0.2704761904761905,0.5211699114728986,-109.0
-1.75,-1.573632422510688,1025,650,110,265,0.6341463414634146,0.1073170731707317,0.25853658536585367,0.5208386798747626,-109.0
-1.5,-1.7358990817850393,1792,1101,185,506,0.6143973214285714,0.10323660714285714,0.28236607142857145,0.5070014595876665,-103.0
-1.25,-1.8380726345420093,2759,1692,291,776,0.6132656759695542,0.10547299746284886,0.28126132656759695,0.4854767417385813,106.0
-1.0,-1.7531973692301692,3592,2054,396,1142,0.571826280623608,0.11024498886414254,0.31792873051224946,0.4628147141471839,116.0
-0.75,-1.7435968705783376,4317,2273,520,1524,0.5265230484132499,0.12045401899467223,0.35302293259207784,0.432107901526172,131.0
-0.5,-1.4174671205446394,6464,3132,737,2595,0.484529702970297,0.1140160891089109,0.40145420792079206,0.4327374743487479,131.0
-0.25,-1.1058444863224661,9505,4499,1149,3857,0.47332982640715415,0.12088374539715939,0.4057864281956865,0.4545144520060021,120.0
0.0,-1.1828654260421094,11382,6085,1400,3897,0.5346160604463187,0.12300123001230012,0.3423827095413811,0.4939292639049087,102.0
0.25,-1.4747461633619796,9540,5288,1110,3142,0.5542976939203355,0.11635220125786164,0.32935010482180294,0.5319440897823794,-114.0
0.5,-2.2217357520428864,5308,2988,601,1719,0.5629238884702336,0.11322532027128862,0.32385079125847777,0.5574597797290535,-126.0
0.75,-3.184473085672479,2746,1547,342,857,0.5633648943918427,0.12454479242534595,0.3120903131828114,0.5525988794585899,-124.0
1.0,-3.9579109956516474,1810,979,232,599,0.5408839779005525,0.1281767955801105,0.330939226519337,0.5203280283549934,-108.0
1.25,-4.18657718086425,1720,976,207,537,0.5674418604651162,0.12034883720930233,0.3122093023255814,0.4872123872461531,105.0
1.5,-4.386011506757448,1478,844,178,456,0.571041948579161,0.12043301759133965,0.3085250338294993,0.462994519976952,116.0
1.75,-4.683111170127338,1045,542,139,364,0.5186602870813397,0.13301435406698564,0.34832535885167465,0.4602648512264672,117.0
2.0,-4.97450116816566,651,345,86,220,0.5299539170506913,0.13210445468509985,0.3379416282642089,0.457765719272948,118.0
2.25,-5.296805958074219,442,208,63,171,0.47058823529411764,0.1425339366515837,0.38687782805429866,0.4652967927807805,115.0
2.5,-5.692746088014482,307,156,34,117,0.50814332247557,0.11074918566775244,0.3811074918566775,0.4403318060671398,127.0
2.75,-6.0588613098351916,257,148,28,81,0.5758754863813229,0.10894941634241245,0.3151750972762646,0.4383897529734675,128.0
3.0,-6.290582797199478,214,116,19,79,0.5420560747663551,0.08878504672897196,0.3691588785046729,0.4360649786732008,129.0
3.25,-6.3811114801286735,152,78,21,53,0.5131578947368421,0.13815789473684212,0.34868421052631576,0.4392826976804626,128.0
3.5,-6.7050676889784,89,43,8,38,0.48314606741573035,0.0898876404494382,0.42696629213483145,0.4401417811253877,127.0
3.75,-7.064967951092292,56,25,14,17,0.44642857142857145,0.25,0.30357142857142855,0.4475968389687783,123.0
4.0,-7.2384712068117025,54,27,7,20,0.5,0.12962962962962962,0.37037037037037035,0.4284738818709457,133.0
4.25,-8.067839155924307,39,26,5,8,0.6666666666666666,0.1282051282051282,0.20512820512820512,0.402083735288443,149.0
4.5,-8.29969558559125,38,23,3,12,0.6052631578947368,0.07894736842105263,0.3157894736842105,0.4071032186459489,146.0
4.75,-8.288858134961526,29,10,6,13,0.3448275862068966,0.20689655172413793,0.4482758620689655,0.4365196803788103,129.0
5.0,-8.329002185422743,14,7,0,7,0.5,0.0,0.5,0.4451467268623025,125.0
5.25,-9.325915224833016,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0.4360980699008868,129.0
5.5,-9.181341778656233,13,8,1,4,0.6153846153846154,0.07692307692307693,0.3076923076923077,0.4126712328767123,142.0
5.75,-9.527882941964481,29,16,2,11,0.5517241379310345,0.06896551724137931,0.3793103448275862,0.4249536751080914,135.0
6.0,-9.329279273170995,15,6,1,8,0.4,0.06666666666666667,0.5333333333333333,0.4540367705835332,120.0
6.25,-10.26755554454914,22,12,2,8,0.5454545454545454,0.09090909090909091,0.36363636363636365,0.4474153297682709,124.0
6.5,-10.91664967744961,13,9,0,4,0.6923076923076923,0.0,0.3076923076923077,0.4171195652173913,140.0
6.75,-10.990316150026247,9,7,1,1,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.4364864864864864,129.0
7.0,-10.633612728701785,8,5,2,1,0.625,0.25,0.125,0.3808139534883721,163.0
7.25,-11.471809131408177,12,5,0,7,0.4166666666666667,0.0,0.5833333333333334,0.4,150.0
7.5,-11.293592655142586,7,6,0,1,0.8571428571428571,0.0,0.14285714285714285,0.3687821612349914,171.0
7.75,-11.601645428605263,4,2,2,0,0.5,0.5,0.0,0.4508928571428571,122.0
8.0,-11.341670742506881,4,3,0,1,0.75,0.0,0.25,0.419811320754717,138.0
8.25,-11.98075620452343,9,3,2,4,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.4204545454545454,138.0
8.75,-12.052427316517612,4,1,0,3,0.25,0.0,0.75,0.3333333333333333,200.0
9.0,-12.50320920442996,2,0,2,0,0.0,1.0,0.0,0.3531598513011152,183.0
10.0,-12.50320920442996,1,1,0,0,1.0,0.0,0.0,0.4,150.0
