param,MAE,RMSE,Bias,SD
3,3.062856531702443,4.259121698732648,1.3065105252912965,4.053811793608263
5,3.0519581558741655,4.162179189579888,1.3129547175128702,3.9496981407052965
8,3.0379108863845,4.067440631673009,1.3176881317968574,3.8481150571833735
10,3.030022154662979,4.023655261600742,1.3197671520391263,3.8010826406319915
12,3.023163757662417,3.9895672742194743,1.3215403012277405,3.7643574598752085
15,3.014415349907277,3.9507592359970776,1.3239724258016885,3.722337939879893
20,3.002966941950358,3.906583079192611,1.3278582021335372,3.6740145433601605
25,2.994350502929405,3.877400571337551,1.331713026217825,3.641561618731554
30,2.9876789684025242,3.8569535990984036,1.3355495945931706,3.6183685938979506
40,2.9781746847747823,3.830721345462262,1.3430657851234562,3.5875883250764193
50,2.9716865781543507,3.8151188960936904,1.3502494108349223,3.56821332652654
