condition,round_type,exec,upside,gap,n,edge,roi,conf,mean_error
Moderate,Open,25-50,25-50,-10-0,233,-33.047210300429185,-27.208480565371023,HIGH,1.6861815334597854
Moderate,Open,25-50,50-75,-20--10,359,-23.398328690807798,-20.537897310513447,HIGH,1.1517529297740097
Calm,Open,50-75,25-50,0-10,175,24.571428571428573,19.111111111111114,HIGH,-1.1703175569332573
Moderate,Open,75-100,50-75,10-20,379,-20.58047493403694,-18.18181818181818,HIGH,1.0858720768389534
Calm,Open,75-100,50-75,0-10,820,-18.78048780487805,-17.701149425287355,HIGH,0.9270123101561586
Tough,Open,25-50,75-100,<-20,41,39.02439024390244,17.582417582417584,HIGH,-1.7889023501076098
Moderate,Open,75-100,50-75,20+,133,23.308270676691727,16.939890710382514,HIGH,-0.8513905543724936
Moderate,Open,50-75,75-100,<-20,1384,-16.257225433526013,-15.690376569037658,HIGH,0.7418861978193092
Moderate,Open,50-75,25-50,0-10,164,-19.51219512195122,-14.953271028037383,HIGH,0.9458622780826119
Calm,Open,25-50,75-100,<-20,1906,-13.746065057712487,-13.394683026584866,HIGH,0.6925088761455981
Moderate,Open,25-50,25-50,-20--10,123,-18.69918699186992,-13.294797687861273,HIGH,0.7822330620920325
Calm,Open,50-75,75-100,-10-0,861,-13.93728222996516,-13.172338090010978,HIGH,0.7079054639155982
Moderate,Open,75-100,50-75,0-10,607,14.168039538714993,13.089802130898022,HIGH,-0.5327470212822845
Calm,Open,50-75,50-75,<-20,88,-20.454545454545453,-13.043478260869563,HIGH,0.9274327396617044
Moderate,Open,50-75,50-75,10-20,150,-16.666666666666668,-12.5,HIGH,1.0842971847715335
Moderate,Open,50-75,75-100,-10-0,471,-13.375796178343947,-12.092130518234164,HIGH,0.9035593769170555
Moderate,Open,0-25,50-75,<-20,43,-25.581395348837212,-11.827956989247312,HIGH,0.8396751464190697
Moderate,Open,50-75,50-75,<-20,62,-19.35483870967742,-10.714285714285715,HIGH,0.7517664491845163
Tough,Open,50-75,75-100,<-20,117,-14.529914529914528,-10.179640718562872,HIGH,0.6796359543632992
Moderate,Open,75-100,75-100,-10-0,50,20.0,10.0,HIGH,-1.0999743585119999
Calm,Open,75-100,50-75,20+,294,-10.204081632653061,-8.720930232558139,HIGH,0.625246557760272
Calm,Open,50-75,50-75,-10-0,2902,-8.580289455547899,-8.434959349593496,HIGH,0.4705061165363508
Calm,Open,50-75,50-75,-20--10,1127,-8.074534161490684,-7.731520815632966,HIGH,0.4600223458051464
Tough,Open,25-50,50-75,<-20,100,10.999999999999998,7.333333333333332,HIGH,-0.7512236295186899
Calm,Open,25-50,50-75,<-20,2037,-7.363770250368187,-7.1873502635361755,HIGH,0.4308971556636769
Moderate,Open,25-50,75-100,<-20,992,6.955645161290322,6.621880998080614,HIGH,-0.20157828809628653
Calm,Open,50-75,75-100,-20--10,963,-6.957424714434057,-6.614017769002959,HIGH,0.2705415632531879
Calm,Open,25-50,25-50,-20--10,200,-8.000000000000002,-6.400000000000002,HIGH,0.5254646138358499
Calm,Open,50-75,50-75,0-10,1620,-6.48148148148148,-6.2874251497005975,HIGH,0.3249799142115987
Moderate,Open,50-75,25-50,10-20,16,25.0,6.0606060606060606,EXPLORATORY,-0.9421568421312501
Tough,Open,50-75,50-75,0-10,16,-25.0,-6.0606060606060606,EXPLORATORY,0.7891979909362501
Tough,Open,75-100,75-100,-10-0,35,14.285714285714288,5.882352941176471,HIGH,-1.0592972043252569
Moderate,Open,50-75,50-75,-10-0,1712,-5.782710280373834,-5.6186152099886515,HIGH,0.21809182590578718
Moderate,Open,75-100,75-100,0-10,24,-16.666666666666668,-5.405405405405406,EXPLORATORY,0.508961509225
Tough,Open,25-50,25-50,-10-0,63,9.523809523809524,5.309734513274336,HIGH,-0.004373854955968221
Calm,Open,75-100,50-75,10-20,688,-4.941860465116276,-4.607046070460702,HIGH,0.1674432737211483
Calm,Open,25-50,25-50,-10-0,344,5.232558139534882,4.568527918781724,HIGH,-0.10533408669933143
Tough,Open,50-75,50-75,-20--10,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-0.1520140546434737
Tough,Open,50-75,50-75,-10-0,171,5.263157894736842,4.072398190045249,HIGH,-0.32401625790955557
Moderate,Open,50-75,50-75,0-10,664,-4.367469879518071,-4.061624649859943,HIGH,0.3018973732834973
Tough,Open,25-50,50-75,-20--10,31,9.67741935483871,3.7037037037037037,HIGH,-0.1793816585019354
Tough,Open,50-75,75-100,-20--10,107,4.67289719626168,3.1847133757961763,HIGH,-0.08946915547699993
Calm,Open,25-50,50-75,-10-0,424,-3.3018867924528323,-2.953586497890297,HIGH,0.11980646062964621
Moderate,Open,50-75,50-75,-20--10,920,-2.717391304347827,-2.5773195876288666,HIGH,0.19278364764734962
Moderate,Open,50-75,75-100,-20--10,694,-2.5936599423631135,-2.4193548387096784,HIGH,0.28451937064768584
Moderate,Open,25-50,50-75,-10-0,435,-2.5287356321839036,-2.268041237113398,HIGH,0.024612468406850593
Calm,Open,25-50,50-75,-20--10,1242,-2.3349436392914646,-2.2445820433436525,HIGH,0.0453103603250001
Moderate,Open,25-50,50-75,<-20,1124,-2.135231316725983,-2.0442930153322014,HIGH,0.22439736211977945
