condition,round_type,moon,life_path,n,good,bad,edge,roi,conf
Calm,Open,Krishna Jaya,7.0,170,30,55,-14.705882352941178,-11.363636363636363,HIGH
Calm,Open,Krishna Jaya,2.0,203,39,66,-13.30049261083744,-10.671936758893281,HIGH
Calm,Open,Krishna Jaya,4.0,157,29,59,-19.108280254777075,-14.49275362318841,HIGH
Calm,Open,Krishna Jaya,1.0,173,20,68,-27.745664739884397,-21.52466367713005,HIGH
Calm,Open,Krishna Jaya,6.0,142,27,49,-15.492957746478872,-11.458333333333334,HIGH
Calm,Open,Krishna Jaya,9.0,179,18,70,-29.050279329608937,-22.707423580786028,HIGH
Calm,Open,Krishna Jaya,5.0,144,30,60,-20.833333333333336,-15.463917525773198,HIGH
Calm,Open,Krishna Jaya,8.0,166,26,45,-11.445783132530119,-8.796296296296294,HIGH
Calm,Open,Krishna Jaya,3.0,226,39,78,-17.25663716814159,-14.130434782608694,HIGH
Calm,Open,Krishna Bhadra,7.0,90,13,36,-25.55555555555556,-16.428571428571434,HIGH
Calm,Open,Krishna Bhadra,2.0,112,22,30,-7.142857142857142,-4.938271604938271,HIGH
Calm,Open,Krishna Bhadra,4.0,77,12,31,-24.675324675324678,-14.960629921259844,HIGH
Calm,Open,Krishna Bhadra,1.0,75,18,30,-16.000000000000004,-9.600000000000001,HIGH
Calm,Open,Krishna Bhadra,6.0,66,12,26,-21.21212121212121,-12.068965517241379,HIGH
Calm,Open,Krishna Bhadra,9.0,101,12,37,-24.752475247524753,-16.556291390728475,HIGH
Calm,Open,Krishna Bhadra,5.0,58,11,21,-17.24137931034483,-9.259259259259261,HIGH
Calm,Open,Krishna Bhadra,8.0,66,12,27,-22.72727272727273,-12.931034482758623,HIGH
Calm,Open,Krishna Bhadra,3.0,100,17,34,-17.0,-11.333333333333332,HIGH
Calm,Open,Krishna Nanda,7.0,289,79,65,4.844290657439449,4.129793510324486,HIGH
Calm,Open,Krishna Nanda,2.0,392,67,115,-12.244897959183676,-10.859728506787333,HIGH
Calm,Open,Krishna Nanda,4.0,222,51,48,1.3513513513513513,1.102941176470588,HIGH
Calm,Open,Krishna Nanda,1.0,296,59,72,-4.391891891891894,-3.7572254335260133,HIGH
Calm,Open,Krishna Nanda,6.0,248,54,83,-11.693548387096772,-9.731543624161073,HIGH
Calm,Open,Krishna Nanda,9.0,310,41,92,-16.451612903225804,-14.166666666666666,HIGH
Calm,Open,Krishna Nanda,5.0,236,46,69,-9.745762711864407,-8.041958041958042,HIGH
Calm,Open,Krishna Nanda,8.0,246,61,62,-0.40650406504064984,-0.33783783783783733,HIGH
Calm,Open,Krishna Nanda,3.0,322,61,83,-6.832298136645962,-5.913978494623655,HIGH
Calm,Open,Krishna Purna,7.0,163,35,50,-9.202453987730062,-7.042253521126761,HIGH
Calm,Open,Krishna Purna,2.0,218,39,86,-21.55963302752294,-17.537313432835823,HIGH
Calm,Open,Krishna Purna,4.0,151,29,36,-4.635761589403972,-3.482587064676616,HIGH
Calm,Open,Krishna Purna,1.0,176,28,57,-16.477272727272727,-12.831858407079645,HIGH
Calm,Open,Krishna Purna,6.0,157,24,56,-20.38216560509554,-15.458937198067632,HIGH
Calm,Open,Krishna Purna,9.0,166,25,60,-21.08433734939759,-16.203703703703702,HIGH
Calm,Open,Krishna Purna,5.0,117,18,39,-17.948717948717945,-12.574850299401195,HIGH
Calm,Open,Krishna Purna,8.0,161,38,31,4.3478260869565215,3.3175355450236963,HIGH
Calm,Open,Krishna Purna,3.0,232,41,66,-10.77586206896552,-8.865248226950357,HIGH
Calm,Open,Shukla Purna,7.0,231,59,53,2.5974025974025983,2.1352313167259793,HIGH
Calm,Open,Shukla Purna,2.0,318,60,104,-13.83647798742138,-11.956521739130432,HIGH
Calm,Open,Shukla Purna,4.0,213,58,59,-0.4694835680751186,-0.3802281368821303,HIGH
Calm,Open,Shukla Purna,1.0,241,45,75,-12.448132780082988,-10.309278350515465,HIGH
Calm,Open,Shukla Purna,6.0,233,39,74,-15.02145922746781,-12.367491166077738,HIGH
Calm,Open,Shukla Purna,9.0,250,55,74,-7.599999999999999,-6.333333333333332,HIGH
Calm,Open,Shukla Purna,5.0,196,31,57,-13.265306122448978,-10.56910569105691,HIGH
Calm,Open,Shukla Purna,8.0,234,62,52,4.273504273504275,3.521126760563382,HIGH
Calm,Open,Shukla Purna,3.0,306,61,92,-10.130718954248364,-8.707865168539325,HIGH
Calm,Open,Shukla Rikta,7.0,253,63,60,1.1857707509881439,0.9900990099009914,HIGH
Calm,Open,Shukla Rikta,2.0,340,92,86,1.7647058823529405,1.5384615384615379,HIGH
Calm,Open,Shukla Rikta,4.0,226,51,68,-7.522123893805313,-6.159420289855075,HIGH
Calm,Open,Shukla Rikta,1.0,292,64,72,-2.73972602739726,-2.3391812865497075,HIGH
Calm,Open,Shukla Rikta,6.0,228,66,62,1.7543859649122806,1.4388489208633093,HIGH
Calm,Open,Shukla Rikta,9.0,304,61,69,-2.631578947368421,-2.259887005649717,HIGH
Calm,Open,Shukla Rikta,5.0,222,61,59,0.9009009009009028,0.7352941176470603,HIGH
Calm,Open,Shukla Rikta,8.0,237,57,53,1.6877637130801704,1.3937282229965169,HIGH
Calm,Open,Shukla Rikta,3.0,327,85,81,1.2232415902140636,1.0610079575596787,HIGH
Calm,Open,Shukla Nanda,7.0,313,85,78,2.236421725239615,1.9283746556473818,HIGH
Calm,Open,Shukla Nanda,2.0,415,102,91,2.6506024096385556,2.365591397849464,HIGH
Calm,Open,Shukla Nanda,4.0,281,83,76,2.491103202846973,2.114803625377642,HIGH
Calm,Open,Shukla Nanda,1.0,347,93,74,5.47550432276657,4.785894206549118,HIGH
Calm,Open,Shukla Nanda,6.0,277,92,70,7.942238267148016,6.727828746177371,HIGH
Calm,Open,Shukla Nanda,9.0,335,97,85,3.582089552238804,3.116883116883115,HIGH
Calm,Open,Shukla Nanda,5.0,306,57,87,-9.80392156862745,-8.42696629213483,HIGH
Calm,Open,Shukla Nanda,8.0,313,80,96,-5.111821086261981,-4.40771349862259,HIGH
Calm,Open,Shukla Nanda,3.0,381,91,84,1.8372703412073506,1.6241299303944328,HIGH
Calm,Open,Shukla Jaya,7.0,138,39,43,-2.898550724637683,-2.1276595744680864,HIGH
Calm,Open,Shukla Jaya,2.0,159,54,37,10.691823899371066,8.133971291866025,HIGH
Calm,Open,Shukla Jaya,4.0,107,29,33,-3.738317757009346,-2.547770700636943,HIGH
Calm,Open,Shukla Jaya,1.0,134,43,50,-5.223880597014929,-3.8043478260869596,HIGH
Calm,Open,Shukla Jaya,6.0,104,22,34,-11.538461538461538,-7.792207792207792,HIGH
Calm,Open,Shukla Jaya,9.0,143,45,43,1.3986013986014012,1.0362694300518154,HIGH
Calm,Open,Shukla Jaya,5.0,94,25,34,-9.574468085106385,-6.250000000000002,HIGH
Calm,Open,Shukla Jaya,8.0,109,30,26,3.669724770642202,2.5157232704402515,HIGH
Calm,Open,Shukla Jaya,3.0,135,26,48,-16.296296296296298,-11.891891891891893,HIGH
Calm,Open,Shukla Bhadra,7.0,191,42,56,-7.329842931937169,-5.809128630705391,HIGH
Calm,Open,Shukla Bhadra,2.0,246,42,77,-14.227642276422761,-11.824324324324321,HIGH
Calm,Open,Shukla Bhadra,4.0,159,31,44,-8.176100628930815,-6.220095693779902,HIGH
Calm,Open,Shukla Bhadra,1.0,224,49,54,-2.2321428571428577,-1.8248175182481756,HIGH
