condition,round_type,tithi,zodiac,n,edge,roi,conf,mean_error
Calm,Open,16.0,Rat,67,34.32835820895522,19.658119658119656,HIGH,-0.8320837309701491
Calm,Closing,10.0,Ox,63,33.33333333333333,18.584070796460175,HIGH,-0.9864513560587304
Moderate,Positioning,25.0,Dog,49,34.69387755102041,17.171717171717173,HIGH,-1.3037618284142858
Calm,Closing,23.0,Monkey,133,22.55639097744361,16.393442622950822,HIGH,-0.927665741842105
Moderate,Survival,17.0,Rat,48,33.33333333333333,16.326530612244895,HIGH,-0.9507929230333335
Calm,Survival,5.0,Ox,85,24.705882352941174,15.555555555555555,HIGH,-0.5125593665411766
Calm,Positioning,20.0,Horse,48,31.25,15.306122448979592,HIGH,-0.3448435930875
Moderate,Closing,27.0,Snake,133,21.052631578947366,15.300546448087431,HIGH,-0.34041251097744335
Calm,Closing,14.0,Goat,82,24.390243902439025,15.151515151515152,HIGH,-0.5639783515182926
Calm,Closing,3.0,Horse,50,30.000000000000004,15.000000000000002,HIGH,-0.7621396578500002
Moderate,Closing,10.0,Horse,38,34.210526315789465,14.77272727272727,HIGH,-1.1417930662105262
Calm,Closing,12.0,Horse,59,27.11864406779661,14.678899082568806,HIGH,-0.8826389210508473
Calm,Closing,23.0,Rabbit,39,33.33333333333333,14.606741573033707,HIGH,-1.4354632194871795
Moderate,Survival,27.0,Snake,239,17.573221757322177,14.53287197231834,HIGH,-0.30608678750376567
Moderate,Open,4.0,Rabbit,64,25.0,14.035087719298245,HIGH,-0.4054337799000001
Moderate,Closing,23.0,Monkey,72,23.611111111111114,13.934426229508198,HIGH,-0.9336815705916668
Moderate,Positioning,29.0,Pig,29,37.931034482758626,13.924050632911396,EXPLORATORY,-0.5541906109448276
Tough,Open,24.0,Tiger,8,100.0,13.793103448275861,WEAK,-3.0913277480000003
Calm,Survival,15.0,Rat,39,30.76923076923077,13.483146067415731,HIGH,-0.9991380742307692
Moderate,Closing,28.0,Horse,34,32.35294117647059,13.095238095238095,HIGH,-0.46674313108823534
Calm,Closing,16.0,Rat,57,24.561403508771928,13.084112149532707,HIGH,-0.8742636179999997
Calm,Survival,4.0,Goat,50,26.0,13.0,HIGH,-0.6583656773000002
Moderate,Closing,9.0,Tiger,27,37.03703703703704,12.987012987012987,EXPLORATORY,-1.6293392822592592
Moderate,Closing,8.0,Monkey,28,35.71428571428571,12.820512820512818,EXPLORATORY,-1.0645229008571426
Calm,Positioning,2.0,Goat,52,24.999999999999996,12.745098039215684,HIGH,-0.7525453833423079
Moderate,Positioning,19.0,Rabbit,21,42.857142857142854,12.676056338028168,EXPLORATORY,-1.2973119439761907
Moderate,Positioning,19.0,Dog,21,42.857142857142854,12.676056338028168,EXPLORATORY,-2.117772545857142
Moderate,Open,7.0,Dog,37,29.72972972972973,12.64367816091954,HIGH,-0.45463035200540525
