condition,round_type,gap,tithi,n,edge,roi,conf,mean_error
Moderate,Open,-20--10,19.0,61,-36.0655737704918,-19.81981981981982,HIGH,1.3781173576904922
Calm,Open,-10-0,22.0,100,-29.000000000000004,-19.333333333333336,HIGH,1.1704509821390001
Moderate,Open,-20--10,24.0,47,-38.297872340425535,-18.556701030927837,HIGH,1.6079469548680851
Moderate,Open,-20--10,5.0,75,-30.666666666666664,-18.4,HIGH,1.3501568094696
Moderate,Open,10-20,10.0,21,-61.904761904761905,-18.309859154929576,EXPLORATORY,3.478155002680952
Moderate,Open,0-10,7.0,27,51.85185185185185,18.18181818181818,EXPLORATORY,-2.0803383931307406
Calm,Open,10-20,6.0,27,-51.85185185185185,-18.18181818181818,EXPLORATORY,2.8742319383777777
Calm,Open,10-20,11.0,39,-38.46153846153846,-16.853932584269664,HIGH,1.4334474844153846
Calm,Open,-20--10,11.0,108,-24.074074074074076,-16.455696202531648,HIGH,0.9089740749453704
Moderate,Open,-10-0,2.0,69,-26.08695652173913,-15.126050420168069,HIGH,0.9584740619743478
Moderate,Open,10-20,9.0,23,-47.82608695652174,-15.068493150684931,EXPLORATORY,2.226800142870435
Moderate,Open,-10-0,3.0,96,-22.916666666666664,-15.06849315068493,HIGH,1.1130872959989582
Calm,Open,<-20,2.0,138,-20.28985507246377,-14.893617021276597,HIGH,0.8000224453405798
Moderate,Open,-20--10,11.0,88,-22.72727272727273,-14.492753623188406,HIGH,1.3622153800265908
Calm,Open,0-10,3.0,98,-21.428571428571423,-14.189189189189186,HIGH,0.9073078230867346
Calm,Open,10-20,17.0,37,32.432432432432435,13.793103448275863,HIGH,-0.9127466090405407
Calm,Open,-20--10,5.0,117,-19.658119658119656,-13.772455089820356,HIGH,0.6278388043914529
Calm,Open,<-20,26.0,222,-16.666666666666664,-13.602941176470585,HIGH,0.6343689545945945
Moderate,Open,10-20,11.0,31,-35.483870967741936,-13.580246913580247,HIGH,1.9342836472225802
Calm,Open,0-10,15.0,142,-18.309859154929576,-13.541666666666666,HIGH,0.6761933826942254
Moderate,Open,-10-0,9.0,78,-21.794871794871796,-13.28125,HIGH,0.7487218707394871
Calm,Open,<-20,28.0,227,-15.859030837004404,-12.996389891696749,HIGH,0.5233330750770924
Moderate,Open,0-10,17.0,58,24.137931034482758,12.962962962962964,HIGH,-0.6434639930810344
Calm,Open,-10-0,17.0,205,-16.097560975609756,-12.941176470588236,HIGH,0.8827044966009758
Tough,Open,-20--10,23.0,13,61.53846153846154,12.698412698412698,WEAK,-2.4043127501
Calm,Open,10-20,23.0,61,22.950819672131146,12.612612612612613,HIGH,-0.9683145176918033
Moderate,Open,-10-0,5.0,117,-17.94871794871795,-12.574850299401197,HIGH,0.5022562967242734
Calm,Open,-20--10,6.0,107,-17.75700934579439,-12.101910828025476,HIGH,0.7034263830700933
Calm,Open,0-10,7.0,33,-30.303030303030305,-12.048192771084338,HIGH,1.2409563885969699
Calm,Open,-20--10,12.0,68,-20.588235294117645,-11.864406779661016,HIGH,0.6240837981264704
Calm,Open,-10-0,25.0,195,-14.871794871794872,-11.83673469387755,HIGH,0.7107961004373333
Calm,Open,-10-0,2.0,128,-16.40625,-11.797752808988763,HIGH,0.5358377774187499
Calm,Open,<-20,24.0,112,-16.96428571428571,-11.728395061728392,HIGH,0.7786233959348213
Calm,Open,<-20,12.0,132,-15.909090909090908,-11.538461538461538,HIGH,0.8177448634204544
Calm,Open,-10-0,29.0,133,-15.789473684210526,-11.475409836065573,HIGH,0.667458703968421
Calm,Open,20+,8.0,20,40.0,11.428571428571427,EXPLORATORY,-1.6682445914700001
Calm,Open,-10-0,21.0,100,-17.0,-11.333333333333332,HIGH,1.103567675427
Moderate,Open,-20--10,17.0,56,-21.42857142857143,-11.320754716981133,HIGH,1.1503769013732141
Calm,Open,0-10,4.0,67,-19.402985074626862,-11.111111111111109,HIGH,0.6339992431731344
Moderate,Open,<-20,7.0,86,-17.441860465116278,-11.02941176470588,HIGH,1.1171262994632558
Calm,Open,<-20,19.0,132,-15.151515151515152,-10.989010989010989,HIGH,0.8816623730743184
Moderate,Open,<-20,13.0,188,-13.829787234042554,-10.92436974789916,HIGH,0.5938471036690427
Moderate,Open,<-20,18.0,51,-21.568627450980394,-10.891089108910892,HIGH,0.7296884478417426
Moderate,Open,-20--10,3.0,88,17.045454545454543,10.869565217391301,HIGH,-0.517668144215909
