combo,dimension,value,n,mean_vs_avg,std,beat_field_pct,beat_field_count,p_value,excess_vs_baseline,signal_quality
New Moon -- Calm,moon_group -- condition,New Moon -- Calm,315,-1.1413,2.8063,66.0,208,0.0,-0.9749,rock_solid
New Moon -- Tough,moon_group -- condition,New Moon -- Tough,15,-0.5544,2.9883,60.0,9,0.4843,-0.3567,weak
New Moon -- Moderate,moon_group -- condition,New Moon -- Moderate,161,-0.4874,2.9589,59.6,96,0.0382,-0.2941,rock_solid
Full Moon -- Calm,moon_group -- condition,Full Moon -- Calm,299,-0.4477,2.9348,62.9,188,0.0088,-0.2575,rock_solid
Waxing -- Calm,moon_group -- condition,Waxing -- Calm,2901,-0.3913,2.9217,57.4,1666,0.0,-0.2759,rock_solid
Full Moon -- Moderate,moon_group -- condition,Full Moon -- Moderate,169,-0.376,2.9882,58.6,99,0.1037,-0.181,weak
Waning -- Calm,moon_group -- condition,Waning -- Calm,2153,-0.1236,2.9499,53.7,1156,0.0521,0.096,weak
Waning -- Moderate,moon_group -- condition,Waning -- Moderate,1889,-0.0488,2.9371,51.8,978,0.4702,0.1857,weak
Waxing -- Moderate,moon_group -- condition,Waxing -- Moderate,1493,0.1097,2.9457,49.6,741,0.1505,0.3641,weak
Waning -- Tough,moon_group -- condition,Waning -- Tough,107,0.1375,2.8805,43.0,46,0.6226,0.3394,weak
Waxing -- Tough,moon_group -- condition,Waxing -- Tough,157,0.2817,3.1135,51.0,80,0.2587,0.4878,weak
