combo,dimension,value,n,mean_vs_avg,std,beat_field_pct,beat_field_count,p_value,excess_vs_baseline,signal_quality
New Moon -- Mixed,moon_group -- round_type,New Moon -- Mixed,43,-1.7294,3.1251,69.8,30,0.0008,-1.5381,weak
New Moon -- Positioning,moon_group -- round_type,New Moon -- Positioning,80,-1.2568,2.7583,66.2,53,0.0001,-1.0674,acceptable
New Moon -- Survival,moon_group -- round_type,New Moon -- Survival,64,-1.0522,2.3474,62.5,40,0.0007,-0.8597,acceptable
Waxing -- Elimination,moon_group -- round_type,Waxing -- Elimination,31,-0.9795,3.4328,67.7,21,0.1226,-0.7839,weak
New Moon -- Open,moon_group -- round_type,New Moon -- Open,188,-0.9033,2.8863,66.0,124,0.0,-0.7191,rock_solid
Full Moon -- Open,moon_group -- round_type,Full Moon -- Open,185,-0.596,3.183,62.7,116,0.0117,-0.4056,rock_solid
Waning -- Elimination,moon_group -- round_type,Waning -- Elimination,66,-0.4086,2.3823,66.7,44,0.1683,-0.2118,weak
Full Moon -- Survival,moon_group -- round_type,Full Moon -- Survival,162,-0.3957,2.9063,63.0,102,0.085,-0.2009,weak
Waxing -- Open,moon_group -- round_type,Waxing -- Open,1380,-0.3174,2.8024,57.4,792,0.0,-0.139,rock_solid
Waxing -- Closing,moon_group -- round_type,Waxing -- Closing,863,-0.3112,2.9644,54.3,469,0.0021,-0.1241,rock_solid
New Moon -- Closing,moon_group -- round_type,New Moon -- Closing,116,-0.2951,3.0164,56.9,66,0.2943,-0.098,weak
Full Moon -- Positioning,moon_group -- round_type,Full Moon -- Positioning,62,-0.2869,2.8613,53.2,33,0.4328,-0.0893,weak
Waxing -- Mixed,moon_group -- round_type,Waxing -- Mixed,124,-0.1808,3.3095,54.8,68,0.5441,0.0176,weak
Waxing -- Survival,moon_group -- round_type,Waxing -- Survival,1291,-0.1106,3.0825,53.3,688,0.1975,0.1011,weak
Waning -- Open,moon_group -- round_type,Waning -- Open,1364,-0.11,3.0378,54.9,749,0.1812,0.1027,weak
Waning -- Survival,moon_group -- round_type,Waning -- Survival,1185,-0.1059,2.9597,52.2,618,0.2181,0.1052,weak
Waning -- Closing,moon_group -- round_type,Waning -- Closing,668,-0.093,2.6443,50.4,337,0.3638,0.113,weak
Full Moon -- Closing,moon_group -- round_type,Full Moon -- Closing,59,-0.089,2.3872,61.0,36,0.7756,0.1098,weak
Waning -- Positioning,moon_group -- round_type,Waning -- Positioning,779,-0.0792,2.8859,51.3,400,0.4437,0.1294,weak
Waxing -- Positioning,moon_group -- round_type,Waxing -- Positioning,862,-0.029,2.8619,52.1,449,0.7663,0.1858,weak
Waning -- Mixed,moon_group -- round_type,Waning -- Mixed,87,0.9527,3.9477,36.8,32,0.0269,1.1614,acceptable
