combo,dimension,value,n,mean_vs_avg,std,beat_field_pct,beat_field_count,p_value,excess_vs_baseline,signal_quality
horoscope=SCORPIO,horoscope,SCORPIO,1179,-0.155,3.044,54.4,641,0.0807,0.0492,weak
horoscope=CAPRICORN,horoscope,CAPRICORN,1184,-0.1894,2.7635,55.7,659,0.0185,0.01,acceptable
horoscope=ARIES,horoscope,ARIES,955,-0.1158,2.9075,54.8,523,0.2189,0.0915,weak
horoscope=VIRGO,horoscope,VIRGO,700,-0.2666,2.8814,58.0,406,0.0146,-0.0738,rock_solid
horoscope=PISCES,horoscope,PISCES,1031,-0.5008,2.9903,57.2,590,0.0,-0.3387,rock_solid
horoscope=SAGITTARIUS,horoscope,SAGITTARIUS,854,-0.0275,3.0355,51.9,443,0.791,0.1872,weak
horoscope=AQUARIUS,horoscope,AQUARIUS,737,0.0494,2.844,51.3,378,0.6376,0.268,weak
horoscope=GEMINI,horoscope,GEMINI,644,-0.2331,3.0319,54.8,353,0.0515,-0.0374,weak
horoscope=LIBRA,horoscope,LIBRA,287,0.5486,3.0069,43.9,126,0.0022,0.7696,rock_solid
horoscope=TAURUS,horoscope,TAURUS,568,-0.194,3.0085,52.3,297,0.1249,0.0045,weak
horoscope=CANCER,horoscope,CANCER,832,-0.4848,2.9061,57.5,478,0.0,-0.3136,rock_solid
horoscope=LEO,horoscope,LEO,665,-0.3395,2.9434,55.2,367,0.003,-0.1517,rock_solid
