combo,dimension,value,n,mean_vs_avg,std,beat_field_pct,beat_field_count,p_value,excess_vs_baseline,signal_quality
zodiac=Rooster,zodiac,Rooster,835,-0.2335,2.9363,55.4,463,0.0218,-0.0387,rock_solid
zodiac=Rat,zodiac,Rat,1090,-0.2313,3.0216,55.0,599,0.0116,-0.0373,rock_solid
zodiac=Tiger,zodiac,Tiger,613,-0.431,2.8756,57.4,352,0.0002,-0.2486,rock_solid
zodiac=Ox,zodiac,Ox,536,-0.3279,2.925,55.2,296,0.0097,-0.1373,rock_solid
zodiac=Snake,zodiac,Snake,650,-0.5199,2.9951,58.8,382,0.0,-0.3449,rock_solid
zodiac=Rabbit,zodiac,Rabbit,785,-0.0843,2.87,52.0,408,0.4108,0.124,weak
zodiac=Monkey,zodiac,Monkey,769,-0.3101,3.0856,55.5,427,0.0055,-0.1216,rock_solid
zodiac=Horse,zodiac,Horse,1006,-0.2787,2.8881,55.6,559,0.0023,-0.0899,rock_solid
zodiac=Goat,zodiac,Goat,819,0.0806,2.9156,52.6,431,0.4289,0.3047,weak
zodiac=Dog,zodiac,Dog,564,-0.095,3.0408,55.0,310,0.4582,0.1095,weak
zodiac=Pig,zodiac,Pig,1115,-0.1878,2.8592,55.1,614,0.0285,0.0117,acceptable
zodiac=Dragon,zodiac,Dragon,839,0.03,2.9311,49.9,419,0.7666,0.25,weak
