combo,dimension,value,n,mean_vs_avg,std,beat_field_pct,beat_field_count,p_value,excess_vs_baseline,signal_quality
Calm -- Elimination,condition -- round_type,Calm -- Elimination,97,-0.591,2.7562,67.0,65,0.0373,-0.3968,acceptable
Calm -- Survival,condition -- round_type,Calm -- Survival,1310,-0.4718,2.9834,58.2,762,0.0,-0.3166,rock_solid
Tough -- Open,condition -- round_type,Tough -- Open,99,-0.3987,2.6952,61.6,61,0.1442,-0.2026,weak
Calm -- Open,condition -- round_type,Calm -- Open,1786,-0.3765,2.9385,58.7,1049,0.0,-0.2187,rock_solid
Calm -- Closing,condition -- round_type,Calm -- Closing,1125,-0.2601,2.8434,53.2,598,0.0022,-0.07,rock_solid
Calm -- Mixed,condition -- round_type,Calm -- Mixed,221,-0.2483,3.6314,53.4,118,0.3105,-0.0513,weak
Tough -- Closing,condition -- round_type,Tough -- Closing,29,-0.2356,3.4809,48.3,14,0.7182,-0.0375,weak
Calm -- Positioning,condition -- round_type,Calm -- Positioning,1129,-0.1764,2.8219,55.4,626,0.0359,0.0246,acceptable
Moderate -- Closing,condition -- round_type,Moderate -- Closing,552,-0.1282,2.7614,53.6,296,0.276,0.0743,weak
Moderate -- Open,condition -- round_type,Moderate -- Open,1232,-0.1269,2.9608,54.5,671,0.1328,0.0817,weak
Moderate -- Positioning,condition -- round_type,Moderate -- Positioning,579,-0.0499,2.9478,47.7,276,0.6837,0.1577,weak
Moderate -- Survival,condition -- round_type,Moderate -- Survival,1316,0.1098,2.9908,50.1,659,0.1832,0.3566,weak
Tough -- Positioning,condition -- round_type,Tough -- Positioning,75,0.3077,3.1201,44.0,33,0.3958,0.5098,weak
Tough -- Survival,condition -- round_type,Tough -- Survival,76,0.9717,2.9846,35.5,27,0.0058,1.1792,acceptable
Moderate -- Mixed,condition -- round_type,Moderate -- Mixed,33,1.2419,3.2764,36.4,12,0.0369,1.445,weak
