combo,dimension,value,n,mean_vs_avg,std,beat_field_pct,beat_field_count,p_value,excess_vs_baseline,signal_quality,level
New Moon -- Calm,moon_group -- condition,New Moon -- Calm,315,-1.1413,2.8063,66.0,208,0.0,-0.9749,rock_solid,L10
New Moon -- 25-50,moon_group -- exec_bucket,New Moon -- 25-50,209,-1.0348,2.8551,66.5,139,0.0,-0.8551,rock_solid,L13
moonwest=New Moon,moonwest,New Moon,491,-0.9089,2.8736,63.7,313,0.0,-0.7488,rock_solid,L5
moon_group=New Moon,moon_group,New Moon,491,-0.9089,2.8736,63.7,313,0.0,-0.7488,rock_solid,L6
New Moon -- Open,moon_group -- round_type,New Moon -- Open,188,-0.9033,2.8863,66.0,124,0.0,-0.7191,rock_solid,L11
New Moon -- Water,moon_group -- wu_xing,New Moon -- Water,115,-0.8842,2.9067,61.7,71,0.0015,-0.6942,rock_solid,L12
New Moon -- Metal,moon_group -- wu_xing,New Moon -- Metal,101,-0.8547,2.8899,68.3,69,0.0037,-0.6634,rock_solid,L12
Full Moon -- 50-75,moon_group -- exec_bucket,Full Moon -- 50-75,199,-0.6973,3.0321,66.8,133,0.0014,-0.5096,rock_solid,L13
New Moon -- 50-75,moon_group -- exec_bucket,New Moon -- 50-75,254,-0.6757,2.8616,60.2,153,0.0002,-0.4904,rock_solid,L13
Full Moon -- Open,moon_group -- round_type,Full Moon -- Open,185,-0.596,3.183,62.7,116,0.0117,-0.4056,rock_solid,L11
zodiac=Snake,zodiac,Snake,650,-0.5199,2.9951,58.8,382,0.0,-0.3449,rock_solid,L15
horoscope=PISCES,horoscope,PISCES,1031,-0.5008,2.9903,57.2,590,0.0,-0.3387,rock_solid,L16
New Moon -- Moderate,moon_group -- condition,New Moon -- Moderate,161,-0.4874,2.9589,59.6,96,0.0382,-0.2941,rock_solid,L10
horoscope=CANCER,horoscope,CANCER,832,-0.4848,2.9061,57.5,478,0.0,-0.3136,rock_solid,L16
moon=Shukla Nanda,moon,Shukla Nanda,904,-0.4726,2.8413,57.7,522,0.0,-0.3027,rock_solid,L7
Calm -- Survival,condition -- round_type,Calm -- Survival,1310,-0.4718,2.9834,58.2,762,0.0,-0.3166,rock_solid,L8
Full Moon -- Calm,moon_group -- condition,Full Moon -- Calm,299,-0.4477,2.9348,62.9,188,0.0088,-0.2575,rock_solid,L10
moon=Shukla Jaya,moon,Shukla Jaya,986,-0.4394,2.9059,57.9,571,0.0,-0.2687,rock_solid,L7
zodiac=Tiger,zodiac,Tiger,613,-0.431,2.8756,57.4,352,0.0002,-0.2486,rock_solid,L15
moonwest=Full Moon,moonwest,Full Moon,468,-0.4218,2.9512,61.3,287,0.0021,-0.235,rock_solid,L5
moon_group=Full Moon,moon_group,Full Moon,468,-0.4218,2.9512,61.3,287,0.0021,-0.235,rock_solid,L6
Personal Year 4,Personal Year,4.0,1038,-0.4209,2.9502,57.6,598,0.0,-0.2496,rock_solid,L14
moon=Krishna Purna,moon,Krishna Purna,1012,-0.4148,3.0517,58.0,587,0.0,-0.2419,rock_solid,L7
Water -- 25-50,wu_xing -- exec_bucket,Water -- 25-50,866,-0.4036,2.9012,59.1,512,0.0,-0.2256,rock_solid,L9
Waxing -- Calm,moon_group -- condition,Waxing -- Calm,2901,-0.3913,2.9217,57.4,1666,0.0,-0.2759,rock_solid,L10
Calm -- Open,condition -- round_type,Calm -- Open,1786,-0.3765,2.9385,58.7,1049,0.0,-0.2187,rock_solid,L8
moon=Krishna Jaya,moon,Krishna Jaya,733,-0.3509,2.9555,58.7,430,0.0014,-0.1652,rock_solid,L7
horoscope=LEO,horoscope,LEO,665,-0.3395,2.9434,55.2,367,0.003,-0.1517,rock_solid,L16
condition=Calm,condition,Calm,5668,-0.3342,2.9356,56.8,3218,0.0,-0.3293,rock_solid,L1
Wood -- 25-50,wu_xing -- exec_bucket,Wood -- 25-50,859,-0.3331,2.8631,56.2,483,0.0007,-0.148,rock_solid,L9
zodiac=Ox,zodiac,Ox,536,-0.3279,2.925,55.2,296,0.0097,-0.1373,rock_solid,L15
Waxing -- Open,moon_group -- round_type,Waxing -- Open,1380,-0.3174,2.8024,57.4,792,0.0,-0.139,rock_solid,L11
