color,master_num,condition,n,mean_vs_avg,std,baseline_mean,difference,p_value,cohens_d
Blue,11,Calm,261,-0.1091143240927203,3.0473910571767973,-0.2453849833106666,0.1362706592179463,0.45861426385367093,0.046718525605405105
Blue,11,Moderate,142,0.22151250127929573,3.290728357579438,0.0798631113891221,0.14164938989017362,0.581235370820032,0.047052189939707285
Blue,11,Tough,15,1.1746303982466666,2.7301802158042374,0.4846015670739426,0.6900288311727241,0.4168704088390078,0.21391154480506305
Blue,22,Calm,266,-0.2372100755850188,2.7768863506526604,-0.2453849833106666,0.008174907725647801,0.9640915498072083,0.0028120134033774325
Blue,22,Moderate,180,0.19267539533808337,3.153195634018955,0.0798631113891221,0.11281228394896127,0.6219858164212713,0.037515756087127504
Blue,22,Tough,23,-0.16734931469565223,2.727366618688146,0.4846015670739426,-0.6519508817695948,0.3456773875236771,-0.20268545892243028
Blue,33,Calm,199,0.08135330345527633,3.140944346734223,-0.2453849833106666,0.32673828676594296,0.11938783802327761,0.1119575262475269
Blue,33,Moderate,77,-0.6562966906348051,3.0386443998905084,0.0798631113891221,-0.7361598020239272,0.03297069247171831,-0.24526686965194308
Green,11,Calm,157,-0.456273745113758,2.9036904386879914,-0.29612096754846345,-0.16015277756529456,0.5011568381694244,-0.054618727624382885
Green,11,Moderate,89,0.19779980486842694,3.209385323723077,0.06405218899466465,0.13374761587376227,0.6823529651593238,0.04414976489684265
Green,11,Tough,9,0.1743941491444444,1.8371946888050699,0.21337762743728475,-0.03898347829284035,0.9689740743722175,-0.01316744604126661
Green,22,Calm,188,-0.5884780358023936,2.716644164734563,-0.29612096754846345,-0.2923570682539301,0.1794195749786848,-0.0999567067147438
Green,22,Moderate,83,-0.5257442065142771,3.063646246166991,0.06405218899466465,-0.5897963955089418,0.08057386945452606,-0.1950263619843837
Green,22,Tough,18,-0.021843874833333277,2.915888889475112,0.21337762743728475,-0.23522150227061803,0.7452313231465807,-0.07890552534546429
Green,33,Calm,135,-0.2509945101431852,2.713842037392861,-0.29612096754846345,0.045126457405278264,0.8599101098440902,0.015416990114683369
Green,33,Moderate,63,-0.34139470786349213,2.8821721150446122,0.06405218899466465,-0.40544689685815677,0.292620210115281,-0.1342733012061193
Green,33,Tough,5,0.40948682396,3.2388264723571587,0.21337762743728475,0.19610919652271527,0.8843725870996566,0.06562868000325288
Orange,11,Calm,195,-0.4136467964952308,2.793852570326121,-0.3035454280649213,-0.11010136843030949,0.6086698904416348,-0.0373061333082444
Orange,11,Moderate,99,-0.13540894143666668,3.2109562594245653,-0.007846931058288929,-0.12756201037837775,0.671661387863469,-0.0431976898969088
Orange,11,Tough,13,1.303621388676923,1.607955435532433,0.10673112611775996,1.196890262559163,0.1659643559418932,0.3951776591361117
Orange,22,Calm,212,-0.6478377624901275,2.7860515992659933,-0.3035454280649213,-0.3442923344252062,0.09550528540015354,-0.11668676410925782
Orange,22,Moderate,149,-0.11945063306255028,2.889845656872371,-0.007846931058288929,-0.11160370200426135,0.6503060479514955,-0.03791828972219091
Orange,22,Tough,11,-0.08165454438181818,3.097829558999811,0.10673112611775996,-0.18838567049957816,0.8428489539968107,-0.06113701784670019
Orange,33,Calm,174,-0.5624546520308047,2.842213362654503,-0.3035454280649213,-0.2589092239658834,0.25489487447826026,-0.08766898310081767
