condition,exec_bucket,n,mean_vs_avg,std,win_rate,baseline_mean,difference,p_value,cohens_d
Calm,Exec_0-25,130,-0.4344523321708463,3.106709265279561,43.07692307692308,-0.2891760609854872,-0.14527627118535907,0.5744688103195077,-0.04932491751325784
Calm,Exec_25-50,13763,-0.31194038011326897,2.9296647807193246,43.34084138632566,-0.2891760609854872,-0.022764319127781762,0.4329557315807242,-0.007740518825598616
Calm,Exec_50-75,22503,-0.2838538822004012,2.9479541952605195,44.167444340754564,-0.2891760609854872,0.005322178785086007,0.8280953486521061,0.001806636308731039
Calm,Exec_75-100,3955,-0.23546525183024905,2.9735974556627256,43.10998735777497,-0.2891760609854872,0.053710809155238154,0.27409095702148256,0.01822344599103272
Moderate,Exec_0-25,126,-0.03742044661404761,3.155413040811199,52.38095238095239,0.06782092437406614,-0.10524137098811376,0.6923615398067746,-0.035339840986424065
Moderate,Exec_25-50,7390,0.06818413177881558,2.989723679081803,48.86332882273343,0.06782092437406614,0.0003632074047494327,0.9926857029844461,0.00012188110775089955
Moderate,Exec_50-75,14120,0.052681325213154745,2.9584518873523487,48.86685552407932,0.06782092437406614,-0.015139599160911399,0.6304701822816626,-0.005097185531939745
Moderate,Exec_75-100,2493,0.1578118791175371,3.034627967948407,50.62174087444845,0.06782092437406614,0.08999095474347096,0.15150518353982695,0.030173268283927898
Tough,Exec_25-50,729,0.13663602116781898,2.9992997417569254,50.617283950617285,0.32745943925962767,-0.1908234180918087,0.12765167404467645,-0.06473456772072679
Tough,Exec_50-75,1423,0.3425916291204076,2.906954312992881,53.47856640899508,0.32745943925962767,0.01513218986077991,0.8778781260733322,0.00517857289705848
Tough,Exec_75-100,158,1.0716187153168353,2.719445840137884,60.75949367088608,0.32745943925962767,0.7441592760572076,0.0019508043869921469,0.2549958351200296
