pd_num,color,n,mean,std
6,Brown,9,-0.3992150287,2.1375660405830406
6,Pink,28,0.16626909402214277,2.8929397046932075
1,Green,882,-0.2356717569035941,2.9183816793727995
1,Blue,1414,-0.10259887148749644,2.919703207535058
1,Purple,1015,-0.18454855516047786,2.922583797502913
6,Red,154,0.2585337741513182,2.933409640735036
6,Orange,848,-0.05810403017685734,2.9457867742655055
6,Blue,1147,0.012421129183897105,2.94944402427164
6,Green,771,-0.1237782430557004,2.9810476860305744
1,Yellow,2719,-0.11199228589832805,2.992720188208618
6,Yellow,2125,-0.13696129500640847,2.997436744423832
1,Pink,47,-0.4097136054102129,3.089537299627864
1,Orange,1102,-0.33270575016918785,3.0906709339125977
1,Red,207,0.0701398581550241,3.108240769532376
6,Purple,762,-0.12971049554233596,3.109716963792195
1,Brown,8,-0.19268578025000016,5.157251391329069
