color,master_num,n,mean,std,cv
Pink,33,10,-0.7839915249009998,2.229852572754595,2.8442304564914456
Red,11,62,-0.07132018011161287,2.71678467654365,38.09279045975493
Green,33,203,-0.26278173076320194,2.766989267593401,10.529610485314873
Orange,33,241,-0.3521009808331534,2.800953963675326,7.954973476778204
Green,22,289,-0.5351689606177683,2.825701012963373,5.280016631946565
Yellow,33,575,-0.3118572261027305,2.839006213848705,9.10354475131993
Orange,22,372,-0.419456854737707,2.8414847045036575,6.774200188671331
Pink,11,16,-0.60954193094875,2.879425501782778,4.7239170196231814
Purple,33,220,-0.20717081352259092,2.8937087018058714,13.967743103399684
Purple,11,293,-0.4389828799497269,2.9004113056700462,6.607117129493083
Yellow,22,888,-0.3333091752208469,2.906327163697793,8.719613439300295
Orange,11,307,-0.2512036888143323,2.9113362175194393,11.589544051923708
Purple,22,311,-0.33903980594803856,2.923466911018042,8.622783695983161
Blue,22,469,-0.06879604090140731,2.9260456298685527,42.53218050820562
Yellow,11,791,-0.12027825659787608,2.940075055548602,24.443944722096337
Green,11,255,-0.20573038434223528,2.9923558679071176,14.545036103803184
Blue,33,280,-0.1132407231238571,3.11485971890662,27.50653327690022
Blue,11,418,0.04927127408411481,3.1262403602476603,63.44955389037867
Red,22,79,0.1458966766210126,3.212606373201577,22.019736484791764
Red,33,43,0.4977981512906977,3.6447576635973356,7.32175813459162
Pink,22,12,0.49485521571666674,3.6962139135478638,7.469283532143592
