element,master_num,n,mean_vs_avg,std,baseline_mean,difference,p_value,cohens_d
Earth,11,433,-0.14086948516002304,3.0012312162182426,-0.20120010738703228,0.060330622227009245,0.6714835474171007,0.020737686888636656
Earth,22,485,-0.32180637029245357,2.774774219825015,-0.20120010738703228,-0.12060626290542129,0.36919541860700966,-0.04157283751833075
Earth,33,333,-0.5694171939262763,2.9218841303639103,-0.20120010738703228,-0.368217086539244,0.022549353081820715,-0.12669348045184872
Fire,11,562,-0.17767929534791813,2.9953755857405158,-0.09828190876851542,-0.0793973865794027,0.5363444090750733,-0.026551837818234978
Fire,22,601,-0.4182231682140549,2.9289804424381414,-0.09828190876851542,-0.3199412594455395,0.01001083978513832,-0.10708100795868734
Fire,33,376,-0.28950344186523935,2.91986308536841,-0.09828190876851542,-0.19122153309672393,0.2202181281733383,-0.06398670595236992
Metal,11,411,-0.05708062869763992,3.00571738998057,-0.03570544403938461,-0.02137518465825531,0.8880120165797433,-0.007074962190156501
Metal,22,439,-0.12920460099716857,3.0840824681106263,-0.03570544403938461,-0.09349915695778396,0.5252996822769911,-0.030916674502548317
Metal,33,293,0.030747527418395915,3.0217207876665153,-0.03570544403938461,0.06645297145778052,0.7102663394700722,0.02199105217078225
Water,11,388,-0.15450279698657218,2.839284871618617,-0.22431064979048812,0.06980785280391594,0.6458494225430822,0.023721273948605792
Water,22,493,-0.26194713561034483,2.8333824778132315,-0.22431064979048812,-0.03763648581985671,0.7808941546742367,-0.012794083202299631
Water,33,282,-0.2627418133398936,2.758445897965487,-0.22431064979048812,-0.038431163549405484,0.8284283642007585,-0.013063309071626015
Wood,11,346,-0.2897545565839884,2.9824889376169845,-0.11219664153182045,-0.17755791505216795,0.270064834702274,-0.06029206168981843
Wood,22,399,-0.35824194917887225,2.914799893123401,-0.11219664153182045,-0.2460453076470518,0.10134600277984356,-0.08361467876553028
Wood,33,292,-0.05963686685708904,2.836626148091253,-0.11219664153182045,0.052559774674731406,0.7633168386708821,0.017872769611353156
