upside_bucket,element,n,mean_vs_avg,std,baseline_mean,difference,p_value,cohens_d
Upside_25-50,Earth,752,-0.02258162073766889,2.9225105447986928,-0.138877988440093,0.1162963677024241,0.28426997702568596,0.03926671416396657
Upside_25-50,Fire,1079,-0.1530455433121103,2.972695363354764,-0.138877988440093,-0.01416755487201729,0.8761549971099157,-0.004782604928091231
Upside_25-50,Metal,726,0.0717376573149752,2.8998957157636696,-0.138877988440093,0.2106156457550682,0.056666046793762394,0.07111837876847732
Upside_25-50,Water,738,-0.2514673167515854,3.0038409926667553,-0.138877988440093,-0.1125893283114924,0.30454019171705005,-0.038003558635384294
Upside_25-50,Wood,750,-0.2027300564609027,3.0113301582690735,-0.138877988440093,-0.0638520680208097,0.5572453476415854,-0.02155204889572107
Upside_50-75,Earth,8497,-0.20825598314359928,2.9018336884757927,-0.138877988440093,-0.06937799470350628,0.04153922616510565,-0.023475015823044097
Upside_50-75,Fire,10571,-0.15586868759064781,2.982885943263188,-0.138877988440093,-0.016990699150554817,0.5840736971621361,-0.005730451559314535
Upside_50-75,Metal,7462,-0.08024264941787551,3.0071944154569032,-0.138877988440093,0.058635339022217486,0.10539672303527547,0.01976450293569819
Upside_50-75,Water,7776,-0.25467363065008747,2.9317356988836547,-0.138877988440093,-0.11579564220999447,0.0010913722647708489,-0.03913356273008581
Upside_50-75,Wood,6884,-0.1250907360659667,2.937649085918125,-0.138877988440093,0.013787252374126285,0.7128884935390244,0.004658073236821012
Upside_75-100,Earth,4302,-0.25451356474620807,2.9080306633715174,-0.138877988440093,-0.11563557630611507,0.012974932275824311,-0.039080652888666884
Upside_75-100,Fire,5426,-0.032785801794713416,2.996340237461696,-0.138877988440093,0.10609218664537959,0.011246816842417063,0.03578484199297012
Upside_75-100,Metal,3948,0.021025134681272255,3.074527900238924,-0.138877988440093,0.15990312312136526,0.0010067338685031096,0.05386619662607801
Upside_75-100,Water,4120,-0.16269967147997064,2.9264670621034043,-0.138877988440093,-0.02382168303987764,0.6161438876209812,-0.008047646228878682
Upside_75-100,Wood,3617,-0.10876746104642578,2.9340181584751126,-0.138877988440093,0.030110527393667222,0.5513611569927153,0.010170058607202817
