color,upside_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Blue,25-50,Calm,Closing,-0.3731,2.9631,142,76,0.4718,0.5392989972713025
Blue,25-50,Calm,Elimination,-0.4365,2.3684,8,5,0.25,0.5479495058859436
Blue,25-50,Calm,Mixed,-0.1517,2.8274,13,12,0.5385,0.9281810554028077
Blue,25-50,Calm,Open,-0.1518,2.5747,196,103,0.4439,0.3075550284686752
Blue,25-50,Calm,Positioning,0.1104,2.8207,159,80,0.5157,0.18249235475876321
Blue,25-50,Calm,REMOVE,0.4233,2.5896,27,16,0.5926,0.24702471766322942
Blue,25-50,Calm,Survival,-0.0209,3.0935,155,83,0.4839,0.310037578640638
Blue,25-50,Moderate,Closing,0.9314,2.8253,83,42,0.5904,0.022256577013710567
Blue,25-50,Moderate,Open,0.455,3.2325,111,65,0.5495,0.08749256319018857
Blue,25-50,Moderate,Positioning,0.729,3.5537,88,47,0.5,0.09871126202418719
Blue,25-50,Moderate,REMOVE,-1.8203,2.4718,14,8,0.2143,0.00212385293387836
Blue,25-50,Moderate,Survival,0.0904,3.1388,194,86,0.4691,0.7274868802414176
Blue,25-50,Tough,Closing,4.1297,,1,1,1.0,
Blue,25-50,Tough,Open,0.8514,2.9233,19,15,0.5263,0.12942204718492054
Blue,25-50,Tough,Positioning,0.7286,2.3932,12,6,0.6667,0.7441591303264684
Blue,25-50,Tough,Survival,1.0452,3.3557,11,9,0.6364,0.6251027010433624
Blue,50-75,Calm,Closing,-0.1008,2.7719,1253,260,0.4629,0.14214287480734797
Blue,50-75,Calm,Elimination,0.2624,2.761,128,56,0.5078,0.7205838509534439
Blue,50-75,Calm,Mixed,-0.5873,3.6471,243,117,0.428,0.024821164402802923
Blue,50-75,Calm,Open,-0.4961,2.9093,2267,342,0.3939,0.056977421978429074
Blue,50-75,Calm,Positioning,-0.277,2.7747,1288,259,0.462,0.2651260958385951
Blue,50-75,Calm,REMOVE,-0.0496,2.7664,537,161,0.46,0.19981391845682894
Blue,50-75,Calm,Survival,-0.2536,3.0472,1644,306,0.4398,0.8761268228266234
Blue,50-75,Moderate,Closing,-0.1216,2.9506,735,217,0.4449,0.005485197475603543
Blue,50-75,Moderate,Mixed,-0.2023,0.5774,3,3,0.3333,
