color,exec_bucket,year,mean_vs_avg,n,unique_players,beat_field
Blue,0-25,2022,4.2895,2,1,1.0
Blue,0-25,2023,-1.4487,17,12,0.3529
Blue,0-25,2024,-0.1109,12,4,0.3333
Blue,0-25,2025,-0.2399,6,3,0.3333
Blue,0-25,2026,0.6557,4,2,0.5
Blue,25-50,2022,0.1187,1706,253,0.5082
Blue,25-50,2023,-0.0649,948,231,0.4768
Blue,25-50,2024,-0.2436,1503,261,0.4431
Blue,25-50,2025,-0.0626,2288,251,0.458
Blue,25-50,2026,-0.2462,616,144,0.4221
Blue,50-75,2022,0.0421,3127,308,0.4861
Blue,50-75,2023,-0.0005,1454,289,0.4862
Blue,50-75,2024,-0.311,2186,297,0.4332
Blue,50-75,2025,0.0173,3470,304,0.4847
Blue,50-75,2026,-0.3624,784,157,0.4286
Blue,75-100,2022,0.0313,681,178,0.4479
Blue,75-100,2023,-0.1211,285,131,0.4596
Blue,75-100,2024,-0.1019,353,140,0.4674
Blue,75-100,2025,-0.1092,632,150,0.443
Blue,75-100,2026,0.0226,156,59,0.4487
Brown,0-25,2023,-1.2543,1,1,0.0
Brown,25-50,2022,0.9207,15,7,0.6
Brown,25-50,2023,-0.2402,19,13,0.4211
Brown,25-50,2024,0.265,8,4,0.5
Brown,25-50,2025,-0.2557,18,6,0.4444
Brown,25-50,2026,2.5825,8,3,0.75
Brown,50-75,2022,-0.6291,38,13,0.4474
Brown,50-75,2023,-1.426,12,4,0.25
Brown,50-75,2024,-0.8671,9,6,0.4444
Brown,50-75,2025,-0.2113,22,8,0.2727
Brown,50-75,2026,-4.5311,4,2,0.0
Brown,75-100,2024,-1.2173,3,2,0.0
Green,0-25,2022,0.2895,2,1,1.0
Green,0-25,2023,-1.1938,8,5,0.25
Green,0-25,2024,-0.4412,5,2,0.6
Green,0-25,2025,2.0417,4,2,1.0
Green,25-50,2022,0.0251,903,192,0.4718
Green,25-50,2023,-0.0779,503,196,0.4712
Green,25-50,2024,-0.0947,639,183,0.4648
Green,25-50,2025,-0.3714,1178,219,0.4278
Green,25-50,2026,0.0027,386,115,0.4663
Green,50-75,2022,-0.1195,1822,253,0.4413
Green,50-75,2023,-0.0179,1113,263,0.4933
Green,50-75,2024,-0.4809,1579,265,0.4003
Green,50-75,2025,-0.1679,2608,280,0.4632
Green,50-75,2026,-0.2192,674,160,0.4125
Green,75-100,2022,-0.5506,303,114,0.4389
Green,75-100,2023,0.0473,156,108,0.5064
Green,75-100,2024,-0.0068,187,114,0.4492
Green,75-100,2025,0.4071,396,127,0.5202
Green,75-100,2026,0.3224,202,69,0.5545
