color,upside_bucket,year,mean_vs_avg,n,unique_players,beat_field
Blue,25-50,2022,0.3958,356,127,0.5253
Blue,25-50,2023,-0.3953,161,95,0.4348
Blue,25-50,2024,-0.1059,252,130,0.4246
Blue,25-50,2025,0.1883,384,105,0.5417
Blue,25-50,2026,0.4904,80,35,0.475
Blue,50-75,2022,-0.0023,3311,306,0.4814
Blue,50-75,2023,-0.0913,1523,291,0.48
Blue,50-75,2024,-0.3625,2191,292,0.4267
Blue,50-75,2025,-0.1252,3844,316,0.4553
Blue,50-75,2026,-0.5834,952,168,0.3845
Blue,75-100,2022,0.1249,1849,254,0.4938
Blue,75-100,2023,0.0797,1020,243,0.4853
Blue,75-100,2024,-0.1627,1611,270,0.4593
Blue,75-100,2025,0.1178,2168,257,0.4862
Blue,75-100,2026,0.1639,528,142,0.5
Brown,25-50,2022,1.6228,6,3,0.6667
Brown,25-50,2023,-1.2543,1,1,0.0
Brown,25-50,2024,2.4422,2,2,1.0
Brown,50-75,2022,-0.6049,37,12,0.4324
Brown,50-75,2023,-0.6992,31,14,0.3548
Brown,50-75,2024,-0.7401,13,7,0.3077
Brown,50-75,2025,-0.4429,24,7,0.3333
Brown,50-75,2026,0.9971,10,4,0.6
Brown,75-100,2022,0.2551,10,4,0.6
Brown,75-100,2024,-0.9198,5,2,0.4
Brown,75-100,2025,0.0862,16,6,0.375
Brown,75-100,2026,-3.718,2,1,0.0
Green,25-50,2022,0.596,197,76,0.5228
Green,25-50,2023,-0.0946,99,77,0.4444
Green,25-50,2024,0.1836,137,72,0.5255
Green,25-50,2025,-0.3149,248,102,0.4435
Green,25-50,2026,0.8483,58,26,0.5862
Green,50-75,2022,-0.2169,2052,263,0.4444
Green,50-75,2023,-0.037,1214,267,0.4811
Green,50-75,2024,-0.2973,1584,269,0.428
Green,50-75,2025,-0.1826,2718,296,0.4614
Green,50-75,2026,-0.1006,918,176,0.4423
Green,75-100,2022,-0.0431,781,180,0.4481
Green,75-100,2023,-0.0149,467,187,0.5118
Green,75-100,2024,-0.5481,689,187,0.3861
Green,75-100,2025,-0.1078,1220,220,0.4574
Green,75-100,2026,-0.1344,286,92,0.4545
Orange,25-50,2022,-0.0681,339,104,0.4749
Orange,25-50,2023,-0.178,157,86,0.4586
Orange,25-50,2024,-0.0618,294,101,0.4932
Orange,25-50,2025,0.2273,166,49,0.494
Orange,25-50,2026,-1.0173,40,20,0.3
Orange,50-75,2022,0.0644,2855,226,0.4869
Orange,50-75,2023,-0.1623,1495,210,0.4649
Orange,50-75,2024,-0.3586,2206,213,0.4248
Orange,50-75,2025,-0.2838,1934,199,0.4416
Orange,50-75,2026,-0.7956,478,108,0.3473
Orange,75-100,2022,-0.0722,1554,202,0.4685
Orange,75-100,2023,-0.1155,961,187,0.4703
Orange,75-100,2024,-0.3225,1327,181,0.4454
Orange,75-100,2025,-0.1495,1242,163,0.4718
Orange,75-100,2026,-0.2203,382,93,0.4346
Pink,25-50,2022,-2.8991,7,3,0.0
Pink,25-50,2023,0.3317,21,17,0.4762
Pink,25-50,2024,0.3265,19,9,0.5789
Pink,25-50,2026,-1.3443,4,2,0.5
Pink,50-75,2022,-0.118,146,34,0.4452
Pink,50-75,2023,-0.1204,134,35,0.4552
Pink,50-75,2024,-0.5582,81,24,0.358
Pink,50-75,2025,1.3392,20,8,0.7
Pink,50-75,2026,0.6557,4,2,0.5
Pink,75-100,2022,0.04,46,16,0.4783
Pink,75-100,2023,-0.4989,47,21,0.3191
Pink,75-100,2024,-0.7638,51,12,0.3529
Pink,75-100,2025,-0.803,2,1,0.0
Pink,75-100,2026,-3.5356,2,1,0.0
Purple,25-50,2022,0.0276,139,55,0.4676
Purple,25-50,2023,-0.4594,100,78,0.36
Purple,25-50,2024,-0.385,140,72,0.4
Purple,25-50,2025,-0.1836,336,106,0.4286
Purple,25-50,2026,0.0698,40,19,0.5
Purple,50-75,2022,-0.1598,2383,268,0.4469
Purple,50-75,2023,-0.005,1394,269,0.4692
Purple,50-75,2024,-0.3168,1900,261,0.44
Purple,50-75,2025,-0.2066,3176,285,0.4679
Purple,50-75,2026,0.0369,948,172,0.5063
Purple,75-100,2022,0.0191,853,185,0.4889
Purple,75-100,2023,-0.2482,520,174,0.4365
Purple,75-100,2024,0.0887,787,188,0.4867
Purple,75-100,2025,-0.0171,1312,195,0.4832
Purple,75-100,2026,-0.6469,402,117,0.3881
Red,25-50,2022,1.0786,21,10,0.8095
Red,25-50,2023,-1.0771,16,14,0.4375
Red,25-50,2024,1.6751,16,10,0.5625
Red,25-50,2025,0.9937,8,4,0.75
Red,50-75,2022,0.1556,628,110,0.5048
Red,50-75,2023,0.0842,298,85,0.4564
Red,50-75,2024,0.125,353,92,0.4958
Red,50-75,2025,0.0635,682,114,0.4633
Red,50-75,2026,-0.9608,130,43,0.3231
Red,75-100,2022,-0.1589,229,57,0.4192
Red,75-100,2023,-0.038,103,44,0.3786
Red,75-100,2024,-0.0856,159,49,0.4906
Red,75-100,2025,0.2356,264,70,0.4848
Red,75-100,2026,-0.2175,78,24,0.4103
Yellow,25-50,2022,-0.2619,695,179,0.423
Yellow,25-50,2023,0.0177,329,171,0.4985
Yellow,25-50,2024,-0.3798,524,203,0.4447
Yellow,25-50,2025,-0.0943,666,161,0.4715
Yellow,25-50,2026,0.0176,248,89,0.4677
Yellow,50-75,2022,0.0564,6191,348,0.4918
Yellow,50-75,2023,-0.0329,3253,322,0.4771
Yellow,50-75,2024,-0.3393,4020,341,0.4343
Yellow,50-75,2025,-0.1385,7516,382,0.4478
Yellow,50-75,2026,-0.1463,2144,213,0.458
Yellow,75-100,2022,-0.0578,2798,278,0.4761
Yellow,75-100,2023,-0.1865,1633,282,0.4568
Yellow,75-100,2024,-0.0495,2737,298,0.4826
Yellow,75-100,2025,-0.0903,4086,319,0.4606
Yellow,75-100,2026,0.0015,1060,172,0.4642
