color,exec_bucket,mean_vs_avg,std,n,unique_players,beat_field,vs_baseline_mean,vs_baseline_beat,p_value
Blue,0-25,-0.395,3.2792,41,19,0.3902,-0.2775,-0.0714,0.5485021403435075
Blue,25-50,-0.0736,2.9732,7061,420,0.4664,0.0439,0.0048,0.2287195446151348
Blue,50-75,-0.0701,2.9507,11021,461,0.4711,0.0474,0.0095,0.11017501885136895
Blue,75-100,-0.0544,2.9183,2107,292,0.4514,0.0631,-0.0102,0.3329816227832213
Brown,0-25,-1.2543,,1,1,0.0,-1.1368,-0.4616,
Brown,25-50,0.4033,2.5804,68,25,0.5147,0.5208,0.0531,0.14710518334624922
Brown,50-75,-0.8423,3.215,85,23,0.3529,-0.7248,-0.1087,0.02410845482479435
Brown,75-100,-1.2173,0.9264,3,2,0.0,-1.0998,-0.4616,
Green,0-25,-0.1585,2.5917,19,7,0.5789,-0.041,0.1173,0.9518860111425932
Green,25-50,-0.1423,2.9349,3609,365,0.4555,-0.0248,-0.0061,0.6208509166319167
Green,50-75,-0.203,2.961,7796,430,0.4452,-0.0855,-0.0164,0.013880241117418961
Green,75-100,0.0527,2.9618,1244,266,0.4936,0.1702,0.032,0.04385685372727562
Orange,0-25,-0.2907,3.2335,121,56,0.4545,-0.1732,-0.0071,0.5201418918493717
Orange,25-50,-0.2352,2.9148,7504,374,0.4463,-0.1177,-0.0153,0.0008712837311682175
Orange,50-75,-0.184,2.9855,6541,362,0.4609,-0.0665,-0.0007,0.0779896804418372
Orange,75-100,0.1831,3.031,1264,148,0.4889,0.3006,0.0273,0.00033573754056596207
Pink,0-25,0.5508,2.6958,53,29,0.566,0.6683,0.1044,0.10050205835942895
Pink,25-50,-0.3432,3.0486,379,64,0.3905,-0.2257,-0.0711,0.13855734506669387
Pink,50-75,-0.2444,2.8728,136,36,0.4559,-0.1269,-0.0057,0.6173562623377419
Pink,75-100,0.2019,2.3029,16,9,0.5625,0.3194,0.1009,0.6661937865255917
Purple,0-25,-1.0667,3.5711,24,13,0.4583,-0.9492,-0.0033,0.11639694323386403
Purple,25-50,-0.2181,3.0046,4153,356,0.4392,-0.1006,-0.0224,0.031778648330396966
Purple,50-75,-0.0956,2.9631,8727,437,0.4734,0.0219,0.0118,0.5076122332361641
Purple,75-100,-0.2133,2.981,1526,257,0.4541,-0.0958,-0.0075,0.20956655818641157
Red,0-25,-1.5128,2.682,6,3,0.1667,-1.3953,-0.2949,0.24845942673419877
Red,25-50,-0.0474,3.0688,849,141,0.4488,0.0701,-0.0128,0.4922061497547041
Red,50-75,0.0872,3.052,1831,201,0.4844,0.2047,0.0228,0.0033787438731801276
Red,75-100,0.0214,3.1779,299,80,0.4314,0.1389,-0.0302,0.41821272577372187
Yellow,0-25,-0.184,3.1574,69,20,0.5507,-0.0665,0.0891,0.8519313071229151
Yellow,25-50,-0.0851,2.954,10348,446,0.4669,0.0324,0.0053,0.28839586089534386
Yellow,50-75,-0.1152,2.9341,23455,511,0.4637,0.0023,0.0021,0.9159579549256958
Yellow,75-100,-0.0703,3.0431,4028,381,0.4571,0.0472,-0.0045,0.32132734026479215
