color,upside_bucket,mean_vs_avg,std,n,unique_players,beat_field,vs_baseline_mean,vs_baseline_beat,p_value
Blue,25-50,0.1315,2.9928,1233,259,0.4947,0.249,0.0331,0.003343939017740031
Blue,50-75,-0.1673,2.9562,11821,469,0.4548,-0.0498,-0.0068,0.08290939743078442
Blue,75-100,0.0546,2.9424,7176,423,0.483,0.1721,0.0214,1.8965441997213545e-06
Brown,25-50,1.4852,3.4512,9,6,0.6667,1.6027,0.2051,0.10447622171735285
Brown,50-75,-0.4725,2.845,115,28,0.3913,-0.355,-0.0703,0.19881406625930645
Brown,75-100,-0.2456,3.2012,33,9,0.4242,-0.1281,-0.0374,0.8037529398415836
Green,25-50,0.1411,2.7674,739,201,0.4912,0.2586,0.0296,0.017947311359118177
Green,50-75,-0.1826,2.9561,8486,436,0.4518,-0.0651,-0.0098,0.05131176564874079
Green,75-100,-0.1708,2.9839,3443,357,0.4482,-0.0533,-0.0134,0.2982359370641572
Orange,25-50,-0.0725,3.0202,996,183,0.4739,0.045,0.0123,0.633193548017889
Orange,50-75,-0.1984,2.9446,8968,365,0.4507,-0.0809,-0.0109,0.01299411768675896
Orange,75-100,-0.1685,2.9713,5466,332,0.4616,-0.051,-0.0,0.21443441091140322
Pink,25-50,-0.2451,2.9471,51,29,0.451,-0.1276,-0.0106,0.7582455306943048
Pink,50-75,-0.1277,3.037,385,60,0.4442,-0.0102,-0.0174,0.9461929754190532
Pink,75-100,-0.4678,2.7807,148,36,0.3716,-0.3503,-0.09,0.1503080278942311
Purple,25-50,-0.2051,3.0635,755,183,0.4252,-0.0876,-0.0364,0.41774689844285556
Purple,50-75,-0.1644,2.973,9801,440,0.4613,-0.0469,-0.0003,0.1339507318613225
Purple,75-100,-0.084,2.9758,3874,349,0.469,0.0335,0.0074,0.4899390747238195
Red,25-50,0.6585,2.9169,61,26,0.6393,0.776,0.1777,0.040762272008376926
Red,50-75,0.0408,3.0917,2091,207,0.4715,0.1583,0.0099,0.01559876680300255
Red,75-100,-0.0104,3.0201,833,132,0.4478,0.1071,-0.0138,0.2987722617280489
Yellow,25-50,-0.1761,2.9493,2462,349,0.4553,-0.0586,-0.0063,0.3312527419262514
Yellow,50-75,-0.1071,2.9432,23124,513,0.4623,0.0104,0.0007,0.6286819842087323
Yellow,75-100,-0.0787,2.9679,12314,459,0.4688,0.0388,0.0072,0.1693174597605717
