color,exec_bucket,condition,mean_vs_avg,std,n,unique_players,beat_field,p_value
Blue,0-25,Calm,-1.5167,2.791,19,13,0.2105,0.06242224495912262
Blue,0-25,Moderate,0.5737,3.4181,22,10,0.5455,0.44086902464829175
Blue,25-50,Calm,-0.2072,2.9022,4436,368,0.45,0.2475406125765663
Blue,25-50,Moderate,0.0829,3.0649,2379,328,0.4838,0.994529103902108
Blue,25-50,Tough,0.8178,3.1558,227,115,0.5771,0.04574132457341266
Blue,50-75,Calm,-0.2,2.8837,6616,406,0.4515,0.1133992888371402
Blue,50-75,Moderate,0.1014,3.0389,4072,403,0.4948,0.7019943081677277
Blue,50-75,Tough,0.4122,3.041,320,136,0.5688,0.9657937747403323
Blue,75-100,Calm,-0.2544,2.913,1340,244,0.4142,0.9452514329902488
Blue,75-100,Moderate,0.1912,2.8696,706,205,0.5014,0.33783242149432496
Blue,75-100,Tough,1.5118,2.9801,60,36,0.6833,0.003772849472606661
Brown,0-25,Calm,-1.2543,,1,1,0.0,
Brown,25-50,Calm,0.3659,2.4159,45,18,0.5333,0.15332742908901323
Brown,25-50,Moderate,0.3826,2.9655,22,14,0.4545,0.6376360167715286
Brown,25-50,Tough,2.5428,,1,1,1.0,
Brown,50-75,Calm,-0.7194,2.9222,56,17,0.4107,0.24232910769180543
Brown,50-75,Moderate,-1.0795,3.7611,29,10,0.2414,0.03640676029968033
Brown,75-100,Calm,-1.2173,0.9264,3,2,0.0,
Green,0-25,Calm,-0.432,2.7898,10,6,0.5,0.8532232575724764
Green,0-25,Moderate,0.1454,2.482,9,5,0.6667,0.949602195296014
Green,25-50,Calm,-0.3319,2.858,2384,326,0.4211,0.24017974648609602
Green,25-50,Moderate,0.2895,3.0718,1088,259,0.5257,0.024426760302983668
Green,25-50,Tough,-0.3043,2.7719,132,74,0.4924,0.004745421893666831
Green,50-75,Calm,-0.3234,2.9219,4901,395,0.4269,0.14514229506143397
Green,50-75,Moderate,-0.0682,3.0167,2527,347,0.4658,0.014328421345565499
Green,50-75,Tough,0.5243,2.929,360,154,0.5556,0.5133933219677702
Green,75-100,Calm,-0.0969,2.9128,770,221,0.4455,0.12588528428679774
Green,75-100,Moderate,0.2577,3.0643,444,174,0.5676,0.21951357207156044
Green,75-100,Tough,0.8603,2.3793,30,18,0.6333,0.4053405380221139
Orange,0-25,Calm,-0.068,2.7671,53,31,0.4906,0.6345473837693327
Orange,0-25,Moderate,-0.4644,3.5657,68,41,0.4265,0.131865508600768
Orange,25-50,Calm,-0.3192,2.8975,4673,344,0.4336,0.18316970038776442
Orange,25-50,Moderate,-0.1037,2.9201,2542,286,0.4638,0.0023620925625496905
Orange,25-50,Tough,-0.002,3.1533,271,92,0.5055,0.021795992602174956
Orange,50-75,Calm,-0.3116,2.9999,3806,309,0.4396,0.29302330719556513
Orange,50-75,Moderate,-0.0108,2.9555,2613,310,0.491,0.12301821965306745
Orange,50-75,Tough,-0.1073,2.7811,118,58,0.4661,0.05153611229487487
Orange,75-100,Calm,0.0532,3.0198,819,134,0.4676,0.002454791364446668
Orange,75-100,Moderate,0.3323,3.0667,416,94,0.512,0.09009867991407276
Orange,75-100,Tough,1.7117,2.3113,29,18,0.7586,0.0164947558666257
Pink,0-25,Calm,0.1135,2.9903,30,22,0.4333,0.48656277445060014
Pink,0-25,Moderate,1.121,2.1886,23,14,0.7391,0.09562724106957624
Pink,25-50,Calm,-0.4033,3.0631,234,49,0.3803,0.4565872658495836
Pink,25-50,Moderate,-0.4121,2.9789,126,46,0.381,0.0636921118980665
Pink,25-50,Tough,0.8537,3.2424,19,9,0.5789,0.5143765631090021
Pink,50-75,Calm,-0.3206,3.1153,84,31,0.4167,0.8501624437800924
Pink,50-75,Moderate,-0.1148,2.4788,51,18,0.5294,0.637628985410713
Pink,50-75,Tough,-0.4572,,1,1,0.0,
Pink,75-100,Calm,0.4742,2.1001,15,8,0.6,0.33339263060072827
Pink,75-100,Moderate,-3.8833,,1,1,0.0,
Purple,0-25,Calm,-2.3027,3.3492,15,9,0.3333,0.007124385310361265
Purple,0-25,Moderate,0.9933,3.065,9,5,0.6667,0.36056128734815135
Purple,25-50,Calm,-0.3596,3.0157,2812,329,0.4211,0.07898496767430972
Purple,25-50,Moderate,0.0472,2.9898,1220,226,0.4721,0.6858417083867343
Purple,25-50,Tough,0.4621,2.6333,118,65,0.5424,0.8746192830329846
Purple,50-75,Calm,-0.238,2.9542,5387,388,0.4531,0.598547587122987
Purple,50-75,Moderate,0.0679,2.9565,2919,358,0.4926,0.7998780594894802
Purple,50-75,Tough,0.6051,2.9707,418,159,0.6005,0.21639483465528275
Purple,75-100,Calm,-0.3484,2.9932,918,219,0.4248,0.36553672313705887
Purple,75-100,Moderate,-0.0375,2.947,589,181,0.4992,0.3337981257458371
Purple,75-100,Tough,0.8651,3.0924,19,13,0.4737,0.5032980940718677
Red,0-25,Calm,-2.7399,2.8197,3,2,0.0,
Red,0-25,Moderate,-0.2857,2.3483,3,2,0.3333,
Red,25-50,Calm,-0.2508,2.9303,572,114,0.4248,0.9408636080804611
Red,25-50,Moderate,0.368,3.3054,261,80,0.4943,0.12423293221498292
Red,25-50,Tough,0.4492,3.3635,16,8,0.5625,0.9672681943785653
Red,50-75,Calm,-0.0018,3.0146,1165,163,0.473,0.0029835154141639466
Red,50-75,Moderate,0.1659,3.1265,607,137,0.4942,0.4955431333835526
Red,50-75,Tough,1.0371,2.8698,59,30,0.6102,0.1039839081425503
Red,75-100,Calm,0.115,3.1787,208,73,0.4615,0.06629415246850529
Red,75-100,Moderate,-0.2377,3.2266,88,35,0.3409,0.31555509472953114
Red,75-100,Tough,1.1294,0.5774,3,3,1.0,
Yellow,0-25,Calm,-0.4493,3.1508,31,17,0.5484,0.7200318293037249
Yellow,0-25,Moderate,0.0323,3.1882,38,17,0.5526,0.9176968541511209
Yellow,25-50,Calm,-0.2368,2.97,6551,410,0.4428,0.5429976321408331
Yellow,25-50,Moderate,0.183,2.9337,3469,367,0.5062,0.0578179416687743
Yellow,25-50,Tough,0.1527,2.65,308,128,0.5325,0.11849872224203277
Yellow,50-75,Calm,-0.2777,2.9408,14004,472,0.4419,0.5168967298258706
Yellow,50-75,Moderate,0.1035,2.9196,8563,452,0.4915,0.5558351413920078
Yellow,50-75,Tough,0.3517,2.7767,874,243,0.5389,0.5325894019178355
Yellow,75-100,Calm,-0.2731,2.9426,2424,315,0.4233,0.8296275581163163
Yellow,75-100,Moderate,0.1933,3.1994,1495,298,0.501,0.16104335164588465
Yellow,75-100,Tough,0.7204,2.5547,105,57,0.5905,0.29219736669858765
