color,upside_bucket,condition,mean_vs_avg,std,n,unique_players,beat_field,p_value
Blue,25-50,Calm,-0.0892,2.8301,700,212,0.48,0.12620818280804053
Blue,25-50,Moderate,0.3755,3.199,490,166,0.5061,0.03121162999390688
Blue,25-50,Tough,0.9429,2.8469,43,30,0.6047,0.23829533187111185
Blue,50-75,Calm,-0.2935,2.914,7360,413,0.4357,0.3530995247749199
Blue,50-75,Moderate,-0.0136,2.9911,4120,400,0.4772,0.05050015998637011
Blue,50-75,Tough,0.6822,3.2279,322,140,0.5839,0.1227850316913732
Blue,75-100,Calm,-0.0895,2.8645,4351,373,0.4594,0.00020898005604406343
Blue,75-100,Moderate,0.2451,3.0569,2569,347,0.513,0.007756576339072988
Blue,75-100,Tough,0.6117,2.955,242,114,0.5785,0.31833253886529456
Brown,25-50,Calm,1.2118,3.839,7,4,0.5714,0.185322700092593
Brown,25-50,Moderate,2.4422,2.1213,2,2,1.0,
Brown,50-75,Calm,-0.4112,2.6095,78,23,0.4103,0.6496497832010563
Brown,50-75,Moderate,-0.6016,3.3229,37,16,0.3514,0.16408720944766264
Brown,75-100,Calm,-0.2568,2.6323,20,5,0.55,0.9961817499772752
Brown,75-100,Moderate,-0.4593,4.1334,12,5,0.1667,0.5301870256866439
Brown,75-100,Tough,2.5428,,1,1,1.0,
Green,25-50,Calm,0.0313,2.7602,477,161,0.4696,0.03101203075263769
Green,25-50,Moderate,0.3355,2.7839,243,103,0.5267,0.18804371238345208
Green,25-50,Tough,0.4128,2.726,19,13,0.5789,0.9919969314526874
Green,50-75,Calm,-0.3261,2.8899,5444,398,0.4243,0.11028670479511175
Green,50-75,Moderate,0.0166,3.0807,2690,349,0.4918,0.271358527936428
Green,50-75,Tough,0.5592,2.759,343,155,0.5743,0.39159762303397233
Green,75-100,Calm,-0.324,2.961,2144,316,0.4244,0.3213738714164067
Green,75-100,Moderate,0.1164,2.9914,1135,253,0.4899,0.7062143249332075
Green,75-100,Tough,-0.1578,3.1044,160,73,0.475,0.013934067137697419
Orange,25-50,Calm,-0.1395,2.9507,492,142,0.4614,0.365188385994014
Orange,25-50,Moderate,0.0091,3.0845,479,131,0.4906,0.5937145651198605
Orange,25-50,Tough,-0.316,3.2037,25,16,0.4,0.20574867304398953
Orange,50-75,Calm,-0.2868,2.9765,5593,329,0.4397,0.5129609558341479
Orange,50-75,Moderate,-0.0722,2.8739,3143,301,0.4642,0.00524671827255689
Orange,50-75,Tough,0.2622,3.0517,220,81,0.55,0.4357121874860141
Orange,75-100,Calm,-0.2954,2.9075,3266,291,0.4354,0.5014270580490989
Orange,75-100,Moderate,0.0185,3.0545,2017,268,0.5007,0.3500878485269238
Orange,75-100,Tough,-0.0771,2.9738,173,72,0.4798,0.02780285103940229
Pink,25-50,Calm,-0.5667,2.8713,29,21,0.3448,0.5741982381519712
Pink,25-50,Moderate,0.1788,3.0587,22,11,0.5909,0.8798171420339782
Pink,50-75,Calm,-0.2329,3.0538,246,47,0.4187,0.8854743623710808
Pink,50-75,Moderate,-0.112,2.9487,129,42,0.4806,0.4608020337766096
Pink,50-75,Tough,2.2583,3.0593,10,5,0.6,0.04484225430241031
Pink,75-100,Calm,-0.4211,3.0499,88,30,0.375,0.6074817464928228
Pink,75-100,Moderate,-0.5074,2.3178,50,19,0.34,0.16302374613962253
Pink,75-100,Tough,-0.6819,2.6544,10,4,0.5,0.22925867092814767
Purple,25-50,Calm,-0.3852,3.1634,504,153,0.3869,0.34112534761642926
Purple,25-50,Moderate,0.1221,2.8373,208,92,0.4856,0.8487043714508545
Purple,25-50,Tough,0.3222,2.7859,43,25,0.5814,0.826476927755291
Purple,50-75,Calm,-0.2866,2.993,6203,402,0.4437,0.49684359547300044
Purple,50-75,Moderate,-0.0143,2.9208,3265,367,0.4824,0.07576325749646055
Purple,50-75,Tough,0.6857,2.9075,329,147,0.5897,0.11082528335441538
Purple,75-100,Calm,-0.2787,2.9038,2425,313,0.4425,0.7575744215493653
Purple,75-100,Moderate,0.2089,3.0874,1264,263,0.5047,0.13959144470237933
Purple,75-100,Tough,0.4616,2.927,183,77,0.5738,0.8479300887425958
Red,25-50,Calm,0.4408,2.484,44,21,0.6591,0.11388712998819167
Red,25-50,Moderate,1.2643,3.9766,16,12,0.5625,0.11380594382163862
Red,25-50,Tough,0.5428,,1,1,1.0,
Red,50-75,Calm,0.0087,3.07,1393,178,0.4716,0.0007457949250179662
Red,50-75,Moderate,0.075,3.1632,652,143,0.4632,0.9499162240356475
Red,50-75,Tough,0.5278,2.7143,46,27,0.587,0.8006731550669528
Red,75-100,Calm,-0.3159,2.8716,511,107,0.3992,0.6681434665399627
Red,75-100,Moderate,0.3636,3.1731,291,75,0.512,0.11005716734197009
Red,75-100,Tough,1.5142,3.177,31,12,0.6452,0.03617388366173618
Yellow,25-50,Calm,-0.5202,2.9681,1365,311,0.4029,0.001211908505962402
Yellow,25-50,Moderate,0.2473,2.8671,1033,258,0.5237,0.07998566865776856
Yellow,25-50,Tough,0.3273,2.9393,64,40,0.4688,0.8007402493663764
Yellow,50-75,Calm,-0.2693,2.9416,14175,471,0.4392,0.731076873692378
Yellow,50-75,Moderate,0.1452,2.9495,8261,453,0.4966,0.0841429565908794
Yellow,50-75,Tough,0.2023,2.6459,660,212,0.5273,0.07317059794257529
Yellow,75-100,Calm,-0.2126,2.9588,7470,417,0.4495,0.1877465668067983
Yellow,75-100,Moderate,0.0834,2.9892,4271,393,0.4898,0.983617342880065
Yellow,75-100,Tough,0.4896,2.8009,563,204,0.5666,0.592105585886298
