color,exec_bucket,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Blue,0-25,Closing,-1.624,1.4333,8,5,0.125,0.12275050154718299
Blue,0-25,Open,-0.4499,4.2208,16,10,0.375,0.778624670051411
Blue,0-25,Positioning,4.0879,0.2328,4,2,1.0,
Blue,0-25,REMOVE,-2.303,0.5774,4,2,0.0,
Blue,0-25,Survival,-0.3495,2.243,9,7,0.5556,0.8209389632961351
Blue,25-50,Closing,0.1946,2.9204,1213,260,0.5045,0.005485351530434793
Blue,25-50,Elimination,0.506,2.6648,70,39,0.6,0.33333719804544015
Blue,25-50,Mixed,-0.205,3.8133,149,73,0.5034,0.5361505636469156
Blue,25-50,Open,-0.2322,3.0039,2182,316,0.434,0.9106216549315866
Blue,25-50,Positioning,0.0982,2.8556,1265,255,0.5028,0.14273628554051726
Blue,25-50,REMOVE,0.0249,2.6922,352,123,0.4489,0.8002388190983993
Blue,25-50,Survival,-0.2116,3.0178,1830,328,0.4497,0.217490907887435
Blue,50-75,Closing,0.0111,2.9538,1911,296,0.4778,0.42940168391976385
Blue,50-75,Elimination,0.276,2.5415,94,44,0.5213,0.7196321125606123
Blue,50-75,Mixed,-0.3889,3.1937,233,117,0.3734,0.11874610732980691
Blue,50-75,Open,-0.1515,2.8913,3371,388,0.4574,0.10228765244514558
Blue,50-75,Positioning,-0.0263,2.8197,1902,305,0.4953,0.9552102037404325
Blue,50-75,REMOVE,0.0563,2.8827,594,180,0.4933,0.5668595972739833
Blue,50-75,Survival,-0.0693,3.1002,2916,399,0.4684,0.3753549693910177
Blue,75-100,Closing,0.0567,2.8731,401,134,0.4713,0.49047326807095293
Blue,75-100,Elimination,-0.9805,2.8735,21,10,0.2857,0.06694217705260747
Blue,75-100,Mixed,0.0758,3.9026,41,23,0.4878,0.8515137071203351
Blue,75-100,Open,-0.1658,2.818,700,204,0.4257,0.5179930995969809
Blue,75-100,Positioning,0.1143,3.0194,373,125,0.504,0.3562211175909334
Blue,75-100,REMOVE,0.229,2.9918,172,76,0.4709,0.27468499970842886
Blue,75-100,Survival,-0.2151,2.8878,399,160,0.4236,0.5389785742917084
Brown,0-25,Closing,-1.2543,,1,1,0.0,
Brown,25-50,Closing,0.3993,2.1375,19,11,0.5263,0.5046230132976799
Brown,25-50,Open,0.1096,2.4389,25,13,0.44,0.5594120619318591
Brown,25-50,Positioning,1.9433,3.8641,8,5,0.625,0.0496047712100966
Brown,25-50,REMOVE,0.897,2.4967,10,6,0.8,0.3172917310652398
Brown,25-50,Survival,-1.2363,2.0404,6,3,0.1667,0.36598909821712416
Brown,50-75,Closing,-1.0696,2.0654,10,4,0.4,0.2627187677165678
Brown,50-75,Mixed,-3.9753,0.5164,6,3,0.0,0.004794900268423158
