color,upside_bucket,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Blue,25-50,Closing,0.1259,2.9798,226,103,0.5177,0.3805225464115878
Blue,25-50,Elimination,-0.4365,2.3684,8,5,0.25,0.5479495058859436
Blue,25-50,Mixed,-0.1517,2.8274,13,12,0.5385,0.8944755409356239
Blue,25-50,Open,0.1132,2.8463,326,148,0.4847,0.033963335136100344
Blue,25-50,Positioning,0.3493,3.0767,259,115,0.5174,0.03607970621234735
Blue,25-50,REMOVE,-0.3428,2.7395,41,24,0.4634,0.4680847582869095
Blue,25-50,Survival,0.0716,3.1222,360,140,0.4806,0.22809535955604698
Blue,50-75,Closing,-0.0476,2.8797,2054,298,0.4654,0.9576138142390678
Blue,50-75,Elimination,0.2624,2.761,128,56,0.5078,0.7205838509534439
Blue,50-75,Mixed,-0.5826,3.6253,246,119,0.4268,0.015269747097848277
Blue,50-75,Open,-0.3272,2.9482,3635,381,0.4231,0.09346913215540617
Blue,50-75,Positioning,-0.0501,2.8382,2032,306,0.4941,0.6768161672522561
Blue,50-75,REMOVE,0.0533,2.7933,690,181,0.4551,0.5556558959113455
Blue,50-75,Survival,-0.1698,3.0652,3036,392,0.4592,0.4053098253691287
Blue,75-100,Closing,0.2685,2.9997,1253,256,0.5124,0.00022851933293407804
Blue,75-100,Elimination,0.2178,2.4197,49,30,0.6122,0.9008456813304662
Blue,75-100,Mixed,0.1662,3.2908,164,80,0.4268,0.4863710865763995
Blue,75-100,Open,0.0052,2.8905,2308,334,0.4753,0.00013990468589114948
Blue,75-100,Positioning,0.1153,2.8321,1253,269,0.5044,0.09555549108030091
Blue,75-100,REMOVE,0.1269,2.9293,391,139,0.509,0.3474686201559118
Blue,75-100,Survival,-0.1072,3.02,1758,330,0.4528,0.8463107444021712
Brown,25-50,Closing,1.2101,2.6086,3,3,0.6667,
Brown,25-50,Positioning,1.6228,4.0332,6,3,0.6667,0.15465486726547945
Brown,50-75,Closing,-0.3192,2.2585,23,9,0.4348,0.6487405995753689
Brown,50-75,Mixed,-3.9753,0.5164,6,3,0.0,0.004794900268423158
Brown,50-75,Open,-0.5212,3.1689,36,18,0.3611,0.5724287594135667
Brown,50-75,Positioning,-1.331,3.0529,10,6,0.1,0.14393873301376592
Brown,50-75,REMOVE,0.8553,2.2495,13,7,0.7692,0.2765885307586758
Brown,50-75,Survival,-0.0811,2.8041,27,13,0.4074,0.9445073206493687
Brown,75-100,Closing,-0.1636,1.1547,4,2,0.5,
Brown,75-100,Open,-0.5366,3.0336,8,4,0.5,0.7788509797766522
Brown,75-100,Positioning,1.567,1.8769,4,2,0.75,
Brown,75-100,REMOVE,-1.5008,2.5093,6,3,0.3333,0.20692381429665685
Brown,75-100,Survival,-0.0383,4.4008,11,5,0.2727,0.9271251059018931
Green,25-50,Closing,0.7938,2.9959,152,75,0.6513,0.00038358632467152593
Green,25-50,Elimination,-3.0647,0.0,2,1,0.0,
Green,25-50,Mixed,-0.2281,2.9054,29,18,0.4138,0.7509848884313741
Green,25-50,Open,-0.1324,2.814,200,100,0.43,0.6131010660400568
Green,25-50,Positioning,0.0304,2.6894,124,66,0.5323,0.8357413729879002
Green,25-50,REMOVE,0.4107,2.4309,42,22,0.5238,0.33965824357125984
Green,25-50,Survival,0.0098,2.5622,190,89,0.4105,0.5498008227304839
Green,50-75,Closing,-0.1564,2.7826,1408,278,0.4602,0.159707939558967
Green,50-75,Elimination,0.2658,2.5186,63,35,0.5397,0.7867598443436175
Green,50-75,Mixed,-0.4101,3.1508,219,103,0.3927,0.10832446894987056
Green,50-75,Open,-0.2601,3.0419,2727,360,0.4389,0.7317220102931775
Green,50-75,Positioning,-0.0987,2.8824,1426,273,0.4607,0.3282683987034858
Green,50-75,REMOVE,0.1074,2.8171,410,135,0.5098,0.40581009609713553
Green,50-75,Survival,-0.2017,3.0158,2233,351,0.4492,0.2284545591645635
Green,75-100,Closing,-0.1487,2.8719,575,190,0.4696,0.3936669453666565
Green,75-100,Elimination,-0.3882,1.8541,26,14,0.3846,0.32091231665057146
Green,75-100,Mixed,0.348,3.5721,113,59,0.5044,0.25756536760036924
Green,75-100,Open,-0.2357,3.15,1011,256,0.4204,0.9669367153738051
Green,75-100,Positioning,-0.0867,2.8094,616,191,0.4935,0.5795784505786065
Green,75-100,REMOVE,-0.1912,3.2289,171,81,0.3977,0.4333533446379569
Green,75-100,Survival,-0.223,2.8784,931,238,0.4393,0.31314688227703386
Orange,25-50,Closing,0.0938,3.2572,185,79,0.4811,0.5199177756786235
Orange,25-50,Elimination,0.4378,1.4926,10,6,0.6,0.761966939862592
Orange,25-50,Mixed,-0.8648,2.6762,21,17,0.2857,0.26291439623847696
Orange,25-50,Open,-0.4095,3.1587,305,119,0.4131,0.3238503537473395
Orange,25-50,Positioning,0.0502,2.936,190,72,0.5421,0.7247631821453898
Orange,25-50,REMOVE,-0.694,2.6872,52,27,0.4423,0.0907625471557825
Orange,25-50,Survival,0.3248,2.797,233,96,0.5107,0.024590107872370568
Orange,50-75,Closing,-0.2092,2.7746,1500,229,0.4727,0.03323739090053996
Orange,50-75,Elimination,-0.4318,2.8376,89,41,0.2921,0.058729874082174116
Orange,50-75,Mixed,-0.2334,3.6344,226,92,0.4779,0.38351265807087015
Orange,50-75,Open,-0.2953,2.9292,2802,295,0.4208,0.3435398452610032
Orange,50-75,Positioning,-0.0293,2.8252,1526,236,0.4692,0.9279009509930597
Orange,50-75,REMOVE,-0.1947,3.1328,504,143,0.4544,0.1842781922906439
Orange,50-75,Survival,-0.1739,3.0307,2321,289,0.4632,0.42312321656015467
Orange,75-100,Closing,-0.1606,2.8474,939,203,0.4814,0.22872611562859346
Orange,75-100,Elimination,-0.598,2.7922,49,27,0.4286,0.06634757438822775
Orange,75-100,Mixed,0.2789,3.9923,141,65,0.4823,0.3086916930811619
Orange,75-100,Open,-0.3602,2.9452,1649,263,0.4263,0.11012417480161726
Orange,75-100,Positioning,-0.1776,2.9564,966,204,0.4741,0.09790833639127354
Orange,75-100,REMOVE,0.196,2.806,340,107,0.4941,0.18960838220508947
Orange,75-100,Survival,-0.0589,3.0061,1382,245,0.4725,0.4515769126452584
Pink,25-50,Closing,1.1227,1.4697,25,20,0.64,0.04396161407825783
Pink,25-50,Open,-1.4526,4.0429,11,8,0.3636,0.17871904900873659
Pink,25-50,Positioning,-2.0577,1.9992,10,7,0.1,0.023023878340976817
Pink,25-50,REMOVE,2.9172,,1,1,1.0,
Pink,25-50,Survival,-1.7328,4.7778,4,2,0.25,
Pink,50-75,Closing,0.0819,3.344,60,29,0.4667,0.7367177063938605
Pink,50-75,Elimination,-0.0647,2.0,4,2,0.75,
Pink,50-75,Mixed,0.4081,2.1905,17,8,0.5294,0.6025307087759556
Pink,50-75,Open,-0.0484,3.1023,107,35,0.4579,0.5091075743877795
Pink,50-75,Positioning,0.1288,3.2677,69,28,0.4203,0.657912924785835
Pink,50-75,REMOVE,-0.5328,2.4638,39,22,0.359,0.2632836159408808
Pink,50-75,Survival,-0.4908,2.9873,89,29,0.4382,0.24962563438324198
Pink,75-100,Closing,0.0108,2.4446,21,14,0.4286,0.9308821794853553
Pink,75-100,Mixed,-0.3843,4.127,6,4,0.5,0.7978572846919523
Pink,75-100,Open,-0.6057,2.9157,61,22,0.3443,0.3395482522798795
Pink,75-100,Positioning,-0.5879,2.6407,22,10,0.5,0.3491010835511093
Pink,75-100,REMOVE,-0.7547,2.06,13,8,0.2308,0.3551481739464895
Pink,75-100,Survival,-0.2988,3.0027,25,9,0.32,0.7693706958512002
Purple,25-50,Closing,-0.4984,3.1664,114,58,0.4123,0.09511710835364998
Purple,25-50,Mixed,0.0189,3.6247,23,19,0.4783,0.9507778434461748
Purple,25-50,Open,-0.1594,3.2086,234,102,0.3846,0.6828808150154538
Purple,25-50,Positioning,-0.0241,2.6558,128,58,0.5,0.9948862411259495
Purple,25-50,REMOVE,-0.5796,2.9648,76,37,0.3684,0.09012996015058976
Purple,25-50,Survival,-0.0782,3.0557,180,88,0.45,0.8475121578214311
Purple,50-75,Closing,-0.2816,2.8321,1606,271,0.4396,0.0016012189100330992
Purple,50-75,Elimination,0.2526,3.1481,80,38,0.5,0.7971023907306154
Purple,50-75,Mixed,0.0725,3.6444,257,117,0.4747,0.6637626023343942
Purple,50-75,Open,-0.2597,3.0163,3230,385,0.4325,0.7160974265885259
Purple,50-75,Positioning,0.0235,2.8565,1811,296,0.5091,0.5094154841709628
Purple,50-75,REMOVE,0.1956,2.6615,471,152,0.5138,0.12588942246146795
Purple,50-75,Survival,-0.2104,3.0545,2346,360,0.4655,0.17242731084581334
Purple,75-100,Closing,0.0133,2.9129,678,186,0.5177,0.612490923541083
Purple,75-100,Elimination,0.0176,1.6344,19,12,0.4211,0.8193313199140702
Purple,75-100,Mixed,0.0992,3.7669,147,74,0.4422,0.669683351343312
Purple,75-100,Open,-0.2337,2.9346,1193,269,0.4484,0.9468763608258425
Purple,75-100,Positioning,0.0318,2.7907,690,194,0.4884,0.6207532246062447
Purple,75-100,REMOVE,0.1589,2.6339,169,67,0.4675,0.4384402264521376
Purple,75-100,Survival,-0.122,3.1309,978,248,0.4519,0.9964480108646083
Red,25-50,Closing,1.8396,4.3577,10,7,0.5,0.03977938473907573
Red,25-50,Open,0.5011,2.1131,5,3,0.4,0.5797450421778425
Red,25-50,Positioning,0.5312,1.5735,25,12,0.72,0.3281343087805329
Red,25-50,REMOVE,-2.9204,6.364,2,2,0.5,
Red,25-50,Survival,0.6225,3.177,19,14,0.6842,0.2830798943597407
Red,50-75,Closing,0.3323,2.7045,326,96,0.5184,0.019885459436382646
Red,50-75,Elimination,1.5902,2.2748,24,14,0.875,0.014757981190082365
Red,50-75,Mixed,0.3774,3.7567,53,28,0.4717,0.3978002792468146
Red,50-75,Open,-0.0045,3.3066,684,146,0.4298,0.042359271064771914
Red,50-75,Positioning,-0.0924,2.7994,358,90,0.486,0.6438137668486705
Red,50-75,REMOVE,0.5493,2.6572,104,47,0.6058,0.04765506458142951
Red,50-75,Survival,-0.1884,3.2176,542,136,0.4428,0.6107105377295005
Red,75-100,Closing,0.3586,3.2856,150,49,0.5,0.09020539834701476
Red,75-100,Elimination,0.9353,2.0,4,4,0.75,
Red,75-100,Mixed,0.7758,3.3349,42,21,0.5238,0.13269353171898626
Red,75-100,Open,-0.3035,2.7578,177,59,0.3672,0.7769012273812129
Red,75-100,Positioning,0.3579,3.2634,138,44,0.5,0.11619809833919822
Red,75-100,REMOVE,-0.6621,2.6687,93,49,0.3226,0.03167195217157303
Red,75-100,Survival,-0.1437,2.9109,229,75,0.476,0.9121121279269118
Yellow,25-50,Closing,-0.091,2.7643,573,194,0.5079,0.7019632630746627
Yellow,25-50,Elimination,-0.1507,3.7285,17,10,0.1765,0.6496677837501489
Yellow,25-50,Mixed,0.1747,2.7169,64,44,0.4531,0.6429343731187965
Yellow,25-50,Open,-0.2051,2.9238,616,231,0.4464,0.7766873435193862
Yellow,25-50,Positioning,-0.2141,2.9559,435,176,0.4299,0.16356980709830055
Yellow,25-50,REMOVE,-0.0667,3.6448,72,42,0.4444,0.8805120462713018
Yellow,25-50,Survival,-0.2421,3.0443,685,211,0.4438,0.30251071712073646
Yellow,50-75,Closing,-0.0152,2.9209,4012,357,0.4816,0.568042348640751
Yellow,50-75,Elimination,0.1832,3.2049,151,58,0.3974,0.9478019439512062
Yellow,50-75,Mixed,0.025,3.2903,454,169,0.4163,0.7708778145697313
Yellow,50-75,Open,-0.2351,2.9833,7299,451,0.4347,0.9073236341101838
Yellow,50-75,Positioning,-0.1011,2.8135,3891,363,0.4752,0.11565667832834368
Yellow,50-75,REMOVE,-0.1181,2.8262,1074,223,0.4693,0.2830373062886186
Yellow,50-75,Survival,-0.0349,2.9715,6243,452,0.478,0.04043912426276896
Yellow,75-100,Closing,-0.0115,2.963,2103,311,0.4945,0.6260808337736101
Yellow,75-100,Elimination,0.9209,2.7727,73,38,0.589,0.029073856337280473
Yellow,75-100,Mixed,0.1242,3.1441,403,156,0.4318,0.40939848780470206
Yellow,75-100,Open,-0.2568,3.0278,3799,398,0.4414,0.7380802560645118
