color,exec_bucket,wu_xing,mean_vs_avg,std,n,unique_players,beat_field,p_value
Blue,0-25,Earth,-1.626,2.7609,17,5,0.1765,0.04066407941542344
Blue,0-25,Fire,-0.0366,1.8165,12,6,0.5,0.9406300322344932
Blue,0-25,Metal,-0.6793,2.2204,5,4,0.4,0.6273485141093643
Blue,0-25,Water,7.6557,0.0,2,1,1.0,
Blue,0-25,Wood,-0.0059,4.8487,5,3,0.6,0.9433089480749831
Blue,25-50,Earth,-0.0587,2.9776,1477,79,0.4834,0.12807746391235833
Blue,25-50,Fire,-0.1029,2.9974,1893,97,0.4527,0.9758126853646445
Blue,25-50,Metal,0.091,3.1039,1339,89,0.4951,0.17105972713305484
Blue,25-50,Water,-0.305,2.8104,1202,77,0.4368,0.22124557136522757
Blue,25-50,Wood,-0.0453,2.8829,1136,72,0.4613,0.5467385407882969
Blue,50-75,Earth,-0.1477,2.8539,2293,89,0.4645,0.6335609625806488
Blue,50-75,Fire,-0.0841,2.989,2700,103,0.4752,0.7826691414780561
Blue,50-75,Metal,0.0723,3.0555,2203,104,0.4857,0.1481320115198966
Blue,50-75,Water,-0.1205,2.8766,2069,81,0.4664,0.24660456119636315
Blue,50-75,Wood,-0.0744,2.9657,1717,78,0.4595,0.7353557196717915
Blue,75-100,Earth,-0.135,2.8011,432,58,0.4745,0.7604693072039782
Blue,75-100,Fire,-0.2934,2.9107,593,68,0.4199,0.12009071642886672
Blue,75-100,Metal,0.3654,2.9265,323,53,0.4675,0.02050933660143841
Blue,75-100,Water,0.0343,2.7435,431,56,0.4594,0.10201173709484854
Blue,75-100,Wood,0.0505,3.2305,317,54,0.4637,0.36935674656832834
Brown,0-25,Metal,-1.2543,,1,1,0.0,
Brown,25-50,Earth,0.2929,2.8287,19,8,0.5789,0.4813668731298965
Brown,25-50,Fire,-0.0427,1.9755,10,7,0.5,0.9509821983487562
Brown,25-50,Metal,0.6493,2.825,15,3,0.4667,0.3852979723073532
Brown,25-50,Water,0.5607,2.6199,13,5,0.5385,0.35037445366831393
Brown,25-50,Wood,0.478,2.6338,11,2,0.4545,0.5154324114443479
Brown,50-75,Earth,0.2876,3.1436,9,3,0.5556,0.631763645180914
Brown,50-75,Fire,-0.5166,2.5574,12,4,0.4167,0.6295124723665702
Brown,50-75,Metal,-1.0704,3.377,28,8,0.3571,0.06655526500994362
Brown,50-75,Water,-0.0795,3.7896,16,4,0.375,0.8708112306734178
Brown,50-75,Wood,-1.8369,2.8153,20,4,0.2,0.00837396278610018
Brown,75-100,Metal,-0.1475,,1,1,0.0,
Brown,75-100,Wood,-1.7521,0.0,2,1,0.0,
Green,0-25,Earth,0.3864,2.9205,6,1,0.6667,0.6352428988984238
Green,0-25,Fire,-0.2142,2.9425,9,4,0.5556,0.909301351835862
Green,0-25,Water,-0.8505,1.3252,4,2,0.5,
Green,25-50,Earth,-0.1795,2.8057,690,68,0.4449,0.9909617134478309
Green,25-50,Fire,-0.2215,2.8287,930,90,0.4473,0.2247900750169247
Green,25-50,Metal,0.2783,3.0554,641,75,0.5117,0.011938189410865028
Green,25-50,Water,-0.5431,2.94,735,66,0.4068,0.0017603258967642905
Green,25-50,Wood,0.0706,3.0564,602,64,0.4817,0.16414150439329675
Green,50-75,Earth,-0.4167,2.9099,1679,85,0.4223,0.0012480369059483729
Green,50-75,Fire,-0.0141,3.0838,1827,102,0.4806,0.23118954717037712
Green,50-75,Metal,-0.1514,3.0312,1559,93,0.4516,0.11294769878472186
Green,50-75,Water,-0.1893,2.8504,1504,76,0.4309,0.9032391390405351
Green,50-75,Wood,-0.3133,2.8567,1205,70,0.4282,0.014766534927498956
Green,75-100,Earth,0.0633,3.0804,250,52,0.484,0.19314003873640462
Green,75-100,Fire,0.0259,2.8227,313,67,0.5016,0.4553672700976275
Green,75-100,Metal,-0.0519,3.0913,237,56,0.4641,0.8943049444957903
Green,75-100,Water,-0.1167,2.858,218,46,0.5,0.6807507512246339
Green,75-100,Wood,0.3664,2.989,223,44,0.5202,0.01893279105173167
Orange,0-25,Earth,-0.3852,3.4627,29,16,0.4138,0.7024562590790153
Orange,0-25,Fire,0.153,2.8253,35,14,0.5429,0.6152537643436098
Orange,0-25,Metal,1.6486,3.3796,8,6,0.75,0.11577257089284361
Orange,0-25,Water,-0.3117,3.3475,30,12,0.4333,0.8330312771672639
Orange,0-25,Wood,-2.0989,3.1887,16,7,0.125,0.006651939084567289
Orange,25-50,Earth,-0.2332,2.8397,1648,74,0.4502,0.4595160483036973
Orange,25-50,Fire,-0.3072,2.9424,1585,83,0.4505,0.0074903778862514345
Orange,25-50,Metal,-0.0751,2.9947,1494,85,0.4632,0.5410775971285112
Orange,25-50,Water,-0.308,2.8829,1450,73,0.4221,0.16981084047553685
Orange,25-50,Wood,-0.2799,2.8875,1265,54,0.4387,0.03551967437798476
Orange,50-75,Earth,-0.2499,2.9111,1213,67,0.4518,0.4044613509700979
Orange,50-75,Fire,-0.2096,3.116,1441,77,0.4511,0.17894947976281927
Orange,50-75,Metal,-0.1789,2.9773,1424,79,0.4677,0.06360050271651561
Orange,50-75,Water,-0.1143,2.9742,1429,80,0.4703,0.29264413485381374
Orange,50-75,Wood,-0.2062,2.9111,979,53,0.4545,0.27080455368225814
Orange,75-100,Earth,0.7107,3.018,287,30,0.5784,2.9376633194274036e-07
Orange,75-100,Fire,-0.2216,2.821,327,35,0.4404,0.466786922391493
Orange,75-100,Metal,0.0823,3.1872,226,26,0.4823,0.5920599899496974
Orange,75-100,Water,0.0732,3.1486,268,35,0.4739,0.1317851824271291
Orange,75-100,Wood,0.2856,2.7725,139,19,0.446,0.12437519293669012
Pink,0-25,Earth,1.9785,2.5553,13,6,0.6923,0.0076629151514533336
Pink,0-25,Fire,1.8927,1.3441,2,2,1.0,
Pink,0-25,Metal,2.1905,2.8429,7,5,0.8571,0.051477712461221146
Pink,0-25,Water,-0.2977,2.4143,21,11,0.381,0.877102553446441
Pink,0-25,Wood,-0.9397,2.2712,10,5,0.5,0.36709115992910396
Pink,25-50,Earth,-0.4478,3.0907,49,11,0.3469,0.51800101537165
Pink,25-50,Fire,-0.4307,3.1973,89,9,0.4045,0.2980202677581607
Pink,25-50,Metal,-0.2213,2.9756,62,13,0.4194,0.6094742104685147
Pink,25-50,Water,-0.5942,2.7906,77,18,0.3377,0.23729906436515355
Pink,25-50,Wood,-0.1012,3.1625,102,13,0.4216,0.9955692006754481
Pink,50-75,Earth,-0.0441,3.6885,12,7,0.6667,0.8734691653604653
Pink,50-75,Fire,-0.3091,2.9168,28,6,0.3571,0.7121048817904456
Pink,50-75,Metal,-0.5781,2.6371,24,6,0.5,0.3689147561966067
Pink,50-75,Water,0.6837,2.9992,33,11,0.6061,0.08401579984656755
Pink,50-75,Wood,-0.6448,2.508,35,5,0.3143,0.2737994230941572
Pink,75-100,Fire,-1.9346,1.3093,4,2,0.0,
Pink,75-100,Metal,-0.3996,2.13,3,2,0.6667,
Pink,75-100,Water,0.2117,2.2076,4,2,0.5,
Pink,75-100,Wood,3.588,1.5605,2,2,1.0,
Purple,0-25,Fire,0.4374,3.1621,9,5,0.6667,0.5887059710261083
Purple,0-25,Metal,1.0219,1.4272,3,2,0.6667,
Purple,0-25,Water,-3.3454,3.0163,11,5,0.1818,0.00037284563748843217
Purple,0-25,Wood,4.196,,1,1,1.0,
Purple,25-50,Earth,-0.3018,2.9128,839,68,0.4207,0.22839598658055427
Purple,25-50,Fire,-0.2513,2.9902,1028,83,0.4514,0.11291846532384213
Purple,25-50,Metal,-0.1735,2.8223,782,73,0.4425,0.17733569288332524
Purple,25-50,Water,-0.2529,3.2627,822,67,0.4331,0.605654090628651
Purple,25-50,Wood,-0.1519,2.9766,661,59,0.4357,0.654742913494825
Purple,50-75,Earth,-0.1727,2.9272,1856,84,0.4838,0.9376877714698331
Purple,50-75,Fire,-0.0838,3.0047,2139,97,0.468,0.8007048552004997
Purple,50-75,Metal,0.0549,3.0466,1721,91,0.4962,0.287487045938011
Purple,50-75,Water,-0.1449,2.9418,1655,80,0.4634,0.4722436898025476
Purple,50-75,Wood,-0.1493,2.8656,1328,78,0.448,0.5529147941983592
Purple,75-100,Earth,-0.6276,2.9833,344,51,0.3808,0.004578324746988473
Purple,75-100,Fire,-0.0451,2.8893,365,67,0.4795,0.723156354693325
Purple,75-100,Metal,-0.18,2.9271,290,47,0.4621,0.3861238756161848
Purple,75-100,Water,-0.4031,3.1473,243,47,0.4444,0.2804550724626753
Purple,75-100,Wood,0.2458,2.9199,276,43,0.5145,0.05326076543413547
Red,0-25,Fire,-2.4118,2.9737,3,2,0.0,
Red,0-25,Metal,-0.6137,2.5912,3,1,0.3333,
Red,25-50,Earth,-0.2598,2.8407,115,24,0.4783,0.7644865261927827
Red,25-50,Fire,0.316,3.1062,245,34,0.4653,0.02971920355472689
Red,25-50,Metal,0.2098,3.2907,193,33,0.4767,0.2798724203456716
Red,25-50,Water,-0.3459,2.9262,176,27,0.4034,0.5074338516950806
Red,25-50,Wood,-0.5914,2.9783,117,21,0.4103,0.0718619260914957
Red,50-75,Earth,0.1497,3.0193,321,46,0.4579,0.04557835812769988
Red,50-75,Fire,0.1721,3.0212,469,42,0.5224,0.04981169509048546
Red,50-75,Metal,0.0903,3.4062,351,51,0.4644,0.475315790611609
Red,50-75,Water,-0.0125,2.6948,352,33,0.4773,0.23669728786281652
Red,50-75,Wood,0.0106,3.1039,337,28,0.4837,0.49696397189011376
Red,75-100,Earth,-0.6356,2.7965,72,21,0.3611,0.1837584803999335
Red,75-100,Fire,0.6478,3.5397,63,18,0.5397,0.04694463294921264
Red,75-100,Metal,-0.3169,2.6243,37,13,0.3784,0.5565750014499772
Red,75-100,Water,0.4417,3.1026,60,14,0.5,0.09112160808131832
Red,75-100,Wood,-0.0512,3.4608,67,14,0.3731,0.893255212276546
Yellow,0-25,Earth,0.4916,2.8335,22,5,0.5,0.28143586345732496
Yellow,0-25,Fire,-0.0941,3.6083,17,5,0.6471,0.9926039120156211
Yellow,0-25,Metal,1.854,1.1117,4,1,1.0,
Yellow,0-25,Water,-1.1516,2.4139,11,3,0.5455,0.28109339182300447
Yellow,0-25,Wood,-1.1109,3.6743,15,6,0.4,0.1838478469227387
Yellow,25-50,Earth,-0.1943,2.8452,2186,86,0.4643,0.8052490396592346
Yellow,25-50,Fire,0.0032,3.0225,2783,103,0.4678,0.0812257753486447
Yellow,25-50,Metal,-0.0741,2.9154,1669,92,0.4691,0.5278885594753592
Yellow,25-50,Water,-0.1954,2.9907,2048,81,0.4604,0.9607688155686329
Yellow,25-50,Wood,0.0054,2.9562,1622,77,0.4704,0.17017125382688558
Yellow,50-75,Earth,-0.1212,2.9507,4773,101,0.4601,0.222917427047771
Yellow,50-75,Fire,-0.1002,2.9332,6059,109,0.4672,0.9891982514131192
Yellow,50-75,Metal,-0.0667,2.9641,4002,108,0.4698,0.43168352922372
Yellow,50-75,Water,-0.209,2.8889,4648,96,0.4507,0.8296513468151682
Yellow,50-75,Wood,-0.1031,2.9176,3909,85,0.4674,0.946527514098961
Yellow,75-100,Earth,-0.2762,2.9852,719,76,0.4117,0.37557537361391724
Yellow,75-100,Fire,-0.0243,3.0285,986,86,0.4726,0.42982907676331433
Yellow,75-100,Metal,-0.0538,2.9906,726,75,0.4697,0.8052655623373067
Yellow,75-100,Water,-0.1434,3.113,793,76,0.4351,0.6024030351023598
Yellow,75-100,Wood,0.0783,3.0771,772,64,0.4793,0.1014727089298289
