color,upside_bucket,wu_xing,mean_vs_avg,std,n,unique_players,beat_field,p_value
Blue,25-50,Earth,0.4728,3.0465,249,51,0.506,0.000463079562818126
Blue,25-50,Fire,-0.0471,3.0046,333,70,0.5165,0.7446114767829353
Blue,25-50,Metal,0.1438,2.9245,242,53,0.4876,0.3838127356881631
Blue,25-50,Water,-0.0277,2.9385,212,46,0.4528,0.3980409161648097
Blue,25-50,Wood,0.0785,2.9477,195,38,0.4923,0.4010785064313516
Blue,50-75,Earth,-0.2629,2.8525,2437,89,0.4612,0.1733081725354198
Blue,50-75,Fire,-0.2484,2.9953,3060,106,0.4379,0.009679612826204154
Blue,50-75,Metal,0.022,3.0606,2250,101,0.4773,0.47738062889174226
Blue,50-75,Water,-0.2185,2.8747,2222,88,0.4446,0.762489994026713
Blue,50-75,Wood,-0.0837,2.9647,1811,79,0.4583,0.8269336092419285
Blue,75-100,Earth,0.0075,2.9152,1533,83,0.4808,0.015977128693919877
Blue,75-100,Fire,0.0995,2.9411,1805,100,0.4892,0.005813645936580713
Blue,75-100,Metal,0.226,3.0831,1378,90,0.5036,0.002752709165702096
Blue,75-100,Water,-0.0743,2.7796,1270,73,0.4772,0.14107212310536518
Blue,75-100,Wood,-0.023,2.9728,1169,72,0.4594,0.390182244384971
Brown,25-50,Earth,1.5256,3.6908,7,4,0.7143,0.12213317269676625
Brown,25-50,Metal,1.344,3.6745,2,2,0.5,
Brown,50-75,Earth,-0.0971,2.7224,13,4,0.5385,0.9200937302771577
Brown,50-75,Fire,-0.3012,2.2709,22,8,0.4545,0.7528987314969321
Brown,50-75,Metal,-0.2936,3.4562,29,7,0.4483,0.6321288953454833
Brown,50-75,Water,-0.729,2.6541,22,5,0.2727,0.39645110566299047
Brown,50-75,Wood,-0.7551,2.9029,29,4,0.3103,0.2310953567811529
Brown,75-100,Earth,-0.1579,2.3355,8,3,0.5,0.9843236039362553
Brown,75-100,Metal,-1.1291,2.5975,14,3,0.2143,0.17034202486000805
