color,exec_bucket,condition,round_type,mean_vs_avg,std,n,unique_players,beat_field,p_value
Blue,0-25,Calm,Closing,-1.9403,2.068,4,3,0.25,
Blue,0-25,Calm,Open,-2.1686,2.7504,6,5,0.0,0.14020272224195487
Blue,0-25,Calm,Positioning,4.2895,0.0,2,1,1.0,
Blue,0-25,Calm,REMOVE,-2.303,0.5774,4,2,0.0,
Blue,0-25,Calm,Survival,-2.4707,2.5166,3,3,0.3333,
Blue,0-25,Moderate,Closing,-1.3078,0.5,4,3,0.0,
Blue,0-25,Moderate,Open,0.5813,4.7263,10,5,0.6,0.5168870829249962
Blue,0-25,Moderate,Positioning,3.8863,0.0,2,1,1.0,
Blue,0-25,Moderate,Survival,0.7111,1.2111,6,4,0.6667,0.5771058685276792
Blue,25-50,Calm,Closing,0.11,2.7824,697,208,0.5022,0.002568682678874447
Blue,25-50,Calm,Elimination,0.506,2.6648,70,39,0.6,0.33333719804544015
Blue,25-50,Calm,Mixed,-0.2051,3.8519,146,71,0.5068,0.6360339670449174
Blue,25-50,Calm,Open,-0.4425,2.9233,1370,275,0.4036,0.38635458455093624
Blue,25-50,Calm,Positioning,-0.1729,2.7135,803,213,0.4732,0.898061780417237
Blue,25-50,Calm,REMOVE,0.0017,2.8186,265,106,0.4642,0.2270386590949077
Blue,25-50,Calm,Survival,-0.2369,2.9494,1085,269,0.4369,0.7581142012235196
Blue,25-50,Moderate,Closing,0.202,3.068,481,175,0.4865,0.9582533147220874
Blue,25-50,Moderate,Mixed,-0.2023,0.5774,3,3,0.3333,
Blue,25-50,Moderate,Open,0.1389,3.1399,733,217,0.4898,0.13009104716456119
Blue,25-50,Moderate,Positioning,0.4394,3.0219,392,154,0.5357,0.1352927505031405
Blue,25-50,Moderate,REMOVE,0.0954,2.2773,87,40,0.4023,0.16575556958475235
Blue,25-50,Moderate,Survival,-0.2662,3.0738,683,220,0.4568,0.021076219845611713
Blue,25-50,Tough,Closing,1.7452,3.4066,30,18,0.7667,0.13206413850651202
Blue,25-50,Tough,Open,0.028,2.7016,75,48,0.44,0.629401085427613
Blue,25-50,Tough,Positioning,1.2296,3.0835,66,42,0.6364,0.03204492827993612
Blue,25-50,Tough,Survival,0.8933,3.4955,56,42,0.5893,0.49527102608863494
Blue,50-75,Calm,Closing,-0.1535,2.8399,1188,264,0.4571,0.40994750682876274
Blue,50-75,Calm,Elimination,0.276,2.5415,94,44,0.5213,0.7196321125606123
Blue,50-75,Calm,Mixed,-0.3816,3.2092,222,113,0.3739,0.18727422947821581
Blue,50-75,Calm,Open,-0.3068,2.861,1916,324,0.4332,0.3730860709619514
Blue,50-75,Calm,Positioning,-0.1659,2.7077,1248,255,0.4744,0.8092403040570958
Blue,50-75,Calm,REMOVE,-0.0996,2.7986,446,153,0.4821,0.40709603880038653
Blue,50-75,Calm,Survival,-0.1616,3.0753,1502,322,0.4494,0.1987145364826716
Blue,50-75,Moderate,Closing,0.1975,3.0881,662,219,0.503,0.9818731941385176
Blue,50-75,Moderate,Mixed,-0.5356,3.0,11,11,0.3636,0.14356990286461846
Blue,50-75,Moderate,Open,0.0587,2.9102,1340,310,0.4888,0.27989983034749366
Blue,50-75,Moderate,Positioning,0.2449,3.0098,553,201,0.5262,0.8014474667209854
Blue,50-75,Moderate,REMOVE,0.5258,3.085,148,72,0.527,0.9998114284349171
Blue,50-75,Moderate,Survival,-0.003,3.142,1358,331,0.4816,0.8572538861070144
Blue,50-75,Tough,Closing,1.198,3.3308,59,38,0.6102,0.4197897390949257
Blue,50-75,Tough,Open,0.017,3.0298,114,64,0.5,0.5914833713392972
Blue,50-75,Tough,Positioning,0.1949,3.0636,95,59,0.5789,0.3731833511879595
Blue,50-75,Tough,Survival,0.7839,2.5091,52,39,0.6538,0.6891500525372923
Blue,75-100,Calm,Closing,-0.2234,2.7051,249,103,0.4257,0.9922209783587166
Blue,75-100,Calm,Elimination,-0.9805,2.8735,21,10,0.2857,0.06694217705260747
Blue,75-100,Calm,Mixed,0.0758,3.9026,41,23,0.4878,0.7947917210489515
Blue,75-100,Calm,Open,-0.2465,2.8372,453,151,0.404,0.38269494467181164
Blue,75-100,Calm,Positioning,-0.3239,3.2926,206,82,0.4175,0.4818557940838583
Blue,75-100,Calm,REMOVE,0.0177,2.7975,120,55,0.4417,0.37495436031938223
Blue,75-100,Calm,Survival,-0.366,2.7999,250,113,0.404,0.5980814306842198
Blue,75-100,Moderate,Closing,0.425,3.0043,143,72,0.5315,0.3511464053227679
Blue,75-100,Moderate,Open,-0.0173,2.7717,233,113,0.4678,0.9315913899371552
