color,personal_day,category,training_win_rate,training_ci_lower,training_ci_upper,training_n,training_mean_vs_avg,testing_win_rate,testing_ci_lower,testing_ci_upper,testing_n,testing_mean_vs_avg,variance,edge,kelly_fraction
Orange,1,Direction Switcher,0.4494949494949495,0.41517692073243145,0.4843005632292013,792,-0.28050649668840283,0.37735849056603776,0.31483718426631513,0.44424540222303643,212,-0.4654090027863208,0.07213645892891174,-0.12264150943396224,
Orange,33,Direction Switcher,0.4367816091954023,0.365237361088113,0.511057049218587,174,-0.1380350864225287,0.391304347826087,0.2639302235524884,0.5354341628235508,46,-0.8954288145108695,0.04547726136931535,-0.10869565217391303,
Green,11,Direction Switcher,0.3841059602649007,0.3103164017329999,0.46364615096601636,151,-0.49375551572178805,0.5268817204301075,0.4263683964671289,0.6252623076930667,93,0.11395422051311829,0.14277576016520682,0.026881720430107503,0.053763440860215006
Red,8,Consistent Winner,0.41353383458646614,0.33341222192525477,0.4985102344038146,133,-0.24940121224428574,0.4090909090909091,0.2986723457922731,0.5295102846171105,66,-0.4391047580984848,0.004442925495557026,-0.09090909090909088,
Green,2,Consistent Winner,0.4441687344913151,0.39641064032817624,0.4929812016073583,403,-0.20222419565398755,0.41089108910891087,0.34532095478654695,0.47978728378136165,202,-0.4041742480686633,0.03327764538240424,-0.08910891089108913,
Purple,3,Consistent Winner,0.43174603174603177,0.39359623669087723,0.4707231768660746,630,-0.2802383231778047,0.44871794871794873,0.3944858224290474,0.5041975682326009,312,-0.08523904212652247,0.016971916971916967,-0.051282051282051266,
Yellow,22,Consistent Winner,0.41847826086956524,0.37802684989757857,0.46005651773809325,552,-0.40890588346323375,0.47058823529411764,0.4102157938482355,0.5318337066957265,255,-0.07798645085563537,0.0521099744245524,-0.02941176470588236,
Red,4,Weak/Avoid,0.42391304347826086,0.3279782090086152,0.5259474349706172,92,-0.08617732421586957,0.2826086956521739,0.1732404154491407,0.42548835730293777,46,-0.6633907191031522,0.14130434782608697,-0.2173913043478261,
Purple,11,Weak/Avoid,0.43333333333333335,0.36308054508099713,0.5063722882276773,180,-0.24416927141644448,0.3956043956043956,0.3013302288475036,0.49833574051615126,91,-0.9351614865792306,0.03772893772893776,-0.10439560439560441,
Blue,5,Candidate,0.45595854922279794,0.4247703611056341,0.4874959990506597,965,-0.0813060199827513,0.491183879093199,0.4423273747539763,0.5402093679393967,397,0.10209610946695209,0.035225329870401056,-0.008816120906801006,
Pink,15,Candidate,,,,0,,,,,0,,,,
Brown,7,Candidate,0.4,0.1176182311592533,0.769280067791163,5,-1.3986609807000003,1.0,0.20654329147389294,1.0,1,3.705440901,0.6,0.5,1.0
Orange,10,Candidate,,,,0,,,,,0,,,,
Green,20,Candidate,,,,0,,,,,0,,,,
Red,15,Candidate,,,,0,,,,,0,,,,
Purple,7,Candidate,0.47107438016528924,0.43160621929324466,0.5109075642589961,605,-0.042315800104016525,0.49216300940438873,0.43772085076899975,0.546791677975747,319,-0.18914480878749218,0.021088629239099488,-0.00783699059561127,
Yellow,11,Candidate,0.46680080482897385,0.42336125244520917,0.5107496520802935,497,-0.160270946790664,0.476,0.4149231875977522,0.5378032370702297,250,-0.025161767784640007,0.009199195171026131,-0.02400000000000002,
Blue,22,Candidate,0.42905405405405406,0.3739329993460827,0.48599304160353873,296,-0.2593191611512162,0.553030303030303,0.4679081278549537,0.6351530846160418,132,0.4141827104393938,0.12397624897624893,0.05303030303030298,0.10606060606060597
Pink,8,Candidate,0.5,0.3484967553286069,0.6515032446713931,38,0.382964850768421,0.0,0.0,0.6576280471103807,2,-3.0423962675,0.5,-0.5,
Brown,14,Candidate,,,,0,,,,,0,,,,
