player_a,player_b,condition,round_type,gap,prediction,actual_winner,result,correct
Nathan Kimsey,Wilco Nienaber,Tough,Survival,19.888868283733625,Nathan Kimsey,Wilco Nienaber,LOSS,False
Ryan Gerard,Nicolai Hojgaard,Moderate,Positioning,19.88243010931576,Ryan Gerard,Nicolai Hojgaard,LOSS,False
Tom Hoge,Sahith Theegala,Tough,Open,17.843812398247646,Tom Hoge,Tom Hoge,WIN,True
Tom Hoge,Sahith Theegala,Tough,Open,17.843812398247646,Tom Hoge,Tom Hoge,WIN,True
Byeong-Hun An,Branden Grace,Moderate,Open,17.234625353456764,Byeong-Hun An,Branden Grace,LOSS,False
Caleb Surratt,Anthony Kim,Moderate,Open,-17.234625353456764,Anthony Kim,Push,PUSH,
Kurt Kitayama,Harry Hall,Moderate,Survival,16.79969187603838,Kurt Kitayama,Harry Hall,LOSS,False
Brian Campbell,Sam Stevens,Moderate,Open,-16.79566309646361,Sam Stevens,Sam Stevens,WIN,True
Rasmus Neergaard-Petersen,Ryan Gerard,Moderate,Positioning,-15.690807542292694,Ryan Gerard,Push,PUSH,
Rasmus Neergaard-Petersen,Ryan Gerard,Moderate,Positioning,-15.690807542292694,Ryan Gerard,Ryan Gerard,WIN,True
Rasmus Neergaard-Petersen,Ryan Gerard,Moderate,Positioning,-15.690807542292694,Ryan Gerard,Ryan Gerard,WIN,True
Sebastian Munoz,Joaquin Niemann,Moderate,Open,-15.659348879841332,Joaquin Niemann,Joaquin Niemann,WIN,True
Sebastian Munoz,Joaquin Niemann,Moderate,Open,-15.659348879841332,Joaquin Niemann,Joaquin Niemann,WIN,True
Altin van der Merwe,Matthew Jordan,Tough,Positioning,-15.248754323677762,Matthew Jordan,Altin van der Merwe,LOSS,False
Max Homa,Kevin Streelman,Moderate,Closing,-14.410560015821304,Kevin Streelman,Max Homa,LOSS,False
Kurt Kitayama,Sahith Theegala,Tough,Open,12.8597210080363,Kurt Kitayama,Push,PUSH,
Ricky Castillo,Alex Smalley,Calm,Open,12.662911251187516,Ricky Castillo,Push,PUSH,
Patrick Cantlay,Corey Conners,Calm,Open,12.662911251187516,Patrick Cantlay,Corey Conners,LOSS,False
Frederic Lacroix,Marcus Armitage,Calm,Closing,-12.472825100752717,Marcus Armitage,Frederic Lacroix,LOSS,False
Austin Eckroat,Beau Hossler,Moderate,Positioning,-12.462883189362934,Beau Hossler,Austin Eckroat,LOSS,False
Austin Eckroat,Beau Hossler,Moderate,Positioning,-12.462883189362934,Beau Hossler,Beau Hossler,WIN,True
Alejandro Del Rey,Julien Guerrier,Tough,Survival,12.442626656961998,Alejandro Del Rey,Push,PUSH,
Alejandro Del Rey,Julien Guerrier,Tough,Survival,12.442626656961998,Alejandro Del Rey,Julien Guerrier,LOSS,False
Daniel Van Tonder,Kieron Van Wyk,Moderate,Closing,12.258514930067696,Daniel Van Tonder,Daniel Van Tonder,WIN,True
Michael Brennan,Hank Lebioda,Moderate,Closing,-12.258514930067696,Hank Lebioda,Push,PUSH,
Kieron van Wyk,Joe Dean,Moderate,Closing,-12.258514930067696,Joe Dean,Joe Dean,WIN,True
Kieron van Wyk,Joe Dean,Moderate,Closing,-12.258514930067696,Joe Dean,Joe Dean,WIN,True
Daniel van Tonder,Rafa Cabrera Bello,Moderate,Closing,12.258514930067696,Daniel van Tonder,Daniel van Tonder,WIN,True
Daniel van Tonder,Rafa Cabrera Bello,Moderate,Closing,12.258514930067696,Daniel van Tonder,Push,PUSH,
Akshay Bhatia,Shane Lowry,Tough,Open,12.24036412238558,Akshay Bhatia,Akshay Bhatia,WIN,True
Akshay Bhatia,Shane Lowry,Tough,Open,12.24036412238558,Akshay Bhatia,Akshay Bhatia,WIN,True
Keegan Bradley,Pierceson Coody,Tough,Open,-12.17014644048137,Pierceson Coody,Pierceson Coody,WIN,True
Russell Henley,Harris English,Tough,Open,-11.919523597485664,Harris English,Russell Henley,LOSS,False
Jon Rahm,David Puig,Moderate,Open,11.739364395367067,Jon Rahm,Jon Rahm,WIN,True
Jon Rahm,David Puig,Moderate,Open,11.739364395367067,Jon Rahm,Jon Rahm,WIN,True
Hennie du Plessis,Dean Burmester,Tough,Positioning,11.724137931034486,Hennie du Plessis,Hennie du Plessis,WIN,True
David Ford,Kristoffer Reitan,Moderate,Positioning,11.706185171607178,David Ford,Push,PUSH,
Keegan Bradley,Akshay Bhatia,Tough,Open,-11.550789554830647,Akshay Bhatia,Akshay Bhatia,WIN,True
Corey Conners,Min Woo Lee,Moderate,Survival,11.450533365126663,Corey Conners,Corey Conners,WIN,True
Garrick Higgo,John Parry,Moderate,Positioning,-11.336998506536483,John Parry,Garrick Higgo,LOSS,False
Kristoffer Reitan,Joel Dahmen,Moderate,Positioning,-11.336998506536483,Joel Dahmen,Joel Dahmen,WIN,True
Matt Fitzpatrick,Russell Henley,Moderate,Survival,-11.138634590741646,Russell Henley,Matt Fitzpatrick,LOSS,False
Matt Fitzpatrick,Russell Henley,Moderate,Survival,-11.138634590741646,Russell Henley,Matt Fitzpatrick,LOSS,False
Marcus Armitage,Adri Arnaus,Calm,Closing,10.89101198986416,Marcus Armitage,Adri Arnaus,LOSS,False
Max Homa,Kristoffer Reitan,Moderate,Open,10.851886199595342,Max Homa,Max Homa,WIN,True
Tommy Fleetwood,Cameron Young,Tough,Open,10.84228753053915,Tommy Fleetwood,Tommy Fleetwood,WIN,True
Keegan Bradley,Brooks Koepka,Moderate,Closing,10.716439646570706,Keegan Bradley,Brooks Koepka,LOSS,False
Dan Brown,Austin Eckroat,Moderate,Closing,10.716439646570706,Dan Brown,Push,PUSH,
Scottie Scheffler,Sam Burns,Calm,Open,10.675012098409429,Scottie Scheffler,Push,PUSH,
Peter Uihlein,Dustin Johnson,Calm,Open,10.675012098409429,Peter Uihlein,Push,PUSH,
Aaron Rai,Shane Lowry,Moderate,Positioning,10.65505732627119,Aaron Rai,Shane Lowry,LOSS,False
Aaron Rai,Shane Lowry,Moderate,Positioning,10.65505732627119,Aaron Rai,Shane Lowry,LOSS,False
Alex Smalley,Rasmus Hojgaard,Moderate,Positioning,10.642904696562,Alex Smalley,Rasmus Hojgaard,LOSS,False
Christiaan Bezuidenhout,Daniel Brown,Moderate,Positioning,-10.642904696562,Daniel Brown,Push,PUSH,
Adam Scott,Wyndham Clark,Moderate,Survival,-10.62511608147282,Wyndham Clark,Wyndham Clark,WIN,True
Sam Burns,Max Homa,Moderate,Closing,-10.52580285511574,Max Homa,Max Homa,WIN,True
Francesco Laporta,Frederic Lacroix,Moderate,Closing,-10.52580285511574,Frederic Lacroix,,LOSS,False
Francesco Laporta,Frederic Lacroix,Moderate,Closing,-10.52580285511574,Frederic Lacroix,Frederic Lacroix,WIN,True
Michael Kim,Patrick Rodgers,Tough,Open,10.447552743096194,Michael Kim,Patrick Rodgers,LOSS,False
Thomas Detry,Marc Leishman,Moderate,Open,-10.38607079808478,Marc Leishman,Push,PUSH,
Francesco Laporta,Thriston Lawrence,Moderate,Open,10.306332534768194,Francesco Laporta,Francesco Laporta,WIN,True
Akshay Bhatia,Shane Lowry,Moderate,Open,10.233661617580385,Akshay Bhatia,Akshay Bhatia,WIN,True
Akshay Bhatia,Shane Lowry,Moderate,Open,10.233661617580385,Akshay Bhatia,Akshay Bhatia,WIN,True
Harris English,Robert MacIntyre,Moderate,Open,-9.958503277113664,Robert MacIntyre,Robert MacIntyre,WIN,True
Haydn Porteous,Johannes Veerman,Tough,Positioning,9.80598754138843,Haydn Porteous,Haydn Porteous,WIN,True
Brandon Stone,Romain Langasque,Tough,Survival,9.591447285109256,Brandon Stone,Romain Langasque,LOSS,False
Brandon Stone,Romain Langasque,Tough,Survival,9.591447285109256,Brandon Stone,Romain Langasque,LOSS,False
Brandon Stone,Romain Langasque,Tough,Survival,9.591447285109256,Brandon Stone,Romain Langasque,LOSS,False
Marco Penge,Daniel Berger,Moderate,Open,9.4429767472504,Marco Penge,Daniel Berger,LOSS,False
Jhonattan Vegas,Nick Taylor,Moderate,Open,9.4429767472504,Jhonattan Vegas,Nick Taylor,LOSS,False
Rory McIlroy,Ryan Fox,Moderate,Open,9.4429767472504,Rory McIlroy,Rory McIlroy,WIN,True
Rory McIlroy,Ryan Fox,Moderate,Open,9.4429767472504,Rory McIlroy,Ryan Fox,LOSS,False
Branden Grace,Dean Burmester,Moderate,Closing,9.40804859030786,Branden Grace,Push,PUSH,
Branden Grace,Dean Burmester,Moderate,Closing,9.40804859030786,Branden Grace,Push,PUSH,
Eric Cole,Garrick Higgo,Moderate,Closing,-9.40804859030786,Garrick Higgo,Eric Cole,LOSS,False
Garrick Higgo,Pontus Nyholm,Moderate,Closing,9.40804859030786,Garrick Higgo,Pontus Nyholm,LOSS,False
Ludvig Aberg,Sam Burns,Tough,Open,-9.397171276066128,Sam Burns,Sam Burns,WIN,True
Jake Knapp,Sam Burns,Tough,Open,-9.397171276066128,Sam Burns,Sam Burns,WIN,True
Kurt Kitayama,Denny McCarthy,Moderate,Open,9.27930582876986,Kurt Kitayama,Denny McCarthy,LOSS,False
Cameron Young,Robert MacIntyre,Moderate,Open,-9.172225490047603,Robert MacIntyre,Robert MacIntyre,WIN,True
Haotong Li,Keith Mitchell,Moderate,Positioning,-9.162608145943889,Keith Mitchell,Keith Mitchell,WIN,True
Marcus Kinhult,Benjamin Follett-Smith,Calm,Closing,-9.119006804841309,Benjamin Follett-Smith,Push,PUSH,
Seamus Power,Kris Ventura,Calm,Survival,-9.016695530687292,Kris Ventura,Seamus Power,LOSS,False
J.J. Spaun,Nick Taylor,Calm,Survival,-8.93103754973811,Nick Taylor,Nick Taylor,WIN,True
J.J. Spaun,Nick Taylor,Calm,Survival,-8.93103754973811,Nick Taylor,Push,PUSH,
J.J. Spaun,Nick Taylor,Calm,Survival,-8.93103754973811,Nick Taylor,J.J. Spaun,LOSS,False
J.J. Spaun,Nick Taylor,Calm,Survival,-8.93103754973811,Nick Taylor,Nick Taylor,WIN,True
J.J. Spaun,Nick Taylor,Calm,Survival,-8.93103754973811,Nick Taylor,Push,PUSH,
J.J. Spaun,Nick Taylor,Calm,Survival,-8.93103754973811,Nick Taylor,J.J. Spaun,LOSS,False
Bud Cauley,Kevin Yu,Moderate,Open,8.904029995377595,Bud Cauley,Bud Cauley,WIN,True
Richard Bland,Charl Schwartzel,Moderate,Open,-8.904029995377595,Charl Schwartzel,Push,PUSH,
Hideki Matsuyama,Scottie Scheffler,Moderate,Open,8.904029995377595,Hideki Matsuyama,Scottie Scheffler,LOSS,False
Scottie Scheffler,Collin Morikawa,Moderate,Open,8.904029995377595,Scottie Scheffler,Scottie Scheffler,WIN,True
Matthew Wolff,Richard T. Lee,Moderate,Open,-8.904029995377595,Richard T. Lee,Richard T. Lee,WIN,True
Benjamin Follett-Smith,Cameron Adam,Calm,Closing,8.89256549405898,Benjamin Follett-Smith,Benjamin Follett-Smith,WIN,True
Antoine Rozner,JC Ritchie,Calm,Open,-8.877316309882527,JC Ritchie,Antoine Rozner,LOSS,False
