player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,exec_a,exec_b,upside_a,upside_b,exec_a_bucket,exec_b_bucket,upside_a_bucket,upside_b_bucket,exec_a_roi,exec_b_roi,upside_a_roi,upside_b_roi
Harry Hall,Ryo Hisatsune,Tough,Closing,0.0,-26.847826086956523,26.847826086956523,BET A,Green,Green,25,50,75,50,25-50,50-75,75-100,50-75,0.0,-25.000000000000004,0.0,-28.695652173913043
Sam Stevens,Corey Conners,Tough,Closing,-21.968478022379877,0.0,-21.968478022379877,BET B,Yellow,Green,50,25,75,75,50-75,25-50,75-100,75-100,-20.79646017699115,0.0,-23.1404958677686,0.0
Ludvig Aberg,Sam Burns,Tough,Closing,-17.170918943328065,0.0,-17.170918943328065,BET B,Purple,Green,50,25,50,75,50-75,25-50,50-75,75-100,-20.388349514563107,0.0,-13.953488372093023,0.0
Thomas Detry,Marc Leishman,Moderate,Open,-16.457663080453408,0.0,-16.457663080453408,BET B,Blue,nan,50,50,25,25,50-75,50-75,25-50,25-50,-9.557661927330177,0.0,-23.35766423357664,0.0
Caleb Surratt,Anthony Kim,Moderate,Open,-16.457663080453408,0.0,-16.457663080453408,BET B,Blue,nan,50,50,25,50,50-75,50-75,25-50,50-75,-9.557661927330177,0.0,-23.35766423357664,0.0
Keegan Bradley,Pierceson Coody,Tough,Closing,-19.05493425095244,-4.0,-15.054934250952439,BET B,Purple,Orange,50,25,75,50,50-75,25-50,75-100,50-75,-20.388349514563107,0.0,-17.72151898734177,-8.0
Sebastian Munoz,Joaquin Niemann,Moderate,Open,-14.882386606837976,0.0,-14.882386606837976,BET B,Yellow,nan,50,50,25,50,50-75,50-75,25-50,50-75,-10.011686793922866,0.0,-19.753086419753085,0.0
Kurt Kitayama,Ben Griffin,Moderate,Open,-13.99490841106625,0.0,-13.99490841106625,BET B,Blue,nan,25,50,25,75,25-50,50-75,25-50,75-100,-4.6321525885558605,0.0,-23.35766423357664,0.0
Harris English,Robert MacIntyre,Moderate,Open,-13.935419213444785,0.0,-13.935419213444785,BET B,Yellow,nan,25,50,25,75,25-50,50-75,25-50,75-100,-8.117752007136486,0.0,-19.753086419753085,0.0
Christiaan Bezuidenhout,Thorbjorn Olesen,Moderate,Open,-13.935419213444785,0.0,-13.935419213444785,BET B,Yellow,nan,25,25,25,25,25-50,25-50,25-50,25-50,-8.117752007136486,0.0,-19.753086419753085,0.0
Alex Fitzpatrick,Jacob Olesen,Calm,Open,-13.47647287232165,0.0,-13.47647287232165,BET B,Orange,nan,25,25,50,75,25-50,25-50,50-75,75-100,-15.048183839881396,0.0,-11.904761904761903,0.0
Tom Hoge,Sahith Theegala,Tough,Open,11.986426999266325,0.0,11.986426999266325,BET A,Yellow,nan,25,25,50,75,25-50,25-50,50-75,75-100,11.206896551724135,0.0,12.765957446808512,0.0
Min Woo Lee,Michael Thorbjornsen,Calm,Open,-11.386304863573269,0.0,-11.386304863573269,BET B,Orange,nan,25,50,75,50,25-50,50-75,75-100,50-75,-15.048183839881396,0.0,-7.72442588726514,0.0
Matt Killeen,Adri Arnaus,Calm,Open,-10.621714015079947,0.0,-10.621714015079947,BET B,Blue,nan,50,50,75,75,50-75,50-75,75-100,75-100,-7.70901194353963,0.0,-13.534416086620263,0.0
