color,condition,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio
Blue,Calm,20,40,57,35.1,10.5,26.5,22.8,8.6,-12.3,2.87
Blue,Calm,20,60,159,18.9,21.4,26.5,22.8,-7.6,-1.4,0.76
Blue,Calm,40,40,442,23.8,22.9,26.5,22.8,-2.7,0.1,0.89
Blue,Calm,40,60,1190,26.2,22.9,26.5,22.8,-0.3,0.1,0.99
Blue,Calm,40,80,1034,25.3,23.4,26.5,22.8,-1.2,0.6,0.93
Blue,Calm,40,100,248,23.0,25.4,26.5,22.8,-3.5,2.6,0.78
Blue,Calm,60,40,77,28.6,22.1,26.5,22.8,2.1,-0.7,1.11
Blue,Calm,60,60,996,27.2,24.5,26.5,22.8,0.7,1.7,0.95
Blue,Calm,60,80,2195,25.1,24.1,26.5,22.8,-1.4,1.4,0.89
Blue,Calm,60,100,53,18.9,22.6,26.5,22.8,-7.6,-0.1,0.72
Blue,Calm,80,60,897,25.5,23.5,26.5,22.8,-1.0,0.7,0.93
Blue,Calm,80,80,642,27.1,21.3,26.5,22.8,0.6,-1.4,1.09
Blue,Moderate,20,60,92,25.0,17.4,26.2,22.4,-1.2,-5.0,1.23
Blue,Moderate,40,40,271,31.7,21.8,26.2,22.4,5.6,-0.6,1.25
Blue,Moderate,40,60,708,26.6,21.9,26.2,22.4,0.4,-0.5,1.04
Blue,Moderate,40,80,578,22.8,22.8,26.2,22.4,-3.3,0.4,0.86
Blue,Moderate,40,100,89,22.5,31.5,26.2,22.4,-3.7,9.1,0.61
Blue,Moderate,60,40,77,24.7,23.4,26.2,22.4,-1.5,1.0,0.9
Blue,Moderate,60,60,575,27.7,21.0,26.2,22.4,1.5,-1.4,1.13
Blue,Moderate,60,80,1293,25.8,22.7,26.2,22.4,-0.4,0.3,0.97
Blue,Moderate,60,100,34,20.6,26.5,26.2,22.4,-5.6,4.1,0.67
Blue,Moderate,80,60,435,26.0,23.7,26.2,22.4,-0.2,1.3,0.94
Blue,Moderate,80,80,484,25.6,26.0,26.2,22.4,-0.5,3.6,0.84
Blue,Tough,40,60,89,27.0,29.2,22.1,24.1,4.8,5.2,1.0
Blue,Tough,40,80,44,13.6,31.8,22.1,24.1,-8.5,7.8,0.47
Blue,Tough,60,60,54,20.4,27.8,22.1,24.1,-1.8,3.7,0.8
Blue,Tough,60,80,119,26.1,26.1,22.1,24.1,3.9,2.0,1.09
Blue,Tough,80,60,41,19.5,36.6,22.1,24.1,-2.6,12.5,0.58
Blue,Tough,80,80,37,13.5,27.0,22.1,24.1,-8.6,3.0,0.54
