color,condition,gap_bucket,n,good_pct,bad_pct,good_edge,bad_edge,ratio
Blue,Calm,0,2005,27.8,22.4,1.3,-0.4,1.07
Blue,Calm,15,3489,24.4,23.6,-2.1,0.8,0.89
Blue,Calm,30,1804,26.5,24.0,-0.0,1.2,0.95
Blue,Calm,45,687,22.1,23.9,-4.4,1.1,0.8
Blue,Moderate,0,1219,28.0,22.4,1.8,-0.0,1.07
Blue,Moderate,15,2016,26.0,23.1,-0.1,0.7,0.97
Blue,Moderate,30,1094,25.0,23.5,-1.2,1.1,0.91
Blue,Moderate,45,329,21.6,22.2,-4.6,-0.2,0.83
Blue,Tough,0,110,20.0,23.6,-2.1,-0.4,0.92
Blue,Tough,15,173,26.0,31.8,3.9,7.7,0.89
Blue,Tough,30,119,17.6,30.3,-4.5,6.2,0.63
Green,Calm,0,1737,26.4,22.7,-0.1,-0.0,1.0
Green,Calm,15,2248,26.3,21.3,-0.2,-1.5,1.06
Green,Calm,30,778,26.9,23.0,0.4,0.2,1.0
Green,Calm,45,274,24.5,20.1,-2.0,-2.7,1.05
Green,Moderate,0,973,26.7,23.8,0.6,1.4,0.96
Green,Moderate,15,1112,27.4,23.0,1.3,0.6,1.02
Green,Moderate,30,508,28.3,22.8,2.2,0.4,1.06
Green,Moderate,45,129,23.3,20.9,-2.9,-1.5,0.95
Green,Tough,0,100,21.0,26.0,-1.1,1.9,0.88
Green,Tough,15,147,23.1,23.1,1.0,-0.9,1.09
Green,Tough,30,76,38.2,15.8,16.0,-8.3,2.62
Orange,Calm,0,1036,26.4,22.7,-0.2,-0.1,1.0
Orange,Calm,15,2517,26.5,23.8,0.0,1.1,0.96
Orange,Calm,30,1878,26.7,22.3,0.2,-0.5,1.03
Orange,Calm,45,874,27.6,21.6,1.1,-1.2,1.1
Orange,Moderate,0,759,25.7,21.2,-0.5,-1.2,1.04
Orange,Moderate,15,1553,27.4,21.2,1.2,-1.2,1.1
Orange,Moderate,30,1005,28.8,20.9,2.6,-1.5,1.18
Orange,Moderate,45,505,24.4,22.2,-1.8,-0.2,0.94
Orange,Tough,0,33,21.2,15.2,-0.9,-8.9,1.52
Orange,Tough,15,98,20.4,23.5,-1.7,-0.6,0.94
Orange,Tough,30,93,26.9,19.4,4.7,-4.7,1.51
Orange,Tough,45,55,23.6,14.5,1.5,-9.5,1.76
Pink,Calm,0,32,28.1,34.4,1.6,11.6,0.7
Pink,Calm,15,86,26.7,20.9,0.2,-1.9,1.1
Pink,Calm,30,103,23.3,21.4,-3.2,-1.4,0.94
Pink,Calm,45,60,41.7,23.3,15.2,0.5,1.54
Pink,Moderate,15,42,28.6,21.4,2.4,-1.0,1.14
Pink,Moderate,30,54,27.8,20.4,1.6,-2.0,1.17
Pink,Moderate,45,37,32.4,16.2,6.3,-6.2,1.71
Purple,Calm,0,1884,27.7,22.0,1.2,-0.8,1.08
Purple,Calm,15,2600,26.6,22.8,0.1,0.1,1.0
Purple,Calm,30,907,28.8,21.1,2.3,-1.7,1.17
Purple,Calm,45,298,28.2,23.5,1.7,0.7,1.03
Purple,Moderate,0,1057,27.4,21.9,1.3,-0.5,1.07
Purple,Moderate,15,1325,26.2,22.0,0.0,-0.4,1.02
Purple,Moderate,30,616,27.1,22.2,1.0,-0.2,1.04
Purple,Moderate,45,127,26.0,24.4,-0.2,2.0,0.91
Purple,Tough,0,120,21.7,25.0,-0.5,0.9,0.94
Purple,Tough,15,162,22.2,26.5,0.1,2.5,0.91
Purple,Tough,30,66,21.2,27.3,-0.9,3.2,0.84
Red,Calm,0,503,20.1,26.8,-6.4,4.1,0.64
Red,Calm,15,443,25.3,22.1,-1.2,-0.7,0.98
Red,Calm,30,196,33.2,21.4,6.7,-1.4,1.33
Red,Calm,45,93,28.0,25.8,1.5,3.0,0.93
Red,Moderate,0,227,27.8,26.9,1.6,4.5,0.88
Red,Moderate,15,254,29.5,22.4,3.4,0.0,1.13
Red,Moderate,30,90,20.0,32.2,-6.2,9.8,0.53
Red,Moderate,45,42,31.0,31.0,4.8,8.5,0.86
Yellow,Calm,0,4222,27.0,22.7,0.5,-0.1,1.02
Yellow,Calm,15,6873,26.4,22.5,-0.1,-0.2,1.01
Yellow,Calm,30,2682,27.2,24.1,0.7,1.3,0.97
Yellow,Calm,45,786,27.0,20.7,0.5,-2.0,1.12
Yellow,Moderate,0,2826,24.4,22.2,-1.8,-0.2,0.94
Yellow,Moderate,15,4064,25.5,22.3,-0.7,-0.1,0.98
Yellow,Moderate,30,1604,26.3,22.5,0.2,0.1,1.0
Yellow,Moderate,45,412,21.6,21.4,-4.6,-1.0,0.87
Yellow,Tough,0,177,20.3,24.9,-1.8,0.8,0.89
Yellow,Tough,15,448,19.9,22.3,-2.3,-1.7,0.97
Yellow,Tough,30,194,24.7,18.0,2.6,-6.0,1.49
