round_type,condition,color,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Calm,Blue,436,23.9,26.8,25.2,22.8,-1.4,4.0,0.8,0.14
Closing,Calm,Green,251,23.1,20.7,25.2,22.8,-2.1,-2.1,1.01,-0.15
Closing,Calm,Orange,282,24.1,24.5,25.2,22.8,-1.1,1.7,0.89,-0.05
Closing,Calm,Purple,296,26.7,18.9,25.2,22.8,1.5,-3.9,1.28,-0.37
Closing,Calm,Red,49,30.6,16.3,25.2,22.8,5.4,-6.5,1.69,-0.42
Closing,Calm,Yellow,865,26.1,22.4,25.2,22.8,0.9,-0.4,1.05,-0.1
Closing,Moderate,Blue,259,25.1,24.7,21.9,23.6,3.2,1.1,1.09,0.2
Closing,Moderate,Green,157,22.9,22.3,21.9,23.6,1.0,-1.3,1.11,0.12
Closing,Moderate,Orange,111,22.5,16.2,21.9,23.6,0.6,-7.4,1.5,-0.46
Closing,Moderate,Purple,172,22.1,24.4,21.9,23.6,0.2,0.8,0.97,0.17
Closing,Moderate,Red,45,26.7,28.9,21.9,23.6,4.7,5.3,0.99,0.21
Closing,Moderate,Yellow,436,18.8,24.5,21.9,23.6,-3.1,0.9,0.83,0.38
Closing,Tough,Blue,32,18.8,37.5,20.7,25.9,-2.0,11.6,0.63,0.82
Closing,Tough,Yellow,46,21.7,21.7,20.7,25.9,1.0,-4.2,1.25,0.08
Elimination,Calm,Blue,30,26.7,30.0,28.2,24.8,-1.5,5.2,0.78,0.48
Elimination,Calm,Yellow,37,24.3,18.9,28.2,24.8,-3.9,-5.9,1.13,-0.04
Mixed,Calm,Blue,105,31.4,29.5,30.0,29.5,1.4,0.0,1.05,0.26
Mixed,Calm,Green,93,31.2,26.9,30.0,29.5,1.2,-2.6,1.14,0.18
Mixed,Calm,Orange,59,27.1,40.7,30.0,29.5,-2.9,11.2,0.66,1.18
Mixed,Calm,Purple,106,33.0,25.5,30.0,29.5,3.0,-4.0,1.27,0.28
Mixed,Calm,Yellow,198,30.3,28.8,30.0,29.5,0.3,-0.7,1.03,0.35
Open,Calm,Blue,790,29.2,21.3,28.7,22.6,0.5,-1.3,1.08,-0.27
Open,Calm,Green,575,29.9,23.1,28.7,22.6,1.2,0.5,1.02,-0.21
Open,Calm,Orange,383,31.1,19.3,28.7,22.6,2.3,-3.3,1.26,-0.39
Open,Calm,Purple,655,29.3,22.1,28.7,22.6,0.6,-0.4,1.04,-0.17
Open,Calm,Red,102,24.5,27.5,28.7,22.6,-4.2,4.9,0.7,0.4
Open,Calm,Yellow,1571,27.5,23.7,28.7,22.6,-1.2,1.2,0.91,-0.07
Open,Moderate,Blue,427,23.7,23.2,29.0,21.0,-5.3,2.1,0.74,0.09
Open,Moderate,Green,270,34.1,23.7,29.0,21.0,5.1,2.7,1.04,-0.32
Open,Moderate,Orange,258,32.2,16.7,29.0,21.0,3.2,-4.4,1.4,-0.52
Open,Moderate,Purple,322,29.8,20.2,29.0,21.0,0.8,-0.9,1.07,-0.19
Open,Moderate,Red,40,37.5,22.5,29.0,21.0,8.5,1.5,1.21,-0.49
Open,Moderate,Yellow,837,28.4,20.5,29.0,21.0,-0.6,-0.5,1.0,-0.17
Positioning,Calm,Blue,452,24.1,19.9,23.1,22.9,1.0,-3.0,1.2,-0.11
Positioning,Calm,Green,274,25.9,23.0,23.1,22.9,2.8,0.1,1.12,0.03
Positioning,Calm,Orange,239,18.4,24.3,23.1,22.9,-4.7,1.4,0.75,0.15
Positioning,Calm,Purple,345,23.8,24.6,23.1,22.9,0.6,1.7,0.96,0.09
Positioning,Calm,Red,79,20.3,29.1,23.1,22.9,-2.9,6.2,0.69,0.31
Positioning,Calm,Yellow,811,23.1,22.7,23.1,22.9,-0.1,-0.2,1.01,0.0
Positioning,Moderate,Blue,204,23.5,25.5,22.8,22.3,0.7,3.1,0.9,0.02
Positioning,Moderate,Green,151,23.8,15.2,22.8,22.3,1.0,-7.1,1.53,-0.28
Positioning,Moderate,Orange,117,25.6,17.9,22.8,22.3,2.8,-4.4,1.4,-0.42
Positioning,Moderate,Purple,203,20.7,25.6,22.8,22.3,-2.1,3.3,0.79,0.15
Positioning,Moderate,Red,32,28.1,18.8,22.8,22.3,5.3,-3.6,1.47,-0.48
Positioning,Moderate,Yellow,384,21.9,23.4,22.8,22.3,-0.9,1.1,0.91,0.19
Positioning,Tough,Blue,31,9.7,35.5,15.9,21.7,-6.2,13.8,0.37,0.98
Positioning,Tough,Yellow,85,11.8,17.6,15.9,21.7,-4.1,-4.0,0.91,0.12
REMOVE,Calm,Blue,246,23.2,34.1,26.6,29.1,-3.4,5.1,0.74,0.69
REMOVE,Calm,Green,145,26.9,24.1,26.6,29.1,0.3,-4.9,1.22,0.07
REMOVE,Calm,Orange,147,24.5,30.6,26.6,29.1,-2.1,1.5,0.88,0.29
REMOVE,Calm,Purple,147,27.2,27.2,26.6,29.1,0.6,-1.9,1.09,-0.09
REMOVE,Calm,Red,30,23.3,30.0,26.6,29.1,-3.2,0.9,0.85,-0.07
REMOVE,Calm,Yellow,439,29.2,27.8,26.6,29.1,2.6,-1.3,1.15,-0.28
REMOVE,Moderate,Blue,92,29.3,25.0,28.3,22.5,1.0,2.5,0.93,0.09
REMOVE,Moderate,Green,38,26.3,31.6,28.3,22.5,-2.0,9.1,0.66,-0.13
REMOVE,Moderate,Orange,49,26.5,16.3,28.3,22.5,-1.8,-6.1,1.29,-0.21
REMOVE,Moderate,Purple,49,24.5,20.4,28.3,22.5,-3.9,-2.1,0.95,-0.16
REMOVE,Moderate,Red,30,33.3,23.3,28.3,22.5,5.0,0.9,1.13,-0.71
REMOVE,Moderate,Yellow,115,29.6,20.9,28.3,22.5,1.2,-1.6,1.12,-0.26
Survival,Calm,Blue,607,23.2,20.6,26.2,21.8,-3.0,-1.2,0.94,0.05
Survival,Calm,Green,509,23.6,22.2,26.2,21.8,-2.7,0.4,0.88,0.12
Survival,Calm,Orange,294,29.3,18.0,26.2,21.8,3.0,-3.8,1.35,-0.39
Survival,Calm,Purple,529,28.7,24.0,26.2,21.8,2.5,2.2,0.99,-0.02
Survival,Calm,Red,108,37.0,22.2,26.2,21.8,10.8,0.4,1.38,-0.39
Survival,Calm,Yellow,1244,26.0,22.1,26.2,21.8,-0.2,0.3,0.98,-0.01
Survival,Moderate,Blue,312,32.4,19.9,28.6,20.7,3.8,-0.8,1.18,-0.54
Survival,Moderate,Green,130,24.6,22.3,28.6,20.7,-4.0,1.6,0.8,-0.09
Survival,Moderate,Orange,183,30.6,20.8,28.6,20.7,2.0,0.1,1.07,-0.34
Survival,Moderate,Purple,123,36.6,14.6,28.6,20.7,8.0,-6.0,1.81,-0.91
Survival,Moderate,Red,41,29.3,19.5,28.6,20.7,0.7,-1.2,1.08,-0.26
Survival,Moderate,Yellow,620,25.0,21.9,28.6,20.7,-3.6,1.3,0.82,-0.16
Survival,Tough,Green,60,21.7,15.0,17.3,25.1,4.4,-10.1,2.09,-0.42
Survival,Tough,Purple,77,15.6,29.9,17.3,25.1,-1.7,4.8,0.76,0.01
Survival,Tough,Yellow,106,19.8,23.6,17.3,25.1,2.5,-1.5,1.22,-0.38
