round_type,condition,color,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Calm,Blue,25,50,92,18.5,33.7,25.2,22.8,-6.8,10.9,0.5,0.46
Closing,Calm,Blue,25,75,38,23.7,26.3,25.2,22.8,-1.5,3.5,0.81,0.09
Closing,Calm,Blue,50,50,127,24.4,22.0,25.2,22.8,-0.8,-0.8,1.0,-0.11
Closing,Calm,Blue,50,75,94,20.2,31.9,25.2,22.8,-5.0,9.1,0.57,0.62
Closing,Calm,Blue,75,50,47,31.9,21.3,25.2,22.8,6.7,-1.5,1.36,-0.46
Closing,Calm,Green,25,50,42,28.6,19.0,25.2,22.8,3.3,-3.8,1.36,-0.31
Closing,Calm,Green,50,50,94,22.3,14.9,25.2,22.8,-2.9,-7.9,1.36,-0.25
Closing,Calm,Green,50,75,47,34.0,21.3,25.2,22.8,8.8,-1.5,1.45,-0.64
Closing,Calm,Orange,25,50,77,24.7,24.7,25.2,22.8,-0.6,1.9,0.9,-0.32
Closing,Calm,Orange,25,75,41,29.3,24.4,25.2,22.8,4.0,1.6,1.08,-0.18
Closing,Calm,Orange,50,50,68,16.2,25.0,25.2,22.8,-9.1,2.2,0.58,0.45
Closing,Calm,Orange,50,75,68,22.1,22.1,25.2,22.8,-3.2,-0.7,0.9,-0.07
Closing,Calm,Purple,25,50,48,31.3,27.1,25.2,22.8,6.0,4.3,1.04,-0.25
Closing,Calm,Purple,25,75,31,48.4,12.9,25.2,22.8,23.2,-9.9,3.39,-1.05
Closing,Calm,Purple,50,50,117,20.5,18.8,25.2,22.8,-4.7,-4.0,0.99,-0.19
Closing,Calm,Purple,50,75,55,18.2,20.0,25.2,22.8,-7.0,-2.8,0.82,0.07
Closing,Calm,Purple,75,50,31,32.3,12.9,25.2,22.8,7.0,-9.9,2.26,-0.79
Closing,Calm,Yellow,25,25,52,28.8,25.0,25.2,22.8,3.6,2.2,1.04,0.32
Closing,Calm,Yellow,25,50,141,26.2,28.4,25.2,22.8,1.0,5.6,0.84,0.22
Closing,Calm,Yellow,25,75,61,23.0,27.9,25.2,22.8,-2.3,5.1,0.74,0.16
Closing,Calm,Yellow,50,50,278,26.6,21.2,25.2,22.8,1.4,-1.6,1.13,-0.25
Closing,Calm,Yellow,50,75,206,23.3,21.4,25.2,22.8,-1.9,-1.4,0.99,-0.11
Closing,Calm,Yellow,75,50,106,30.2,15.1,25.2,22.8,5.0,-7.7,1.81,-0.44
Closing,Moderate,Blue,25,50,70,35.7,17.1,21.9,23.6,13.8,-6.5,2.24,-0.66
Closing,Moderate,Blue,50,50,75,25.3,20.0,21.9,23.6,3.4,-3.6,1.36,0.12
Closing,Moderate,Blue,50,75,63,20.6,23.8,21.9,23.6,-1.3,0.2,0.93,0.33
Closing,Moderate,Green,50,50,50,28.0,24.0,21.9,23.6,6.1,0.4,1.26,0.09
Closing,Moderate,Green,50,75,42,19.0,23.8,21.9,23.6,-2.9,0.2,0.86,0.16
Closing,Moderate,Orange,25,50,46,28.3,8.7,21.9,23.6,6.3,-14.9,3.5,-0.94
Closing,Moderate,Orange,50,75,30,16.7,26.7,21.9,23.6,-5.3,3.0,0.67,0.25
Closing,Moderate,Purple,50,50,62,27.4,16.1,21.9,23.6,5.5,-7.5,1.83,-0.29
Closing,Moderate,Purple,50,75,45,26.7,26.7,21.9,23.6,4.7,3.0,1.08,-0.01
Closing,Moderate,Yellow,25,50,77,22.1,32.5,21.9,23.6,0.1,8.8,0.73,0.64
Closing,Moderate,Yellow,25,75,31,16.1,12.9,21.9,23.6,-5.8,-10.7,1.35,0.03
Closing,Moderate,Yellow,50,50,139,18.7,23.0,21.9,23.6,-3.2,-0.6,0.88,0.36
Closing,Moderate,Yellow,50,75,107,21.5,20.6,21.9,23.6,-0.4,-3.1,1.13,0.06
Closing,Moderate,Yellow,75,50,37,16.2,45.9,21.9,23.6,-5.7,22.3,0.38,1.29
Mixed,Calm,Blue,25,50,44,34.1,27.3,30.0,29.5,4.1,-2.2,1.23,0.29
Mixed,Calm,Green,50,50,41,43.9,9.8,30.0,29.5,13.9,-19.7,4.42,-1.13
Mixed,Calm,Orange,25,50,32,25.0,40.6,30.0,29.5,-5.0,11.1,0.6,1.26
Mixed,Calm,Purple,25,50,33,27.3,27.3,30.0,29.5,-2.7,-2.2,0.98,0.47
Mixed,Calm,Purple,50,75,30,26.7,23.3,30.0,29.5,-3.3,-6.1,1.12,0.72
Mixed,Calm,Yellow,25,50,55,23.6,29.1,30.0,29.5,-6.4,-0.4,0.8,0.72
Mixed,Calm,Yellow,50,50,46,39.1,19.6,30.0,29.5,9.1,-9.9,1.97,-0.11
Mixed,Calm,Yellow,50,75,54,25.9,38.9,30.0,29.5,-4.1,9.4,0.66,0.64
Open,Calm,Blue,25,25,36,27.8,16.7,28.7,22.6,-1.0,-5.9,1.31,-0.12
Open,Calm,Blue,25,50,164,37.8,17.1,28.7,22.6,9.1,-5.5,1.74,-0.92
Open,Calm,Blue,25,75,83,24.1,26.5,28.7,22.6,-4.6,3.9,0.71,0.33
Open,Calm,Blue,50,50,236,26.7,23.3,28.7,22.6,-2.0,0.7,0.9,-0.14
Open,Calm,Blue,50,75,175,30.9,22.9,28.7,22.6,2.1,0.3,1.06,-0.15
Open,Calm,Blue,75,50,92,23.9,16.3,28.7,22.6,-4.8,-6.3,1.15,-0.33
Open,Calm,Green,25,50,100,28.0,23.0,28.7,22.6,-0.7,0.4,0.96,-0.31
Open,Calm,Green,25,75,39,38.5,23.1,28.7,22.6,9.7,0.5,1.31,-0.79
Open,Calm,Green,50,50,257,25.3,20.6,28.7,22.6,-3.4,-2.0,0.96,-0.16
Open,Calm,Green,50,75,104,38.5,27.9,28.7,22.6,9.7,5.3,1.08,-0.18
Open,Calm,Green,75,50,44,27.3,31.8,28.7,22.6,-1.5,9.2,0.67,0.37
Open,Calm,Orange,25,50,118,28.8,28.8,28.7,22.6,0.1,6.2,0.79,-0.16
Open,Calm,Orange,25,75,73,31.5,11.0,28.7,22.6,2.8,-11.6,2.26,-0.73
Open,Calm,Orange,50,50,90,34.4,14.4,28.7,22.6,5.7,-8.1,1.87,-0.5
Open,Calm,Orange,50,75,65,32.3,13.8,28.7,22.6,3.6,-8.7,1.83,-0.55
Open,Calm,Purple,25,25,38,31.6,31.6,28.7,22.6,2.8,9.0,0.79,0.27
Open,Calm,Purple,25,50,86,32.6,17.4,28.7,22.6,3.8,-5.1,1.47,-0.29
Open,Calm,Purple,25,75,51,31.4,19.6,28.7,22.6,2.6,-3.0,1.26,-0.6
Open,Calm,Purple,50,50,310,28.1,25.5,28.7,22.6,-0.7,2.9,0.87,-0.05
Open,Calm,Purple,50,75,104,29.8,17.3,28.7,22.6,1.1,-5.3,1.35,-0.32
Open,Calm,Purple,75,50,62,27.4,17.7,28.7,22.6,-1.3,-4.8,1.21,-0.22
Open,Calm,Red,50,50,51,19.6,33.3,28.7,22.6,-9.1,10.7,0.46,0.77
