condition,round_type,color,chinese_zodiac,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Dragon,35,20.0,28.6,25.2,22.8,-5.2,5.8,0.63,0.44
Calm,Closing,Blue,Horse,44,25.0,25.0,25.2,22.8,-0.2,2.2,0.9,-0.03
Calm,Closing,Blue,Monkey,46,26.1,26.1,25.2,22.8,0.9,3.3,0.9,0.08
Calm,Closing,Blue,Ox,30,33.3,23.3,25.2,22.8,8.1,0.5,1.29,-0.4
Calm,Closing,Blue,Pig,36,16.7,27.8,25.2,22.8,-8.6,5.0,0.54,0.51
Calm,Closing,Blue,Rabbit,43,18.6,25.6,25.2,22.8,-6.6,2.8,0.66,0.1
Calm,Closing,Blue,Rat,46,39.1,17.4,25.2,22.8,13.9,-5.4,2.03,-0.61
Calm,Closing,Blue,Rooster,41,26.8,19.5,25.2,22.8,1.6,-3.3,1.24,-0.33
Calm,Closing,Blue,Snake,50,24.0,32.0,25.2,22.8,-1.2,9.2,0.68,0.5
Calm,Closing,Blue,Tiger,32,18.8,31.3,25.2,22.8,-6.5,8.4,0.54,0.43
Calm,Closing,Green,Snake,33,15.2,9.1,25.2,22.8,-10.1,-13.7,1.51,-0.23
Calm,Closing,Orange,Monkey,31,25.8,19.4,25.2,22.8,0.6,-3.4,1.21,-0.29
Calm,Closing,Orange,Pig,30,26.7,23.3,25.2,22.8,1.4,0.5,1.03,0.07
Calm,Closing,Orange,Rat,33,15.2,33.3,25.2,22.8,-10.1,10.5,0.41,0.63
Calm,Closing,Purple,Monkey,31,29.0,22.6,25.2,22.8,3.8,-0.2,1.16,-0.29
Calm,Closing,Purple,Rat,34,26.5,20.6,25.2,22.8,1.2,-2.2,1.16,-0.23
Calm,Closing,Purple,Rooster,39,30.8,17.9,25.2,22.8,5.5,-4.9,1.55,-0.59
Calm,Closing,Yellow,Dog,51,23.5,33.3,25.2,22.8,-1.7,10.5,0.64,0.39
Calm,Closing,Yellow,Dragon,57,5.3,29.8,25.2,22.8,-20.0,7.0,0.16,1.08
Calm,Closing,Yellow,Goat,39,25.6,10.3,25.2,22.8,0.4,-12.5,2.26,-0.34
Calm,Closing,Yellow,Horse,66,28.8,24.2,25.2,22.8,3.6,1.4,1.07,-0.08
Calm,Closing,Yellow,Monkey,75,36.0,22.7,25.2,22.8,10.8,-0.1,1.44,-0.67
Calm,Closing,Yellow,Ox,55,20.0,25.5,25.2,22.8,-5.2,2.7,0.71,0.04
Calm,Closing,Yellow,Pig,90,30.0,18.9,25.2,22.8,4.8,-3.9,1.44,-0.4
Calm,Closing,Yellow,Rabbit,94,26.6,23.4,25.2,22.8,1.4,0.6,1.03,-0.02
Calm,Closing,Yellow,Rat,99,27.3,21.2,25.2,22.8,2.0,-1.6,1.16,-0.35
Calm,Closing,Yellow,Rooster,79,26.6,21.5,25.2,22.8,1.4,-1.3,1.12,0.04
Calm,Closing,Yellow,Snake,86,29.1,18.6,25.2,22.8,3.8,-4.2,1.41,-0.34
Calm,Closing,Yellow,Tiger,74,25.7,21.6,25.2,22.8,0.4,-1.2,1.07,-0.04
Calm,Open,Blue,Dog,36,44.4,11.1,28.8,22.5,15.6,-11.4,3.12,-1.15
Calm,Open,Blue,Dragon,57,19.3,24.6,28.8,22.5,-9.5,2.1,0.61,0.31
Calm,Open,Blue,Goat,47,27.7,34.0,28.8,22.5,-1.2,11.6,0.63,0.19
Calm,Open,Blue,Horse,70,25.7,24.3,28.8,22.5,-3.1,1.8,0.83,0.03
Calm,Open,Blue,Monkey,88,30.7,17.0,28.8,22.5,1.9,-5.4,1.4,-0.48
Calm,Open,Blue,Ox,55,34.5,20.0,28.8,22.5,5.7,-2.5,1.35,-0.7
Calm,Open,Blue,Pig,72,34.7,16.7,28.8,22.5,5.9,-5.8,1.62,-0.68
Calm,Open,Blue,Rabbit,75,24.0,21.3,28.8,22.5,-4.8,-1.1,0.88,-0.12
Calm,Open,Blue,Rat,88,23.9,25.0,28.8,22.5,-4.9,2.5,0.74,0.24
Calm,Open,Blue,Rooster,68,32.4,19.1,28.8,22.5,3.5,-3.4,1.32,-0.22
Calm,Open,Blue,Snake,76,39.5,13.2,28.8,22.5,10.7,-9.3,2.34,-1.09
Calm,Open,Blue,Tiger,58,19.0,31.0,28.8,22.5,-9.8,8.6,0.48,0.29
Calm,Open,Green,Dog,45,20.0,35.6,28.8,22.5,-8.8,13.1,0.44,0.48
Calm,Open,Green,Dragon,39,28.2,30.8,28.8,22.5,-0.6,8.3,0.71,0.19
Calm,Open,Green,Horse,49,36.7,20.4,28.8,22.5,7.9,-2.1,1.4,-0.42
Calm,Open,Green,Monkey,44,34.1,25.0,28.8,22.5,5.3,2.5,1.06,-0.32
Calm,Open,Green,Ox,40,27.5,27.5,28.8,22.5,-1.3,5.0,0.78,0.07
Calm,Open,Green,Pig,61,27.9,9.8,28.8,22.5,-0.9,-12.6,2.21,-0.71
Calm,Open,Green,Rabbit,51,29.4,19.6,28.8,22.5,0.6,-2.9,1.17,-0.43
Calm,Open,Green,Rat,62,35.5,22.6,28.8,22.5,6.7,0.1,1.23,-0.4
Calm,Open,Green,Rooster,53,30.2,17.0,28.8,22.5,1.4,-5.5,1.39,-0.41
Calm,Open,Green,Snake,64,32.8,26.6,28.8,22.5,4.0,4.1,0.96,-0.29
Calm,Open,Green,Tiger,37,35.1,27.0,28.8,22.5,6.3,4.6,1.01,-0.35
Calm,Open,Orange,Horse,30,30.0,16.7,28.8,22.5,1.2,-5.8,1.4,-0.87
