condition,round_type,color,moon,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Krishna Purna,48,25.0,41.7,25.2,22.8,-0.2,18.9,0.54,0.91
Calm,Closing,Blue,Krishna Rikta,42,23.8,26.2,25.2,22.8,-1.4,3.4,0.82,-0.14
Calm,Closing,Blue,Shukla Bhadra,39,15.4,28.2,25.2,22.8,-9.8,5.4,0.49,0.49
Calm,Closing,Blue,Shukla Jaya,64,26.6,25.0,25.2,22.8,1.3,2.2,0.96,0.06
Calm,Closing,Blue,Shukla Nanda,62,16.1,30.6,25.2,22.8,-9.1,7.8,0.48,0.41
Calm,Closing,Blue,Shukla Purna,62,37.1,19.4,25.2,22.8,11.9,-3.4,1.73,-0.66
Calm,Closing,Blue,Shukla Rikta,47,14.9,31.9,25.2,22.8,-10.3,9.1,0.42,0.45
Calm,Closing,Green,Krishna Nanda,39,15.4,35.9,25.2,22.8,-9.8,13.1,0.39,0.3
Calm,Closing,Green,Shukla Jaya,44,27.3,9.1,25.2,22.8,2.0,-13.7,2.71,-0.61
Calm,Closing,Green,Shukla Purna,39,33.3,15.4,25.2,22.8,8.1,-7.4,1.96,-0.63
Calm,Closing,Orange,Krishna Purna,34,23.5,23.5,25.2,22.8,-1.7,0.7,0.9,-0.17
Calm,Closing,Orange,Shukla Nanda,72,33.3,22.2,25.2,22.8,8.1,-0.6,1.36,-0.37
Calm,Closing,Orange,Shukla Rikta,44,11.4,36.4,25.2,22.8,-13.9,13.6,0.28,1.03
Calm,Closing,Purple,Krishna Nanda,33,30.3,24.2,25.2,22.8,5.1,1.4,1.13,-0.2
Calm,Closing,Purple,Krishna Purna,49,16.3,20.4,25.2,22.8,-8.9,-2.4,0.72,-0.03
Calm,Closing,Purple,Shukla Jaya,63,30.2,12.7,25.2,22.8,4.9,-10.1,2.15,-0.67
Calm,Closing,Purple,Shukla Purna,51,31.4,15.7,25.2,22.8,6.1,-7.1,1.81,-0.51
Calm,Closing,Yellow,Krishna Bhadra,56,25.0,25.0,25.2,22.8,-0.2,2.2,0.9,0.16
Calm,Closing,Yellow,Krishna Jaya,149,22.8,29.5,25.2,22.8,-2.4,6.7,0.7,0.33
Calm,Closing,Yellow,Krishna Nanda,50,16.0,28.0,25.2,22.8,-9.2,5.2,0.52,0.53
Calm,Closing,Yellow,Krishna Purna,99,16.2,20.2,25.2,22.8,-9.1,-2.6,0.72,0.12
Calm,Closing,Yellow,Krishna Rikta,56,21.4,23.2,25.2,22.8,-3.8,0.4,0.83,-0.1
