condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Earth,95,22.1,30.5,25.2,22.8,-3.1,7.7,0.65,0.13
Calm,Closing,Blue,Fire,102,33.3,26.5,25.2,22.8,8.1,3.7,1.14,-0.09
Calm,Closing,Blue,Metal,96,19.8,30.2,25.2,22.8,-5.4,7.4,0.59,0.36
Calm,Closing,Blue,Water,86,25.6,20.9,25.2,22.8,0.4,-1.9,1.1,-0.07
Calm,Closing,Blue,Wood,57,14.0,24.6,25.2,22.8,-11.2,1.8,0.52,0.49
Calm,Closing,Green,Earth,61,31.1,11.5,25.2,22.8,5.9,-11.3,2.45,-0.62
Calm,Closing,Green,Fire,54,24.1,18.5,25.2,22.8,-1.2,-4.3,1.17,-0.27
Calm,Closing,Green,Metal,43,20.9,30.2,25.2,22.8,-4.3,7.4,0.63,0.0
Calm,Closing,Green,Water,51,21.6,23.5,25.2,22.8,-3.7,0.7,0.83,-0.06
Calm,Closing,Green,Wood,42,14.3,23.8,25.2,22.8,-10.9,1.0,0.54,0.45
Calm,Closing,Orange,Earth,55,30.9,21.8,25.2,22.8,5.7,-1.0,1.28,-0.55
Calm,Closing,Orange,Fire,69,20.3,27.5,25.2,22.8,-4.9,4.7,0.67,0.22
Calm,Closing,Orange,Metal,56,26.8,25.0,25.2,22.8,1.6,2.2,0.97,-0.01
Calm,Closing,Orange,Water,55,14.5,25.5,25.2,22.8,-10.7,2.7,0.52,0.28
Calm,Closing,Orange,Wood,47,29.8,21.3,25.2,22.8,4.6,-1.5,1.27,-0.32
Calm,Closing,Purple,Earth,64,21.9,21.9,25.2,22.8,-3.4,-0.9,0.9,-0.11
Calm,Closing,Purple,Fire,57,29.8,14.0,25.2,22.8,4.6,-8.8,1.92,-0.5
Calm,Closing,Purple,Metal,52,26.9,15.4,25.2,22.8,1.7,-7.4,1.58,-0.42
Calm,Closing,Purple,Water,77,28.6,22.1,25.2,22.8,3.3,-0.7,1.17,-0.34
Calm,Closing,Purple,Wood,46,26.1,19.6,25.2,22.8,0.9,-3.2,1.21,-0.54
Calm,Closing,Yellow,Earth,194,22.7,20.6,25.2,22.8,-2.5,-2.2,0.99,0.09
Calm,Closing,Yellow,Fire,204,24.5,24.0,25.2,22.8,-0.7,1.2,0.92,-0.18
Calm,Closing,Yellow,Metal,139,31.7,22.3,25.2,22.8,6.4,-0.5,1.28,-0.28
Calm,Closing,Yellow,Water,174,27.0,18.4,25.2,22.8,1.8,-4.4,1.33,-0.31
Calm,Closing,Yellow,Wood,154,26.6,27.3,25.2,22.8,1.4,4.5,0.88,0.15
Calm,Positioning,Blue,Earth,109,28.4,15.6,23.1,22.9,5.3,-7.3,1.81,-0.53
Calm,Positioning,Blue,Fire,97,28.9,18.6,23.1,22.9,5.7,-4.4,1.54,-0.25
Calm,Positioning,Blue,Metal,99,17.2,25.3,23.1,22.9,-6.0,2.3,0.67,0.44
Calm,Positioning,Blue,Water,86,20.9,19.8,23.1,22.9,-2.2,-3.1,1.05,-0.05
Calm,Positioning,Blue,Wood,61,24.6,21.3,23.1,22.9,1.5,-1.6,1.14,-0.11
Calm,Positioning,Green,Earth,55,16.4,23.6,23.1,22.9,-6.8,0.7,0.69,0.41
Calm,Positioning,Green,Fire,52,28.8,17.3,23.1,22.9,5.7,-5.6,1.65,-0.4
Calm,Positioning,Green,Metal,58,34.5,17.2,23.1,22.9,11.3,-5.7,1.98,-0.2
Calm,Positioning,Green,Water,65,21.5,30.8,23.1,22.9,-1.6,7.9,0.69,0.38
Calm,Positioning,Green,Wood,44,29.5,25.0,23.1,22.9,6.4,2.1,1.17,-0.14
Calm,Positioning,Orange,Earth,48,16.7,29.2,23.1,22.9,-6.5,6.3,0.57,0.28
Calm,Positioning,Orange,Fire,60,13.3,28.3,23.1,22.9,-9.8,5.4,0.47,0.44
Calm,Positioning,Orange,Metal,45,26.7,24.4,23.1,22.9,3.5,1.5,1.08,0.13
Calm,Positioning,Orange,Water,38,15.8,23.7,23.1,22.9,-7.4,0.8,0.66,0.01
Calm,Positioning,Orange,Wood,48,20.8,14.6,23.1,22.9,-2.3,-8.3,1.41,-0.21
Calm,Positioning,Purple,Earth,68,23.5,23.5,23.1,22.9,0.4,0.6,0.99,0.2
Calm,Positioning,Purple,Fire,84,22.6,27.4,23.1,22.9,-0.5,4.5,0.82,0.31
Calm,Positioning,Purple,Metal,62,17.7,21.0,23.1,22.9,-5.4,-1.9,0.84,-0.21
Calm,Positioning,Purple,Water,83,26.5,28.9,23.1,22.9,3.4,6.0,0.91,0.23
