condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Earth,187,18.2,26.2,23.4,23.1,-5.2,3.1,0.69,0.22
Calm,Closing,Blue,Fire,237,24.5,19.0,23.4,23.1,1.1,-4.1,1.27,-0.19
Calm,Closing,Blue,Metal,166,22.9,27.1,23.4,23.1,-0.5,4.0,0.83,0.14
Calm,Closing,Blue,Wood,143,21.0,23.1,23.4,23.1,-2.4,-0.0,0.9,0.02
Calm,Closing,Green,Earth,109,30.3,19.3,23.4,23.1,6.9,-3.9,1.55,-0.45
Calm,Closing,Green,Fire,159,20.8,21.4,23.4,23.1,-2.7,-1.7,0.96,0.01
Calm,Closing,Green,Metal,91,35.2,24.2,23.4,23.1,11.7,1.1,1.44,-0.17
Calm,Closing,Green,Wood,102,22.5,22.5,23.4,23.1,-0.9,-0.6,0.99,-0.11
Calm,Closing,Orange,Earth,177,20.3,22.0,23.4,23.1,-3.1,-1.1,0.91,0.06
Calm,Closing,Orange,Fire,175,24.6,24.6,23.4,23.1,1.2,1.4,0.99,0.07
Calm,Closing,Orange,Metal,166,24.7,25.9,23.4,23.1,1.3,2.8,0.94,0.01
Calm,Closing,Orange,Wood,131,26.7,19.8,23.4,23.1,3.3,-3.3,1.33,-0.25
Calm,Closing,Purple,Earth,174,24.7,17.8,23.4,23.1,1.3,-5.3,1.37,-0.41
Calm,Closing,Purple,Fire,153,30.7,20.9,23.4,23.1,7.3,-2.2,1.45,-0.31
Calm,Closing,Purple,Metal,103,21.4,19.4,23.4,23.1,-2.1,-3.7,1.09,0.19
Calm,Closing,Purple,Wood,124,21.0,25.0,23.4,23.1,-2.4,1.9,0.83,0.29
Calm,Closing,Red,Fire,39,10.3,35.9,23.4,23.1,-13.2,12.8,0.28,0.95
Calm,Closing,Yellow,Earth,301,25.9,22.9,23.4,23.1,2.5,-0.2,1.12,-0.01
Calm,Closing,Yellow,Fire,416,22.6,20.9,23.4,23.1,-0.8,-2.2,1.07,0.04
Calm,Closing,Yellow,Metal,252,20.6,27.0,23.4,23.1,-2.8,3.9,0.76,0.23
Calm,Closing,Yellow,Wood,274,25.2,26.6,23.4,23.1,1.8,3.5,0.93,0.13
Calm,Positioning,Blue,Earth,191,25.1,19.9,24.6,22.2,0.6,-2.3,1.14,-0.13
Calm,Positioning,Blue,Fire,247,26.7,21.5,24.6,22.2,2.2,-0.8,1.13,-0.02
Calm,Positioning,Blue,Metal,173,22.5,21.4,24.6,22.2,-2.0,-0.8,0.95,-0.0
Calm,Positioning,Blue,Wood,177,25.4,22.6,24.6,22.2,0.9,0.4,1.02,0.04
Calm,Positioning,Green,Earth,117,28.2,16.2,24.6,22.2,3.6,-6.0,1.57,-0.5
Calm,Positioning,Green,Fire,156,25.0,21.2,24.6,22.2,0.4,-1.1,1.07,-0.01
Calm,Positioning,Green,Metal,104,26.9,19.2,24.6,22.2,2.4,-3.0,1.27,-0.24
Calm,Positioning,Green,Wood,87,17.2,21.8,24.6,22.2,-7.3,-0.4,0.71,0.13
Calm,Positioning,Orange,Earth,214,23.4,21.5,24.6,22.2,-1.2,-0.7,0.98,-0.07
Calm,Positioning,Orange,Fire,199,28.6,25.1,24.6,22.2,4.1,2.9,1.03,-0.1
Calm,Positioning,Orange,Metal,158,24.1,27.2,24.6,22.2,-0.5,5.0,0.8,0.22
Calm,Positioning,Orange,Wood,126,24.6,21.4,24.6,22.2,0.0,-0.8,1.04,-0.12
Calm,Positioning,Purple,Earth,157,26.1,16.6,24.6,22.2,1.6,-5.7,1.43,-0.44
Calm,Positioning,Purple,Fire,158,24.7,22.8,24.6,22.2,0.1,0.6,0.98,-0.01
Calm,Positioning,Purple,Metal,124,25.8,25.0,24.6,22.2,1.2,2.8,0.93,0.04
Calm,Positioning,Purple,Wood,125,25.6,17.6,24.6,22.2,1.0,-4.6,1.32,-0.26
Calm,Positioning,Red,Fire,40,20.0,30.0,24.6,22.2,-4.6,7.8,0.6,0.43
Calm,Positioning,Red,Metal,32,15.6,18.8,24.6,22.2,-8.9,-3.5,0.75,0.17
Calm,Positioning,Yellow,Earth,344,25.3,22.7,24.6,22.2,0.7,0.5,1.01,-0.1
Calm,Positioning,Yellow,Fire,457,24.3,22.8,24.6,22.2,-0.3,0.5,0.97,-0.02
Calm,Positioning,Yellow,Metal,251,21.5,25.9,24.6,22.2,-3.0,3.7,0.75,0.11
Calm,Positioning,Yellow,Wood,296,22.3,23.3,24.6,22.2,-2.3,1.1,0.87,0.01
Calm,Survival,Blue,Earth,213,28.2,22.5,26.1,23.0,2.1,-0.5,1.11,-0.25
Calm,Survival,Blue,Fire,314,27.4,25.5,26.1,23.0,1.3,2.4,0.95,0.04
Calm,Survival,Blue,Metal,192,28.6,31.3,26.1,23.0,2.6,8.2,0.81,0.45
Calm,Survival,Blue,Wood,170,22.9,24.7,26.1,23.0,-3.1,1.7,0.82,-0.11
Calm,Survival,Green,Earth,133,29.3,15.0,26.1,23.0,3.3,-8.0,1.72,-0.63
Calm,Survival,Green,Fire,186,22.0,25.8,26.1,23.0,-4.0,2.8,0.76,0.04
Calm,Survival,Green,Metal,125,24.8,19.2,26.1,23.0,-1.3,-3.8,1.14,-0.08
Calm,Survival,Green,Wood,106,28.3,20.8,26.1,23.0,2.2,-2.3,1.21,-0.38
